"relative_path","line","object","object_start","object_end","value","depth","indentation","encoding","bom","line_ending","fresh_diagnostic","previous_diagnostic","rotation_diagnostic","source_object","source_old","source_modern","vanilla_object","vanilla_old","vanilla_modern","classification","corrected","sha_before","sha_after","merge_status","required_for_merge","protected_concurrent_work","exception_reason"
"common/journal_entries/00_acw_entries.txt","86","je_acw_countdown","1","87","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_acw_entries.txt","123","je_acw_war","89","129","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_acw_entries.txt","162","je_acw_reconstruction","131","167","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_acw_entries.txt","298","je_acw_reincorporate","169","299","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_acw_entries.txt","352","je_acw_equality","301","353","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_acw_entries.txt","447","je_acw_wild_wild_west","355","448","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","AD7269B774B5AD6C952FCD7597E79D1CE91D6E0A7F016A117016CBF86ECCECDB","ABC6CB296275C1DC44A1AA7E82DD2F586D9C095C840E39C29EA36CDC2C33FA03","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_alaska.txt","113","je_sale_of_alaska","1","114","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","4FF2D43DD4572DB4410C545A32D941AF15B81DCE3A12A8B8B15F1A40A55D86EC","D1CE30A655BC83F994B3065C4C723F92A64949699017276053538710F63343C2","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_alaska.txt","210","je_alaska","116","211","yes","1","\t","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","4FF2D43DD4572DB4410C545A32D941AF15B81DCE3A12A8B8B15F1A40A55D86EC","D1CE30A655BC83F994B3065C4C723F92A64949699017276053538710F63343C2","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_antarctica.txt","122","je_antarctica","1","123","yes","1","    ","UTF-8","true","LF","true","true","true","true","","yes","true","","yes","DIRECT_THREE_WAY_ATOMIC","true","F92FF24A3CFC6BD2301FFFC47E9427563CF43B9890F12C4C69CE5BF030932D15","70B56EADAD987C768C02F61187A935F1D0DFAB84A03052A82FA53AB93AC3CD90","INTENTIONAL_FORK_DIVERGENCE","false","false",""
"common/journal_entries/00_autocracy.txt","210","je_king_in_parliament","120","213","yes","1","\t","UTF-8","true","LF","true","true","true","true","","no","true","","no","PINNING_ATOMICITY_EXCEPTION","false","20C988F78A1F687626582390471E8DA921C18070A2E9EA5E5E7CFAFA7DCEB403","20C988F78A1F687626582390471E8DA921C18070A2E9EA5E5E7CFAFA7DCEB403","INTENTIONAL_FORK_DIVERGENCE","false","false","UNKNOWN_SEMANTIC_REPLACEMENT: fork boolean yes conflicts with source modern no and vanilla modern no"
