"family","relative_path","historical_target_diagnostics","fresh_target_diagnostics","other_fresh_parser","other_fresh_PostValidate","new_attributable_errors","sha_committed","sha_after_runtime","verdict"
"API_ANY_COUNTRY_IN_IBERIA","events/iberia_events/ip4_spanish_political_events.txt","2","0","0","2","0","72FD682B1AFC019295AF735C24B6812862FCEAD45EB2B0CF3D00248A28BB5278","72FD682B1AFC019295AF735C24B6812862FCEAD45EB2B0CF3D00248A28BB5278","PASS_TARGET_RUNTIME; OTHER_FRESH_DIAGNOSTICS_PRESENT; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/agitators_events/historic_agitator_events.txt","1","0","0","0","0","AD31981FF57366CF1F53F332CB076D1CD3D6478CB04A01A216367488EEBB84E1","AD31981FF57366CF1F53F332CB076D1CD3D6478CB04A01A216367488EEBB84E1","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/agitators_events/land_ownership_law_events.txt","5","0","0","0","0","F1DBC558FA6F8F28E80E5F5387A9926A94739251FB2B86CE40DFCC15AAEF2BA0","F1DBC558FA6F8F28E80E5F5387A9926A94739251FB2B86CE40DFCC15AAEF2BA0","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/american_civil_war/acw_events.txt","2","0","0","0","0","23E744991C14ADF60EA1C5C121F0AE8055B592CD40ED2ECD4AA8797D3388BEF9","23E744991C14ADF60EA1C5C121F0AE8055B592CD40ED2ECD4AA8797D3388BEF9","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/balkans_events/subjecthood_events.txt","1","0","0","0","0","E61E0BFDCBFB78BAEC84A0F58917EE790D7FC3C0AE7C44F20085DCFC190BE91F","E61E0BFDCBFB78BAEC84A0F58917EE790D7FC3C0AE7C44F20085DCFC190BE91F","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/iberia_events/ip4_election_rigging.txt","2","0","0","0","0","8F9BC5208071D5696C7630330313680416C6059BF4336CEFD31E0D60DB27F737","8F9BC5208071D5696C7630330313680416C6059BF4336CEFD31E0D60DB27F737","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_AMENDMENT","events/ig_petitions.txt","1","0","0","0","0","EB3812E75468F7045107B7326A5061DE486969468C38FE80FEB11BF63FAF3438","EB3812E75468F7045107B7326A5061DE486969468C38FE80FEB11BF63FAF3438","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_ROLE","common/journal_entries/00_fascism.txt","7","0","0","0","0","5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF","5E746883A3301B9368D9E39636347B8ECCEBB2DC5B081B01260F3C9ACB3326EF","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_ROLE","common/journal_entries/00_liberalism.txt","2","0","0","0","0","C6168137313E741CB7D2692BFB3B57647AE83B0C5E349C7CF78CF1CA4B34DD47","C6168137313E741CB7D2692BFB3B57647AE83B0C5E349C7CF78CF1CA4B34DD47","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_ROLE","common/journal_entries/00_peoples_springtime_je.txt","3","0","0","0","0","24636506A32130BBF01141B2E778000E4D5DE7DAC20F6BF92F5367E98AD6802B","24636506A32130BBF01141B2E778000E4D5DE7DAC20F6BF92F5367E98AD6802B","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
"API_HAS_ROLE","common/journal_entries/00_slave_owner_paranoia.txt","2","0","0","0","0","9E3B8F6F9E69CE8A41877BBDC534E8DDF66DE308E85B02CAB754B840ED5169A5","9E3B8F6F9E69CE8A41877BBDC534E8DDF66DE308E85B02CAB754B840ED5169A5","PASS_TARGET_RUNTIME; FILE_FULLY_COMPLETE_NOT_CLAIMED"
