"source_phase","source_report","relationship","target_phase","target_report","relationship_reason","canonical_chain","notes"
"5C2E4B1","../india/sepoy/HOTFIX_5C2E4B1_SEPOY_PINNING_API.md","PRECEDES","5C2E4B3","../india/sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","API correction requires runtime validation","Sepoy API",""
"5C2E4B2","../india/sepoy/HOTFIX_5C2E4B2_SEPOY_CHARACTER_ROLE_API.md","PRECEDES","5C2E4B3","../india/sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","API correction requires runtime validation","Sepoy API",""
"5C2E4B3","../india/sepoy/HOTFIX_5C2E4B3_SEPOY_API_RUNTIME_RETEST.md","VALIDATES","5C2E4B1/B2","../india/sepoy/HOTFIX_5C2E4B1_SEPOY_PINNING_API.md","Runtime validates both API fixes","Sepoy API",""
"5C2E4C1D","../india/sepoy/HOTFIX_5C2E4C1D_SEPOY_A1_STATIC_SETUP.md","PRECEDES","5C2E4C1E1","../india/sepoy/HOTFIX_5C2E4C1E1_SEPOY_A1_OBSERVATION_COMPLETION.md","A1 setup precedes final observation","A1",""
"5C2E4C1E1","../india/sepoy/HOTFIX_5C2E4C1E1_SEPOY_A1_OBSERVATION_COMPLETION.md","CLOSES","A-1","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Completes owner observation","A1",""
"5C2E4C1F","../india/sepoy/HOTFIX_5C2E4C1F_SEPOY_A2_STATIC_SETUP.md","PRECEDES","5C2E4C1G","../india/sepoy/HOTFIX_5C2E4C1G_SEPOY_A2_RUNTIME_TEST.md","A2 setup precedes runtime","A2",""
"5C2E4C1G","../india/sepoy/HOTFIX_5C2E4C1G_SEPOY_A2_RUNTIME_TEST.md","CLOSES","A-2","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","No-receiver runtime is final","A2",""
"5C2E4C1H","../india/sepoy/HOTFIX_5C2E4C1H_SEPOY_A3_STATIC_SETUP.md","PRECEDES","5C2E4C1I","../india/sepoy/HOTFIX_5C2E4C1I_SEPOY_A3_RUNTIME_TEST.md","A3 setup precedes runtime","A3",""
"5C2E4C1I","../india/sepoy/HOTFIX_5C2E4C1I_SEPOY_A3_RUNTIME_TEST.md","CLOSES","A-3","../india/closure/HOTFIX_5_INDIA_CLOSURE.md","Two-receiver runtime is final","A3",""
"5C2E4C1K","../india/sepoy/HOTFIX_5C2E4C1K_SEPOY_B1_RUNTIME_TEST.md","PRECEDES","5C2E4C1L","../india/sepoy/HOTFIX_5C2E4C1L_B1_BENGAL_CORE_FIX.md","Failed Bengal core test triggers correction","Bengal 2.b","FAILED_TEST"
