file,line_or_range,identifier,enclosing_object,object_type,semantic_role,activity_class,current_scope,fork_behavior,hotfix_behavior,vanilla_behavior,proposed_target,confidence,conflict_class,recommended_phase,notes
"common/ai_strategies/00_default_strategy.txt","1482-1485","region_madras;region_bombay;region_bengal;region_central_india","ai_strategy_default / target-state India test","ai strategy","Scores target states in India","ACTIVE_RUNTIME","scope:target_state","Four invalid strategic-region tests","Hotfix file absent","geographic_region_india covers both valid strategic regions plus frontier states","geographic_region_required","MEDIUM","MANUAL_RESEARCH","HOTFIX-5C3","count=4; preserve Himalayas sibling test"
"common/ai_strategies/00_default_strategy.txt","1553-1554","region_bombay;region_punjab","ai_strategy_default / Persian-border target test","ai strategy","Scores Indian frontier targets beside Persia/Central Asia","ACTIVE_RUNTIME","scope:target_state","Two invalid region tests","Hotfix file absent","Bombay/Punjab old geographic regions exist but intent spans a frontier","manual_research_required","LOW","MANUAL_RESEARCH","HOTFIX-5C3","count=2"
"common/ai_strategies/00_default_strategy.txt","2296-2311","all five invalid IDs","ai_strategy_default / Indian suzerain versus Afghanistan","ai strategy","Detects Indian suzerain and subject territory","ACTIVE_RUNTIME","ROOT and subjects","Two OR sets of five invalid regions","Hotfix file absent","geographic_region_india is the broad India predicate","geographic_region_required","MEDIUM","MANUAL_RESEARCH","HOTFIX-5C3","count=10"
"common/ai_strategies/00_default_strategy.txt","3279-3283","all five invalid IDs","ai_strategy_default / East India Company versus neighbors","ai strategy","Raises EIC aggression against Indian neighbors","ACTIVE_RUNTIME","scope:target_country states","Five invalid region tests plus Himalayas","Hotfix file absent","north_and_south covers vanilla India core","north_and_south","MEDIUM","BIC","HOTFIX-5C3","count=5"
"common/ai_strategies/00_default_strategy.txt","3308-3312","all five invalid IDs","ai_strategy_default / Britain consolidating South Asia","ai strategy","Raises GBR aggression in India","ACTIVE_RUNTIME","scope:target_country states","Five invalid region tests plus Himalayas","Hotfix file absent","north_and_south covers vanilla India core","north_and_south","MEDIUM","BIC","HOTFIX-5C3","count=5"
"common/ai_strategies/00_default_strategy.txt","3576-3591","all five invalid IDs","ai_strategy_default / Indian suzerain versus Russia","ai strategy","Detects Indian suzerain and subject territory","ACTIVE_RUNTIME","ROOT and subjects","Two OR sets of five invalid regions","Hotfix file absent","geographic_region_india is the broad India predicate","geographic_region_required","MEDIUM","MANUAL_RESEARCH","HOTFIX-5C3","count=10"
"common/ai_strategies/00_default_strategy.txt","3733-3734","region_bombay;region_punjab","ai_strategy_default / Persian aggression","ai strategy","Scores targets on Persia's Indian frontier","ACTIVE_RUNTIME","scope:target_country states","Two invalid region tests","Hotfix file absent","Exact intended frontier is unclear","manual_research_required","LOW","MANUAL_RESEARCH","HOTFIX-5C3","count=2"
"common/ai_strategies/00_default_strategy.txt","6868-6872","all five invalid IDs","ai_strategy_default / South Asia target-country test","ai strategy","Scores Indian target countries","ACTIVE_RUNTIME","scope:target_country states","Five invalid region tests plus Himalayas","Hotfix file absent","geographic_region_india or north_and_south depending frontier intent","manual_research_required","MEDIUM","MANUAL_RESEARCH","HOTFIX-5C3","count=5"
"common/character_templates/country_bic.txt","1024","region_bombay","BIC_john_wood","character template","Naval commander HQ","ACTIVE_RUNTIME","character hq","Invalid Bombay HQ","Hotfix unchanged","Bombay belongs to region_south_india","region_south_india","HIGH","NAVY","HOTFIX-5C4","count=1; do not edit in generic content batch"
"common/character_templates/country_bic.txt","1041","region_bombay","BIC_charles_malcolm","character template","Naval commander HQ","ACTIVE_RUNTIME","character hq","Invalid Bombay HQ","Hotfix unchanged","Bombay belongs to region_south_india","region_south_india","HIGH","NAVY","HOTFIX-5C4","count=1; do not edit in generic content batch"
