technology_id,file,era,parents,current_unlocks,visible_researchable,historical_suitability,proposed_role,recommendation,rationale
industrial_acids,common/technology/technologies/10_tech3a_production.txt,2,NONE,"building_chemical_plant;building_explosives_factory;building_chemical_works and acid-process PM ecosystem",YES,HIGH,"Gate the fertilizer building and basic phosphate conversion",KEEP_EXISTING_GATE,"Sulfuric-acid chemistry is the correct prerequisite for superphosphate and already opens the fertilizer industry."
advanced_crop_rotations,common/technology/technologies/10_tech3a_production.txt,3,"improved_husbandry;selective_breeding","pm_soil_enriching_farming;pm_soil_enriching_farming_building_rice_farm",YES,HIGH,"Demand-side agricultural gate only",KEEP_EXISTING_GATE,"It introduces systematic soil enrichment without pretending to represent extraction or chemical synthesis."
applied_mineralogy,common/technology/technologies/10_tech3a_production.txt,3,shaft_mining,"building_gold_mine;building_gold_fields",YES,HIGH,"Gate building_phosphate_mine",REUSE_FOR_PHOSPHATE_MINE,"Mineral identification and beneficiation are an adequate early gate for a capped phosphate-rock mine."
high_pressure_steam,common/technology/technologies/10_tech3a_production.txt,5,"atmospheric_engine;mechanical_tools;rotative_steam_power","selected plantation and industrial steam PMs",YES,MEDIUM,"Contextual prerequisite represented through the later nitrogen_fixation technology",KEEP_UNCHANGED,"High-pressure equipment matters historically but a second explicit gate would add no useful player choice."
industrial_alkalis,common/technology/technologies/10_tech3a_production.txt,5,industrial_acids,"pm_leblanc_alkali_process;aluminium metallurgy",YES,LOW,"No direct fertilizer-chain gate",KEEP_UNCHANGED,"Alkali chemistry remains adjacent industrial chemistry rather than a necessary phosphate or nitrogen gate."
percussion_cap,common/technology/technologies/20_tech3a_military.txt,5,"armament_standardization_inspection;rifling","building_munition_plant;pm_percussion_caps",YES,LOW,"Keep downstream ammunition separate",KEEP_UNCHANGED,"Ammunition should continue buying explosives rather than raw nitrates."
geological_surveying,common/technology/technologies/10_tech3a_production.txt,6,"applied_mineralogy;professional_civil_engineering","resource discovery modifier;prospecting and pumpjack descendants",YES,HIGH,"Methodological support and possible later phosphate concentration PM",KEEP_EXISTING_SUPPORT,"It is historically suitable but too late for the initial phosphate-mine building gate."
nitroglycerin,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,7,industrial_acids,"nitroglycerin mine PMs;pm_ammonia-soda_process",YES,HIGH,"Future gate for building_nitrate_mine and natural-nitrate fertilizer/explosives route",DEFER_TO_TECH6C6C,"The existing technology synchronizes strategic nitrate supply with its first major industrial demand."
improved_fertilizer,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,8,"industrial_acids;advanced_crop_rotations","pm_improved_fertilizer;pm_fertilization;pm_fertilization_building_rice_farm",YES,HIGH,"Gate the improved phosphate-fertilizer route",REUSE_FOR_IMPROVED_PHOSPHATE,"The current node is already the exact progression step required; a new phosphate technology would be empty duplication."
dynamite,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,8,nitroglycerin,"dynamite mine PMs;pm_vacuum_evaporation;pm_explosive_shells;resource discovery modifier",YES,MEDIUM,"Remain a downstream explosives/mining upgrade",KEEP_UNCHANGED,"Raw nitrates can feed explosives upstream while dynamite continues to consume the finished explosives good."
electrical_capacitors,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,9,"electrical_generation;mechanized_weaving","pm_brine_electrolysis;aluminium electrolysis",YES,LOW,"No fertilizer-chain gate",KEEP_UNCHANGED,"The late synthetic-nitrogen route can require electricity as an input without borrowing this unrelated capacitor node."
nitrogen_fixation,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,11,improved_fertilizer,"pm_nitrogen_fixation;pm_chemical_fertilizer;pm_chemical_fertilizer_building_rice_farm",YES,VERY_HIGH,"Gate a nitrate-free Haber-Bosch fertilizer route",REWORK_PM_IN_TECH6C6C,"Its localization already describes mass ammonia synthesis at high temperature; this is the existing Haber-Bosch node."
chemical_warfare,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,12,trench_works,mobilization_option_chemical_weapons,YES,LOW,"Keep chemical-weapons supply on industrial_chemicals",KEEP_UNCHANGED,"Direct raw-nitrate consumption would bypass the established chemical industry and finished explosives chain."
intensive_agriculture,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,5,enclosure,NONE,NO,HIGH,"No role because this compatibility alias cannot be researched",REJECT_AS_GATE,"A hidden non-researchable node would create an opaque or unreachable unlock."
NEW_TECHNOLOGY,NONE,NONE,NONE,NONE,NONE,NOT_REQUIRED,"No new technology object",REJECT,"Every meaningful step already has a populated existing node: industrial_acids, applied_mineralogy, improved_fertilizer, nitroglycerin and nitrogen_fixation."
