"tag","country_name_en","country_name_fr_if_available","active_1776","world_region","world_subregion","capital_or_primary_region","country_type","country_tier","subject_type","overlord_tag","government_form","distribution_of_power","religion_state","primary_cultures","ruler_name","ruler_age","ruler_title","ruler_source","ruler_generated","character_history_source","shared_monarch","regency","historical_packet_batch","historical_status","government_status","title_status","constitutional_status","colonial_or_company_status","map_dependency","research_required","recommended_next_action","notes"
"ACE","Aceh","Aceh","YES","SOUTHEAST_ASIA","INDONESIA","STATE_ACEH","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","sumatran","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"AGC","Angoche","Angoche","YES","EAST_AFRICA","EAST_AFRICA","STATE_MOCAMBIQUE","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","swahili","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"AIT","Ait Abbas","Aït Abbas","YES","NORTH_AFRICA","NORTH_AFRICA","STATE_CONSTANTINE","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","berber","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"ALK","Alaska","Alaska","YES","NORTH_AMERICA","PACIFIC_COAST","STATE_ALASKA","colonial","principality","chartered_company","RUS","law_colonial_administration","law_autocracy","law_state_religion","russian","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","CHARTERED_COMPANY_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"ANK","Ankole","Ankolé","YES","EAST_AFRICA","EAST_AFRICA","STATE_UGANDA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","baganda;lacustrine_bantu","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"ARB","Arabistan","Arabistan","YES","MIDDLE_EAST","GREATER_PERSIA","STATE_KHUZESTAN","unrecognized","principality","vassal","FRA","law_monarchy","law_autocracy","law_state_religion","mashriqi","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","DEPENDENCY_RULER_RELATION_RESEARCH_REQUIRED","MINOR","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"ASH","Ashanti","Ashanti","YES","WEST_AFRICA","WEST_AFRICA","STATE_GOLD_COAST","unrecognized","kingdom","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","akan","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"AWA","Awadh","Awadh","YES","INDIA","NORTH_INDIA","STATE_AWADH","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","avadhi","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BAL","Bali","Bali","YES","SOUTHEAST_ASIA","INDONESIA","STATE_SUNDA_ISLANDS","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","balinese;moluccan","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BEN","Benin","Bénin","YES","WEST_AFRICA","WEST_AFRICA","STATE_BENIN","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","edo","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BGI","Bagirmi","Baguirmi","YES","CENTRAL_AFRICA","EQUATORIAL_AFRICA","STATE_WADDAI","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","baguirmi","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BHN","Bahrain","Bahreïn","YES","ARABIAN_PENINSULA","ARABIA","STATE_ABU_DHABI","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bedouin","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BHU","Bhutan","Bhoutan","YES","SOUTH_ASIA","HIMALAYAS","STATE_EASTERN_HIMALAYAS","unrecognized","principality","INDEPENDENT","","law_presidential_republic","law_oligarchy","law_state_religion","tibetan","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BHV","Bhavnagar","Bhavnagar","YES","INDIA","NORTH_INDIA","STATE_GUJARAT","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","gujarati","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BIC","East India","Inde orientale","YES","INDIA","NORTH_INDIA","STATE_WEST_BENGAL","colonial","principality","chartered_company","GBR","law_colonial_administration","law_oligarchy","law_freedom_of_conscience","british","Warren Hastings","43","Governor-General","DELEGATED_EXECUTIVE","NO","common/history/characters/bic - british india.txt","NO","NO","NONE","SCRIPTED_UNVERIFIED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","CHARTERED_COMPANY_EXECUTIVE_RESEARCH_REQUIRED","MAJOR","YES","P2 verify scripted identity, office, age, title and constitution.","Static 1776 setup audit; no external historical research performed."
"BLG","Bulungan","Bulungan","YES","SOUTHEAST_ASIA","INDONESIA","STATE_EAST_BORNEO","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bornean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BNJ","Banjar","Banjar","YES","SOUTHEAST_ASIA","INDONESIA","STATE_EAST_BORNEO","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","bornean","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BNY","Bunyoro","Bunyoro","YES","EAST_AFRICA","EAST_AFRICA","STATE_UGANDA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","baganda;lacustrine_bantu","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BOR","Bornu","Bornou","YES","WEST_AFRICA","WEST_AFRICA","STATE_BORNU","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","kanuri","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BRD","Burundi","Burundi","YES","EAST_AFRICA","EAST_AFRICA","STATE_TANGANYIKA","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","rundi","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
"BRG","Borgu","Borgu","YES","WEST_AFRICA","WEST_AFRICA","STATE_HAUSALAND","unrecognized","principality","INDEPENDENT","","law_monarchy","law_autocracy","law_state_religion","mande;fulbe","Engine-generated ruler (name not captured)","","Engine-generated title (not runtime-captured)","ENGINE_GENERATED","YES","No explicit starting ruler in effective common/history/characters VFS","NO","NO","NONE","ENGINE_GENERATED_RESEARCH_REQUIRED","RULER_AND_GOVERNMENT_RESEARCH_REQUIRED","TITLE_RESEARCH_REQUIRED","CONSTITUTIONAL_RESEARCH_REQUIRED","NOT_COLONIAL_OR_COMPANY","NO","YES","P1 research historical ruler, title and constitution before implementation.","Static 1776 setup audit; no external historical research performed."
