"tag","country","reason_detected","explicit_character_found","shared_monarch_found","regency_found","expected_engine_generation","confidence","requires_research"
"LUC","Lucca","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_RUNTIME_CONFIRMED","YES"
"LUX","Luxembourg","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"SWI","Switzerland","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"UBD","United Baltic Provinces","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"ANH","Anhalt","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"BEO","Austrian Netherlands (BEO/Belgium)","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_RUNTIME_CONFIRMED","YES"
"BRE","Bremen","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"CRI","Crimea","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"FRM","Frankfurt","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"GAL","Galicia-Lodomeria","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"HAM","Hamburg","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"HOH","Hohenzollern","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"HUN","Hungary","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"LUB","Lübeck","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"NAS","Nassau","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"SCM","Schaumburg-Lippe","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"SCW","Schwarzburg","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_RUNTIME_CONFIRMED","YES"
"TRS","Transylvania","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
"WLD","Waldeck","Active European tag minus explicit starting rulers minus valid shared monarchs","NO","NO","NO","YES","HIGH_STATIC_INFERENCE","YES"
