family_id,script_line,legacy_form,legacy_semantics,modern_form,modern_semantics,vanilla_proof,scope_match,geographic_match,decision,patched,runtime_before,runtime_after,notes
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4525,region_caucasus = { ... },Add 500 for eligible British Great Power participation in the Caucasian War.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_caucasus_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_caucasus_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4547,region_oceania = { ... },Add 200 for Hawaii-interest conditions.,if = { limit = { scope:region = sr:region_oceania } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 defines sr:region_oceania as a current strategic region and uses scope:region = sr:* conditions inside strategic_region_scores.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_CURRENT_STRATEGIC_REGION,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4557,region_japan = { ... },Add -50 while isolated Japan exists and the evaluating country is not a Great Power.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_japan_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_japan_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4572,region_north_africa = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_north_africa_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_north_africa_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4586,region_senegal = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_senegal_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_senegal_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4600,region_niger = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_niger_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_niger_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4614,region_congo = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_congo_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_congo_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4628,region_southern_africa = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_southern_africa_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_southern_africa_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4642,region_zanj = { ... },Add 200 for Scramble for Africa or malaria-capable Great Power conditions.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_zanj_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_zanj_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4657,region_north_germany = { ... },Add 100 for European Great Powers and 1000 for German unification.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_north_germany_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_north_germany_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4672,region_south_germany = { ... },Add 100 for European Great Powers and 1000 for German unification.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_south_germany_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_south_germany_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4681,region_italy = { ... },Add 100 for European Great Powers.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_italy_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_italy_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4689,region_baltic = { ... },Add 100 while pursuing the Schleswig-Holstein objective.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_baltic_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_baltic_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4699,region_england = { ... },Add 50 for European Great Powers.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_england_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_england_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4708,region_iberia = { ... },Add 50 for European Great Powers.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_iberia_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_iberia_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,4717,region_rhine = { ... },Add 50 for European Great Powers.,if = { limit = { scope:region = { is_in_geographic_region = geographic_region_rhine_old } } ...legacy score body... },Evaluate the preserved fork score body only when the current scope:region matches the proven legacy footprint.,Vanilla 1.13.9 common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_rhine_old with the legacy state-region footprint; vanilla strategic_region_scores uses scope:region geographic tests.,YES_COUNTRY_ROOT_AND_SCOPE_REGION,EXACT_LEGACY_STATE_REGION_FOOTPRINT,STRONG_EQUIVALENT,YES,1,0,The score body and values are preserved byte-for-byte apart from the structural region selector.
