"patch_id","batch","canonical_runtime_identity","script_path","original_line","old_expression","scope","old_footprint","modern_expression","vanilla_proof","observation_status","decision"
"B01-001","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1385","region = sr:region_madras","capital_state","geographic_region_madras_old","is_in_geographic_region = geographic_region_madras_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_madras_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-002","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1389","region = sr:region_bengal","any_scope_state","geographic_region_bengal_old","is_in_geographic_region = geographic_region_bengal_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bengal_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-003","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1392","region = sr:region_bombay","any_scope_state","geographic_region_bombay_old","is_in_geographic_region = geographic_region_bombay_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bombay_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-004","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1410","region = sr:region_bombay","capital_state","geographic_region_bombay_old","is_in_geographic_region = geographic_region_bombay_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bombay_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-005","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1414","region = sr:region_bengal","any_scope_state","geographic_region_bengal_old","is_in_geographic_region = geographic_region_bengal_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bengal_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-006","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1417","region = sr:region_madras","any_scope_state","geographic_region_madras_old","is_in_geographic_region = geographic_region_madras_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_madras_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-007","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1435","region = sr:region_bengal","capital_state","geographic_region_bengal_old","is_in_geographic_region = geographic_region_bengal_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bengal_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-008","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1439","region = sr:region_bombay","any_scope_state","geographic_region_bombay_old","is_in_geographic_region = geographic_region_bombay_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bombay_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-009","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1442","region = sr:region_madras","any_scope_state","geographic_region_madras_old","is_in_geographic_region = geographic_region_madras_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_madras_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-010","B01_GEOGRAPHY","","common/dynamic_country_names/00_dynamic_country_names.txt","1460","region = sr:region_bengal","capital_state","geographic_region_bengal_old","is_in_geographic_region = geographic_region_bengal_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_bengal_old","LATENT_STATIC_SWEEP","PATCH_EXACT_FOOTPRINT"
"B01-011","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","92","region = sr:region_rhine","subject_capital_state","geographic_region_rhine_old","is_in_geographic_region = geographic_region_rhine_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_rhine_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-012","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","93","region = sr:region_north_germany","subject_capital_state","geographic_region_north_germany_old","is_in_geographic_region = geographic_region_north_germany_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_north_germany_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-013","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","94","region = sr:region_south_germany","subject_capital_state","geographic_region_south_germany_old","is_in_geographic_region = geographic_region_south_germany_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_south_germany_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-014","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","106","region = sr:region_rhine","any_scope_state","geographic_region_rhine_old","is_in_geographic_region = geographic_region_rhine_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_rhine_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-015","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","107","region = sr:region_north_germany","any_scope_state","geographic_region_north_germany_old","is_in_geographic_region = geographic_region_north_germany_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_north_germany_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-016","B01_GEOGRAPHY","","common/journal_entries/01_natural_borders_of_france.txt","108","region = sr:region_south_germany","any_scope_state","geographic_region_south_germany_old","is_in_geographic_region = geographic_region_south_germany_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_south_germany_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-017","B01_GEOGRAPHY","RR-01","common/journal_entries/01_natural_borders_of_france.txt","128","region = sr:region_rhine","any_state","geographic_region_rhine_old","is_in_geographic_region = geographic_region_rhine_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_rhine_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
"B01-018","B01_GEOGRAPHY","RR-02","common/journal_entries/01_natural_borders_of_france.txt","129","region = sr:region_north_germany","any_state","geographic_region_north_germany_old","is_in_geographic_region = geographic_region_north_germany_old","Victoria 3 1.13.9 game/common/geographic_regions/06_old_strategic_regions.txt defines geographic_region_north_germany_old","RUNTIME_OBSERVED","PATCH_EXACT_FOOTPRINT"
