"historical_identity","normalized_message","country_if_known","country_tag_if_known","law_or_variant_if_known","law_script_key","fallback_law","script_path_if_known","line_if_known","source_mode","historical_occurrences","generation_seen","source_log","current_reproduced","current_occurrences","root_cause_group","fork_attribution","classification","vanilla_1_13_behavior","notes"
"CL-001","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","ANH","ANH","Censorship","law_censorship","Right of Assembly","common/history/countries/anh - anhalt.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-002","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","ANH","ANH","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/anh - anhalt.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-003","Country {COUNTRY} is not permitted to retain law Mercantilism, fix this or consider Isolationism instead","AP7","AP7","Mercantilism","law_mercantilism","Isolationism","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-004","Country {COUNTRY} is not permitted to retain law Outlawed Dissent, fix this or consider Right of Assembly instead","AP7","AP7","Outlawed Dissent","law_outlawed_dissent","Right of Assembly","","","IMPLICIT_DEFAULT_NO_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-005","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","BAD","BAD","Censorship","law_censorship","Right of Assembly","common/history/countries/bad - baden.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-006","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","BAD","BAD","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bad - baden.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-007","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","BAV","BAV","Censorship","law_censorship","Right of Assembly","common/history/countries/bav - bavaria.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-008","Country {COUNTRY} is not permitted to retain law Per-Capita Taxation, fix this or consider Consumption-Based Taxation instead","BAV","BAV","Per-Capita Taxation","law_per_capita_based_taxation","Consumption-Based Taxation","common/history/countries/bav - bavaria.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-009","Country {COUNTRY} is not permitted to retain law Traditionalism, fix this or consider Interventionism instead","BAV","BAV","Traditionalism","law_traditionalism","Interventionism","common/history/countries/bav - bavaria.txt","6","EXPLICIT_ACTIVATE_LAW","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G03_CONFLICTING_LAWS","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Traditionalism disallows Per-Capita Taxation; 1.13.9 proposes Interventionism.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
"CL-010","Country {COUNTRY} is not permitted to retain law Censorship, fix this or consider Right of Assembly instead","BRA","BRA","Censorship","law_censorship","Right of Assembly","common/history/countries/bra - braunschweig.txt","","IMPLICIT_DEFAULT_WITH_COUNTRY_HISTORY","1","release_2.3.0_20260814_184942","error.log","NO","0","CL-G01_TECH_PREREQUISITES","FORK_1776_SETUP_VS_MODERN_LAW_RULES","FORK_ATTRIBUTABLE_SEMANTIC_REWRITE","Same 1.13.9 law technology prerequisite; vanilla 1836 normally supplies a higher starting-tech package.","Absent from retained LOG-9 rotations; late log flooding prevents interpreting absence as a fix."
