family_id,family_description,diagnostic_count,occurrence_count,unique_paths,primary_classification,risk,semantic_rewrite_required,runtime_required,recommended_action,candidate_phase
API_ADD_AMENDMENT,PostValidate of effect 'add_amendment' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_ADD_ENACTMENT_MODIFIER,PostValidate of effect 'add_enactment_modifier' returned false,3,3,1,UNKNOWN_REQUIRES_AUDIT,HIGH,NO,YES,FOCUSED_STATIC_AND_RUNTIME_ATTRIBUTION,LOG-CLEANUP-9-MODIFIER-API-ATTRIBUTION-AUDIT
API_ADD_JOURNAL_ENTRY,PostValidate of effect 'add_journal_entry' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_ADD_MODIFIER,PostValidate of effect 'add_modifier' returned false | Unexpected token: add_modifier,2,2,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_ADD_MODIFIER,PostValidate of effect 'add_modifier' returned false,2,2,1,UNKNOWN_REQUIRES_AUDIT,HIGH,NO,YES,FOCUSED_STATIC_AND_RUNTIME_ATTRIBUTION,LOG-CLEANUP-9-MODIFIER-API-ATTRIBUTION-AUDIT
API_COUNTRY_NAVY_UNIT_TYPE_FRACTION,Unknown trigger type: country_navy_unit_type_fraction,8,8,3,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_CREATE_BUILDING,PostValidate of effect 'create_building' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_CREATE_CHARACTER,PostValidate of effect 'create_character' returned false,5,5,2,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,SEMANTIC_DESIGN_REVIEW_THEN_BOUNDED_MIGRATION,LOG-CLEANUP-6-TO-8-SEMANTIC-BATCHES
API_CUSTOM_TOOLTIP,PostValidate of effect 'custom_tooltip' returned false | PostValidate of trigger 'custom_tooltip' returned false,3,3,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_FORMATION_NAVY_UNIT_TYPE_FRACTION,Unknown trigger type: formation_navy_unit_type_fraction,12,12,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_AMENDMENT,PostValidate of trigger 'has_amendment' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_BUILDING,PostValidate of trigger 'has_building' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_INTEREST_MARKER_IN_REGION,PostValidate of trigger 'has_interest_marker_in_region' returned false,23,23,6,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_JOURNAL_ENTRY,PostValidate of trigger 'has_journal_entry' returned false,6,6,6,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_HAS_OBJECTIVE,PostValidate of trigger 'has_objective' returned false,2,2,2,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_HAS_PORT,Unknown trigger type: has_port,2,2,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_PORT,Unknown trigger type: has_port,7,7,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,SEMANTIC_DESIGN_REVIEW_THEN_BOUNDED_MIGRATION,LOG-CLEANUP-6-TO-8-SEMANTIC-BATCHES
API_HAS_ROLE,PostValidate of trigger 'has_role' returned false,91,91,15,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_TEMPLATE,PostValidate of trigger 'has_template' returned false,4,4,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_HAS_TEMPLATE,PostValidate of trigger 'has_template' returned false,4,4,2,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_HAS_TEMPLATE,PostValidate of trigger 'has_template' returned false,43,75,7,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_IS_BUILDING_TYPE,PostValidate of trigger 'is_building_type' returned false,5,5,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_BUILDING_TYPE,PostValidate of trigger 'is_building_type' returned false,6,6,3,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_IS_HEIR,Unknown trigger type: is_heir,8,8,4,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_RULER,Unknown trigger type: is_ruler,27,27,11,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_IS_TEMPLATE_USED,PostValidate of trigger 'is_template_used' returned false,1,1,1,VANILLA_OR_EXTERNAL,LOW,NO,NO,NO_FORK_ACTION,NONE
API_POST_NOTIFICATION,PostValidate of effect 'post_notification' returned false,3,3,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_REMOVE_MODIFIER,PostValidate of effect 'remove_modifier' returned false,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_SET_INSTITUTION_INVESTMENT_LEVEL,PostValidate of effect 'set_institution_investment_level' returned false,2,2,2,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
API_TYPE,Unexpected token: type,1,1,1,INTENTIONAL_FORK_DIVERGENCE,MEDIUM,NO,NO,PRESERVE_AND_DOCUMENT,NONE
API_VALUE,Unknown trigger type: value,1,1,1,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
PINNING_ATOMICITY_EXCEPTION,Unexpected token: should_be_pinned_by_default,14,14,12,ALREADY_ACCOUNTED_FOR,LOW,NO,NO,KEEP_DOCUMENTED_STATUS,NONE
SYNTAX_FLAG_CANTON_SCALE_FILE_LOCAL_VARIABLES,Malformed token: @canton_scale_denmark_x | Malformed token: @canton_scale_denmark_y,2,2,1,FORK_ATTRIBUTABLE_FIXABLE,LOW,NO,YES,BOUNDED_STATIC_FIX_THEN_RUNTIME,LOG-CLEANUP-5-BOUNDED-FLAG-CANTON-PARSER-FIX
SYNTAX_INTEREST_GROUP_LEADER_CHANCE_KEYS,Unexpected token: commander_leader_chance | Unexpected token: executive_leader_chance,2,2,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,SEMANTIC_DESIGN_REVIEW_THEN_BOUNDED_MIGRATION,LOG-CLEANUP-6-TO-8-SEMANTIC-BATCHES
SYNTAX_STRATEGIC_REGION_LEGACY_KEYS,Unexpected token: region_andes | Unexpected token: region_baltic | Unexpected token: region_brazil | Unexpected token: region_canada | Unexpected token: region_caucasus | Unexpected token: region_central_america | Unexpected token: region_central_asia | Unexpected token: region_congo | Unexpected token: region_dixie | Unexpected token: region_england | Unexpected token: region_gran_colombia | Unexpected token: region_great_plains | Unexpected token: region_iberia | Unexpected token: region_italy | Unexpected token: region_japan | Unexpected token: region_la_plata | Unexpected token: region_manchuria | Unexpected token: region_new_england | Unexpected token: region_niger | Unexpected token: region_north_africa | Unexpected token: region_north_china | Unexpected token: region_north_germany | Unexpected token: region_oceania | Unexpected token: region_pacific_coast | Unexpected token: region_persia | Unexpected token: region_rhine | Unexpected token: region_senegal | Unexpected token: region_south_china | Unexpected token: region_south_germany | Unexpected token: region_southern_africa | Unexpected token: region_the_midwest | Unexpected token: region_zanj,32,32,1,FORK_ATTRIBUTABLE_SEMANTIC_REWRITE,SEMANTIC,YES,YES,SEMANTIC_DESIGN_REVIEW_THEN_BOUNDED_MIGRATION,LOG-CLEANUP-6-TO-8-SEMANTIC-BATCHES
