"id","subsystem","diagnostic_type","normalized_message","raw_example","script_path","script_line","occurrences","fork_file","current_vanilla_homologue","present_in_previous_cleanup","previous_classification","root_cause","attribution","safe_fix","patch_applied","notes"
"LOG13-R0001","ai_strategy.cpp","AI_STRATEGY","Invalid combat unit group 'combat_unit_group_capital_ship' in ai_strategies","Invalid combat unit group 'combat_unit_group_capital_ship' in ai_strategies","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","PRIOR_CANONICAL_DISPOSITION","ALREADY_ACCOUNTED_FOR","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0002","ai_strategy.cpp","AI_STRATEGY","Invalid combat unit group 'combat_unit_group_light_ship' in ai_strategies","Invalid combat unit group 'combat_unit_group_light_ship' in ai_strategies","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","PRIOR_CANONICAL_DISPOSITION","ALREADY_ACCOUNTED_FOR","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0003","ai_strategy.cpp","AI_STRATEGY","Invalid combat unit group 'combat_unit_group_support_ship' in ai_strategies","Invalid combat unit group 'combat_unit_group_support_ship' in ai_strategies","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","PRIOR_CANONICAL_DISPOSITION","ALREADY_ACCOUNTED_FOR","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0004","country.cpp","COUNTRY","The ruler of Ashanti is scripted to be Osei Kwadwo but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Ashanti is scripted to be Osei Kwadwo but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0005","country.cpp","COUNTRY","The ruler of Bhoutan is scripted to be Kunga Rinchen but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Bhoutan is scripted to be Kunga Rinchen but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0006","country.cpp","COUNTRY","The ruler of BrÃªme is scripted to be Hermann von Line but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","The ruler of BrÃªme is scripted to be Hermann von Line but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0007","country.cpp","COUNTRY","The ruler of Buton is scripted to be La Jampi but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","The ruler of Buton is scripted to be La Jampi but that character does not lead the interest group of PropriÃ©taires terriens that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0008","country.cpp","COUNTRY","The ruler of Fouta-Djalon is scripted to be Ibrahima Sori Mawdo but that character does not lead the interest group of OulÃ©mas sunnites that they belong to, which is required under Presidential Elective","The ruler of Fouta-Djalon is scripted to be Ibrahima Sori Mawdo but that character does not lead the interest group of OulÃ©mas sunnites that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0009","country.cpp","COUNTRY","The ruler of Francfort is scripted to be Hieronymus Maximilian von Glauburg but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","The ruler of Francfort is scripted to be Hieronymus Maximilian von Glauburg but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
"LOG13-R0010","country.cpp","COUNTRY","The ruler of Hambourg is scripted to be Nicolaus Schuback but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","The ruler of Hambourg is scripted to be Nicolaus Schuback but that character does not lead the interest group of KleinbÃ¼rger that they belong to, which is required under Presidential Elective","","","1","NOT_EXPOSED_BY_LOG","NOT_EXPOSED_BY_LOG","NO","","HISTORICAL_1776_DESIGN_DEPENDENCY","KNOWN_FORK_DESIGN_DEBT_DEFERRED","NONE_IN_LOG_CLEANUP_13","NO","Final global reindex attribution."
