record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,region_state_empty,pud_province_count,dennor_preserved,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,loyalists_and_radicals,event_2c_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"SESSION_PLAN","prelaunch","","","","","","","","","","","","","","","","","","","no","","","","","","","PASS","one opening; one BIC game; one final closure","No GBR session, reload, console, or relaunch reported; continuous playthrough_id"
"PLAYSET","confirmed","","","","","","","","","","","","","","","","","","","no","","","","","","","PASS","operator confirmed Disposable only","Fork, other 1776 copies, and Workshop disabled"
"MADRAS_INITIAL_FRA","initial","1776.1.1","","STATE_MADRAS","xABADB1","FRA","FRA","FRA","FRA","no","24","yes","about 230000","hindu+sunni+catholic","0","","","","","no","no","","","","","","PASS","UI Carnatic français and split-state list","Single-province French portion"
"MADRAS_INITIAL_DENNOR","initial","1776.1.1","","STATE_MADRAS","x10B060","DENNOR","DENNOR","DENNOR","DENNOR","no","24","yes","about 34300","mixed","","","","","","no","","","","","","","PASS","UI Carnatic dano-norvégienne","Preserved throughout"
"MADRAS_INITIAL_PUD","initial","1776.1.1","","STATE_MADRAS","24 other provinces","PUD","PUD","PUD","PUD","no","24","yes","about 8570000","mixed","","","","","","no","","","","","","","PASS","UI Tamil Nadu / Pudukkottai","No initial BIC portion"
"PREPARATION","after_prepare","1776.1.1","","STATE_MADRAS","xABADB1","FRA","BIC","FRA","BIC","no","24","yes","230605","hindu+sunni+catholic","0","0","","","","no","yes","","COO+JEY subjects of BIC","unchanged","","","PASS","UI Carnatic indien; one territorial mutation FRA to BIC","No other territorial or diplomatic mutation reported"
"MADRAS_BIC_PRE_2C","pre_2c","1776.1.3","10","STATE_MADRAS","xABADB1 / internal 39618","BIC","BIC","BIC","BIC","no","24","yes","230605","hindu 182284; sunni 20098; catholic 28223","2426 state / 2808 national","2426 state / 2808 national","0 0 2808","0.03263","hindu -0.02185; sunni -0.00240; total -0.02425","no","yes","","COO+JEY subjects of BIC","unchanged","HOTFIX_5C2E4C1T_C1_FIX_PRE_2C_1776_01_03.v3","24F3ABA83FD3B3282B6A80259B6BD882E9196150CB8F9052EE236766FA903636","PASS","state 473 country=218 capital=39618 provinces=39618","Deep 1 percent baseline present"
"RADICAL_BASELINE","pre_2c_deep","1776.1.3","10","STATE_MADRAS","39618","BIC","BIC","BIC","BIC","no","24","yes","202382 targeted","hindu+sunni","2426 state","2426","0 0 2808","0.03263","-0.02425","no","yes","","","","HOTFIX_5C2E4C1T_C1_FIX_PRE_2C_1776_01_03.v3","24F3ABA83FD3B3282B6A80259B6BD882E9196150CB8F9052EE236766FA903636","PASS_RADICALS_DEEP","six Hindu and one Sunni live pop objects carry nonzero baseline","UI materialized baseline by Jan 3"
"PRE_2C_SAVE","immutable_save","1776.1.3","10","STATE_MADRAS","39618","BIC","BIC","BIC","BIC","no","24","yes","230605","mixed","2426","2426","0 0 2808","0.03263","-0.02425","no","yes","","","","HOTFIX_5C2E4C1T_C1_FIX_PRE_2C_1776_01_03.v3","24F3ABA83FD3B3282B6A80259B6BD882E9196150CB8F9052EE236766FA903636","PASS","8263309 bytes; serialized 1776.1.3.6","Original remained unchanged after Rakaly analysis"
"EVENT_2C","manual_selection","1776.1.3","10","STATE_MADRAS","xABADB1","BIC","BIC","BIC","BIC","no","24","yes","230605","hindu+sunni","2426","2426","0 0 2808","0.03263 to 0.25521","-0.02425 to -0.24683","yes","yes","yes","COO+JEY subjects of BIC","independent","","","PASS","event 2 opened on BIC; Madras option available and exclusively selected","Tooltip announced 10 percent Hindu and Sunni radicals"
"MADRAS_POST_2C","immediate","1776.1.3","10","STATE_MADRAS","xABADB1 / internal 39618","BIC","BIC","BIC","BIC","no","24","yes","230605","hindu+sunni+catholic","2426","2426 state / 2808 national","0 0 2808","0.25521","hindu -0.22234; sunni -0.02449; total -0.24683","yes","yes","yes","","","HOTFIX_5C2E4C1T_C1_FIX_POST_2C_IMMEDIATE_1776_01_03.v3","BE1D2277A6FD869CBD6954DF35BF62EA495EE74FE167CB63570B34CBABF8EA57","PASS","state 473 country=218 capital=39618 provinces=39618","Region state real and non-empty"
"PUD_POST_2C","immediate","1776.1.3","10","STATE_MADRAS","24 PUD provinces","PUD","PUD","PUD","PUD","no","24","yes","","mixed","","40","","","","yes","yes","yes","","","HOTFIX_5C2E4C1T_C1_FIX_POST_2C_IMMEDIATE_1776_01_03.v3","BE1D2277A6FD869CBD6954DF35BF62EA495EE74FE167CB63570B34CBABF8EA57","PASS","state 475 country=415; provinces encoding unchanged 39599 13 39614 3 39619 5","PUD did not absorb 39618"
"DENNOR_POST_2C","immediate","1776.1.3","10","STATE_MADRAS","x10B060 / internal 39613","DENNOR","DENNOR","DENNOR","DENNOR","no","24","yes","about 34300","mixed","","0","","","","yes","yes","yes","","","HOTFIX_5C2E4C1T_C1_FIX_POST_2C_IMMEDIATE_1776_01_03.v3","BE1D2277A6FD869CBD6954DF35BF62EA495EE74FE167CB63570B34CBABF8EA57","PASS","state 474 country=745 capital=39613 provinces=39613","DENNOR unchanged"
"POST_2C_IMMEDIATE","save","1776.1.3","10","STATE_MADRAS","39618","BIC","BIC","BIC","BIC","no","24","yes","230605","mixed","2426","2426 state / 2808 national","0 0 2808","0.25521","-0.24683","yes","yes","yes","","","HOTFIX_5C2E4C1T_C1_FIX_POST_2C_IMMEDIATE_1776_01_03.v3","BE1D2277A6FD869CBD6954DF35BF62EA495EE74FE167CB63570B34CBABF8EA57","PASS_RADICALS_DEEP_PARTIAL_UI","8271635 bytes; serialized 1776.1.3.6","Deep delta immediate; aggregates unchanged"
"POST_2C_TICK1","ui_checkpoint","1776.1.4","","STATE_MADRAS","xABADB1","BIC","BIC","BIC","BIC","no","24","yes","about 230000","mixed","2426","","","","","yes","yes","yes","","","","","PASS","operator screenshot on Jan 4 shows BIC and 2426 radicals","No territorial regression"
"POST_2C_TICK2","final_save","1776.1.5","18","STATE_MADRAS","xABADB1 / internal 39618","BIC","BIC","BIC","BIC","no","24","yes","230591","hindu 182284; sunni 20098","2426 serialized","2426 state / 2808 national","0 0 2808","0.25808","hindu -0.22235; sunni -0.02449; total -0.24684","yes","yes","yes","","","HOTFIX_5C2E4C1T_C1_FIX_POST_2C_TICK2_1776_01_05.v3","A93D2250AC4F89F516938B79A8FB3B9BD90F1B62C810CD0C201A5CFFAA694A08","PASS_RADICALS_DEEP_PARTIAL_UI","state 473 and all three Madras owners preserved at tick 18","8366412 bytes; serialized 1776.1.5.6"
"RADICALS_HINDU","deep_comparison","1776.1.3","10","STATE_MADRAS","39618","BIC","BIC","BIC","BIC","no","24","yes","182284","hindu","2426 state aggregate","2426","stale","included in 0.03263 to 0.25521","-0.02185 to -0.22234; delta -0.20049","yes","yes","yes","","","pre and immediate saves","see save rows","PASS_RADICALS_DEEP","six Hindu pop objects changed immediately","Final sum -0.22235"
"RADICALS_SUNNI","deep_comparison","1776.1.3","10","STATE_MADRAS","39618","BIC","BIC","BIC","BIC","no","24","yes","20098","sunni","2426 state aggregate","2426","stale","included in 0.03263 to 0.25521","-0.00240 to -0.02449; delta -0.02209","yes","yes","yes","","","pre and immediate saves","see save rows","PASS_RADICALS_DEEP","one Sunni pop object changed immediately","Final sum -0.02449"
