path,location,status,size,sha256,utf8_bom,purpose,scenario_state,mutation_count,valid_receivers_before,valid_receivers_after,calls_sepoy_event_2,contains_automatic_option_choice,source_example,notes
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","CREATED_A2_HARNESS","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","true","manual preparation and launch decisions","STATE_CEYLON","2","1","0","true","false","fork Sepoy event call syntax and vanilla state-owner effects","Calls sepoy_mutiny_events.2 only after explicit player confirmation."
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","CREATED_A2_HARNESS","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","true","manual state mutations and readiness marker","STATE_CEYLON","2","1","0","false","false","vanilla set_state_owner and region_state scoping","Transfers main Ceylon DEI to BIC and Madras PUD to GBR; no automatic Sepoy call."
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","CREATED_A2_HARNESS","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","true","English visible harness text","STATE_CEYLON","2","1","0","false","false","existing disposable harness localization format","Ten unique localization keys; no gameplay."
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","CREATED_A2_HARNESS","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","true","French visible harness text","STATE_CEYLON","2","1","0","false","false","existing disposable harness localization format","Ten unique localization keys; no gameplay."
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","true","root scope test control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","true","root scope event control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","true","root scope English control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","true","root scope French control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","true","A-1 decision control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","true","A-1 event control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","true","A-1 English control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","true","A-1 French control","","","","","false","false","prior disposable harness","Unchanged byte-for-byte."
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","runtime source JE control","","","","","false","false","fork source file","Matches fork byte-for-byte."
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","true","runtime source event control","","","","","false","false","fork source file","Matches fork byte-for-byte."
