"path","location","status","size","sha256","utf8_bom","purpose","scenario_state","mutation_count","receiver_a","receiver_b","valid_receivers_before","valid_receivers_after","topology_stable","calls_sepoy_event_2","contains_automatic_option_choice","source_example","notes"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","CREATED_A3_HARNESS","3071","83182B75639F6A2FAD56F0CFE7BA47A06CDAF3A0E0249E989A96253B0A451D9F","true","manual preparation and launch decisions","STATE_BUNDELKHAND","0","MARATH","NAG","2","2","true","true","false","fork/vanilla sepoy_mutiny_events.2.a receiver filters and A-2 decision format","Checks both receiver tags and excludes every other neighboring owner passing the same filters; one manual event call."
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","CREATED_A3_HARNESS","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","true","manual readiness event with zero territorial mutations","STATE_BUNDELKHAND","0","MARATH","NAG","2","2","true","false","false","A-1/A-2 country event and marker syntax","Exactly two options and one readiness marker; no state-owner effect."
"localization/english/zz_sepoy_functional_test_a3_l_english.yml","disposable_copy","CREATED_A3_HARNESS","1776","D27875BD0B8C3108CA03E4E6A6E4D427ADD7BE54A316020823E970E6BF10CD53","true","English visible A-3 instructions","STATE_BUNDELKHAND","0","MARATH","NAG","2","2","true","false","false","existing disposable harness localization format","Ten keys; warns about two receivers, manual 2.a and five reloads."
"localization/french/zz_sepoy_functional_test_a3_l_french.yml","disposable_copy","CREATED_A3_HARNESS","2032","F4B6C3432DB345CE235411F9DC0E9F184CCAEDECE7D7C65B33F5F405B94FB35D","true","French visible A-3 instructions","STATE_BUNDELKHAND","0","MARATH","NAG","2","2","true","false","false","existing disposable harness localization format","Ten keys; no raw visible harness key in French."
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","true","root decision control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","true","root event control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","true","root English control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","true","root French control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","true","A-1 decision control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","true","A-1 event control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","true","A-1 English control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","true","A-1 French control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","true","A-2 decision control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","true","A-2 event control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/english/zz_sepoy_functional_test_a2_l_english.yml","disposable_copy","UNCHANGED_CONTROL","1407","882ED5B6B51095923FB614F27E03944C04DA25F3A236CC56685000D8154A8EF9","true","A-2 English control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"localization/french/zz_sepoy_functional_test_a2_l_french.yml","disposable_copy","UNCHANGED_CONTROL","1546","0C50B823D8E96B8C4DF3F44E96A13F2010967ED307DF858AB0298BB20AEC630A","true","A-2 French control","","","","","","","","false","false","prior disposable harness manifest","Unchanged byte-for-byte from the C1F manifest."
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","runtime source JE control","","","","","","","","false","false","fork source file","Matches fork and expected SHA-256 byte-for-byte."
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","true","runtime source event control","","","","","","","","false","false","fork source file","Option 2.a matches fork, hotfix and vanilla; file unchanged."
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","true","protected fork JE source","","","","","","","","false","false","fork source file","Read-only; no fork gameplay change."
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","true","protected fork event source","","","","","","","","false","false","fork source file","Read-only; no fork gameplay change."
"descriptor.mod","disposable_copy","EXPECTED_DESCRIPTOR_DIFFERENCE","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","false","disposable copy descriptor","","","","","","","","false","false","existing disposable copy","Intentionally differs from the main fork descriptor; unchanged during C1H."
"DISPOSABLE_SEPOY_TEST_COPY.txt","disposable_copy","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","false","disposable-copy safety marker","","","","","","","","false","false","existing disposable copy","Unchanged during C1H."
"1776_Age_of_Revolutions_sepoy_test.mod","launcher_descriptor","EXPECTED_DESCRIPTOR_DIFFERENCE","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","false","launcher pointer to disposable copy","","","","","","","","false","false","existing launcher descriptor","Intentionally points to the disposable copy; unchanged during C1H."
"docs/reports/hotfix/HOTFIX_5C2E4C1H_SEPOY_A3_STATIC_SETUP.md","fork","CREATED_REPORT","21086","89476A6E6697650B27F8E960AF0D7178A3973158C1838E6A08F74AAEA56560F7","false","static A-3 setup report","STATE_BUNDELKHAND","0","MARATH","NAG","2","2","true","false","false","static fork/hotfix/vanilla analysis","Forty-five numbered sections; no gameplay."
