"path","location","status","size","sha256","utf8_bom","lf_only","purpose","scenario","state_region","original_owner","prepared_owner","territorial_mutation_count","radical_call_count","west_bengal_bic_required_before","west_bengal_bic_absent_after","bombay_bic_present_after","east_bengal_unchanged","calls_sepoy_event_2","automatic_option_choice","custom_tooltip_count","notes"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","0","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","1","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","1","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","1","False","6","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","1","False","2","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","1","False","2","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","UNCHANGED_CONTROL","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","True","True","E-1 Bombay runtime harness control","E-1","STATE_BOMBAY; STATE_WEST_BENGAL","POR","BIC","0","0","true","false","true","true","1","False","2","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_functional_test_e2.txt","disposable_copy","CREATED","2171","40F46A2DD3CBA51C84639F69D1D6364F0FD3B498CD046AE95FC42A352D57613B","True","True","E-2 availability harness","E-2","STATE_BOMBAY; STATE_WEST_BENGAL","POR Bombay; BIC West Bengal","BIC Bombay; COO West Bengal","0","0","true","true","true","true","1","False","2","Existing controls match C1AA; E-2 files are new in C1AC"
"common/decisions/zz_sepoy_radical_diagnostic_e1d.txt","disposable_copy","UNCHANGED_CONTROL","858","D0605A942B70B0CABE1159AA296000A4FAA0A5F1D65359C785EE0B638F24A750","True","True","E1D radical diagnostic control","E1D","STATE_BOMBAY; STATE_WEST_BENGAL","N/A","N/A","0","0","N/A","N/A","true","true","0","False","1","Existing controls match C1AA; E-2 files are new in C1AC"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","0","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"events/zz_sepoy_functional_test_a2_events.txt","disposable_copy","UNCHANGED_CONTROL","1169","71EC607B1AA2290A429D02AB479B19A84EA54F0A7FF72FB19D0B96C8041B65FB","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","2","0","N/A","N/A","N/A","N/A","0","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"events/zz_sepoy_functional_test_a3_events.txt","disposable_copy","UNCHANGED_CONTROL","1931","D9F2BFD9E6A614D5065F26A5613C43C5DAC7E6153ED85839FD39457AFA05B633","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","N/A","N/A","N/A","N/A","0","False","0","Existing controls match C1AA; E-2 files are new in C1AC"
"events/zz_sepoy_functional_test_b1_events.txt","disposable_copy","UNCHANGED_CONTROL","1484","A6C16789215C8934725F74C75CD14D5D27167C1E76101D0EBF7F5FE2E5B5767E","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","2","N/A","N/A","N/A","N/A","0","False","1","Existing controls match C1AA; E-2 files are new in C1AC"
"events/zz_sepoy_functional_test_c1_events.txt","disposable_copy","UNCHANGED_CONTROL","1462","E4D8EFC14CD004268D33CE374F50FD71B0587DB358DF498AB0251B962F34E313","True","True","Pre-existing disposable harness","LEGACY","N/A","N/A","N/A","1","2","N/A","N/A","N/A","N/A","0","False","1","Existing controls match C1AA; E-2 files are new in C1AC"
