record_type,checkpoint,game_date,game_tick,state_region,province_id,owner_before,owner_after,controller_before,controller_after,population,religion,radicals_visible,population_radicals,trend_radicals,radicals_increase,event_2c_executed,bic_portion_preserved,loop_terminated,subject_before,subject_after,save_name,save_sha256,result,evidence,notes
"SESSION_PLAN","prelaunch","","","","","","","","","","","","","","","no","","","","","","","PASS","one opening; one BIC game; one final closure","No GBR session, reload, console, or relaunch reported"
"PLAYSET","confirmed","","","","","","","","","","","","","","","no","","","","","","","PASS","Disposable only confirmed by operator","Fork, other 1776 copies, and Workshop disabled"
"MADRAS_FRA_INITIAL","initial","1776.1.1","","STATE_MADRAS","xABADB1","FRA","FRA","FRA","FRA","230609","hindu+sunni+catholic","0","","","","no","no","","","","","","PASS","UI Carnatic français; one-province portion","Pondichéry"
"MADRAS_DENNOR_INITIAL","initial","1776.1.1","","STATE_MADRAS","x10B060","DENNOR","DENNOR","DENNOR","DENNOR","34313","mixed","0","","","","no","","","","","","","PASS","UI and serialized state 474 / province 39613","Preserved throughout"
"MADRAS_PUD_INITIAL","initial","1776.1.1","","STATE_MADRAS","24 other provinces","PUD","PUD","PUD","PUD","8569817","mixed","","0","","","no","","","","","","","PASS","Serialized state 475 contains 24 provinces","No initial BIC portion"
"PREPARATION","after_prepare","1776.1.1","","STATE_MADRAS","xABADB1","FRA","BIC","FRA","BIC","230609","hindu+sunni+catholic","0","0","0","0.02769","no","yes","","","","","","PASS","Serialized state 473 country=218 province=39618","Only territorial mutation FRA to BIC"
"MADRAS_BIC_PRE_2C","pre_2c","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","BIC","BIC","BIC","230609","hindu+sunni+catholic","0","0","0","0.02769","no","yes","","","","HOTFIX_5C2E4C1R_C1_PRE_2C_1776_01_03.v3","0F217CBFD6019C35FC669F215537109B0FEA81C9669104486C70112667D1ADB7","PASS","state 473 country=218 capital/province=39618","Save is actually dated Jan 2 despite its filename"
"RADICAL_BASELINE","deep_pre_2c","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","BIC","BIC","BIC","202386","hindu+sunni","0","0","0","0.02769","no","yes","","","","HOTFIX_5C2E4C1R_C1_PRE_2C_1776_01_03.v3","0F217CBFD6019C35FC669F215537109B0FEA81C9669104486C70112667D1ADB7","PASS","loyalists_and_radicals=-0.02425; hindu=-0.02185; sunni=-0.00240; radicals_increase component=0.02425","Deep baseline confirmed despite stale UI"
"PRE_2C_SAVE","save","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","BIC","BIC","BIC","","","0","0","0","0.02769","no","yes","","","","HOTFIX_5C2E4C1R_C1_PRE_2C_1776_01_03.v3","0F217CBFD6019C35FC669F215537109B0FEA81C9669104486C70112667D1ADB7","PARTIAL_PROTOCOL","size=8022567; mtime=2026-07-20T02:19:59.3818285Z","Temporal checkpoint occurred one day early"
"EVENT_2C","manual_option","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","PUD","BIC","PUD","","","","2466","0","0.02769","yes","no","yes","","","","","","FAIL_C1_MADRAS_CORE_LOST","2.c available and selected exclusively; event closed","Loop completed but removed the Madras core"
"MADRAS_POST_2C","immediate","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","PUD","BIC","PUD","","","2466","2466","0","0.02769","yes","no","yes","","","HOTFIX_5C2E4C1R_C1_POST_2C_IMMEDIATE_1776_01_03.v3","BBD957F0E3EEEF945B3333F42EF5D9CC44222B4C205C123EB18CD3B1C745E57E","FAIL_C1_MADRAS_CORE_LOST","state 473 empty; state 475 PUD expands from 24 to 25 provinces and includes 39618","DENNOR state 474 unchanged"
"POST_2C_IMMEDIATE","save","1776.1.2","5","STATE_MADRAS","xABADB1","BIC","PUD","BIC","PUD","","","2466","2466","0","0.02769","yes","no","yes","","","HOTFIX_5C2E4C1R_C1_POST_2C_IMMEDIATE_1776_01_03.v3","BBD957F0E3EEEF945B3333F42EF5D9CC44222B4C205C123EB18CD3B1C745E57E","FAIL_C1_MADRAS_CORE_LOST","size=8031220; mtime=2026-07-20T02:34:42.8843793Z","Additional sav_post_option_2.c.v3 preserved separately"
"POST_2C_TICK1","observation","1776.1.4","","STATE_MADRAS","xABADB1","PUD","PUD","PUD","PUD","","","","2466","","","yes","no","yes","","","","","FAIL_C1_MADRAS_CORE_LOST","Operator reports territorial layout remained normal","No separate serialized Jan 4 save"
