system,function_or_object,source_file,vanilla_equivalent,implementation_method,inputs,decision_logic,outputs,used_by_tech_res,criticality,1776_relevance,reimplementation_complexity,notes
Dependency,kai_has_high_supply,common/scripted_triggers/kai_scripted_triggers.txt,NONE,SCRIPTED_AUXILIARY_LOGIC,market good price and NAI high-price threshold,True when market good is sufficiently cheap,Boolean export guard,YES_62_CALLS,REQUIRED_FOR_AI,HIGH,LOW,Only proven direct Tech & Res external symbol
Construction,NAI wanted construction parameters,common/ai_strategies/00_default_strategy.txt,ai_strategy_default,OVERRIDE,income investment pool technology strategies,Recalculates desired construction with revised caps and multipliers,Construction-sector target,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,HIGH,Full default-strategy object overrides vanilla
Construction,building_construction_sector,common/buildings/kai_buildings.txt,building_construction_sector,INJECT,state population and iron potential,Adds placement value in populous states with iron,State construction priority,NO,OPTIONAL_ENHANCEMENT,MEDIUM,LOW,Does not generalize to arbitrary new resources
Construction,building_government_administration,common/buildings/kai_buildings.txt,building_government_administration,INJECT,incorporation tax usage tax capacity,Weights deficits and usage/capacity ratio,State placement score,NO,OPTIONAL_ENHANCEMENT,LOW,MEDIUM,Anticipates tax-capacity growth better than flat deficit
Construction,building_power_bloc_statue,common/buildings/kai_buildings.txt,building_power_bloc_statue,INJECT,population capital rank game rule,Prevents monument spam and favors eligible capitals,Building AI value,NO,OPTIONAL_ENHANCEMENT,LOW,LOW,Not economic-chain logic
Building AI,PRODUCTION_BUILDING_OUTPUT_HIGH_PRICE_WANTS_HIGH_SUPPLY_FACTOR,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,current output value price and goods stance,Raises government construction score for expensive wanted output,Building candidate score,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,Reactive to current price/stance
Building AI,PRODUCTION_BUILDING_FAVORED_GOODS_FACTOR,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,output value and stance,Reduces generic favored-goods weight to avoid throughput bias,Building candidate score,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,No explicit future chain solver
PM AI,PRODUCTION_METHOD_BASE_VALUE,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,PM score,Sets lower base 300,PM selection score,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,Makes multipliers less dominant
PM AI,PRODUCTION_METHOD_INCREASE_OUTPUT_PENALTY_FACTOR,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,predicted input shortages,Uses 0.95 rather than near-rejection so experimental PMs can create demand,PM selection score,INDIRECT,OPTIONAL_ENHANCEMENT,CRITICAL,LOW,Key new-good bootstrap behavior
PM AI,PRODUCTION_METHOD_REDUCE_OUTPUT_PENALTY_FACTOR,common/defines/kai_ai.txt,NAI define,DEFINE_CHANGE,current shortage and output penalties,Uses factor 5 to value shortage relief,PM selection score,INDIRECT,OPTIONAL_ENHANCEMENT,HIGH,LOW,Reactive recovery behavior
