"candidate_id","candidate_name","good_class","historical_period","historical_importance","industrial_versatility","strategic_importance","trade_importance","geographic_concentration","price_and_market_potential","number_of_industrial_uses","gameplay_distinctiveness","compatibility_with_victoria3","implementation_complexity","risk_of_redundancy","positive_score","final_score","tier","recommended_representation","principal_uses","justification"
"R01","phosphates","extractive_resource","1830-1936","5","4","4","5","4","4","4","4","4","3","2","38","33","A","new_good","fertilizer;chemicals;Thomas slag substitute","Distinct geography and trade; enables non-nitrogen fertilizer chain."
"R02","aluminum","industrial_good","1888-1936","5","5","5","4","4","4","5","5","4","4","2","41","35","A","new_good","electrical;aviation;vehicles;construction;packaging","Strong multi-use late-game chain requiring electricity."
"R03","refined_fuels","industrial_good","1860-1936","5","5","5","5","3","5","5","5","5","3","1","43","39","A","new_good","lighting;automobiles;aviation;diesel;chemicals","Oil alone hides refinery choice and engine demand."
"R04","industrial_chemicals","intermediate_good","1790-1936","5","5","5","4","2","5","5","4","5","3","2","40","35","A","new_good","alkalis;acids;bleach;paper;textiles;metallurgy","Useful aggregator avoiding many micro-goods."
"R05","pharmaceuticals","consumer_strategic_good","1870-1936","5","4","4","4","2","4","4","5","4","4","2","36","30","A","new_good","health;military medicine;institutions;consumption","Creates demand and distinct fine-chemical chain."
"R06","precision_machinery","industrial_good","1840-1936","5","5","5","4","2","5","5","5","4","3","2","40","35","A","new_good_or_tools_split","machine tools;electricals;autos;weapons;labs","Lets advanced capital goods differ from generic tools."
"R07","cement","industrial_good","1840-1936","5","4","3","4","2","5","4","4","5","2","2","36","32","A","new_good","construction;ports;sewers;railways;fortifications","High-volume market with clear production chain."
"R08","nitrates","extractive_resource","1840-1913","5","4","5","5","5","5","4","5","4","4","3","42","35","A","new_good_or_sulfur_split","fertilizer;explosives;chemicals","Strategic concentrated trade before Haber-Bosch; balance carefully."
"R09","copper","extractive_resource","1830-1936","5","5","5","5","4","5","5","5","4","5","2","43","36","A","new_good","telegraph;power grids;motors;alloys;munitions","Major omission if electrical economy is deepened; high map work."
"R10","bauxite","extractive_resource","1886-1936","4","2","4","4","4","4","2","4","3","4","2","31","25","B","new_good_if_aluminum","alumina;refractories","Clear geography but mainly one chain; conditional on aluminum."
"R11","nickel","extractive_resource","1880-1936","4","3","5","4","5","4","3","4","3","4","2","35","29","B","new_good_or_alloy_PM","alloy steel;armor;batteries;coinage","Strategic and concentrated but late and map-intensive."
"R12","natural_rubber","extractive_agricultural_good","1840-1936","5","5","5","5","5","5","5","5","5","0","0","45","45","A","keep_existing","tires;belts;insulation;medical","Already a strong vanilla good; retain and improve historical distribution."
"R13","fertilizer","industrial_good","1840-1936","5","5","5","5","2","5","5","5","5","0","0","42","42","A","keep_existing","agriculture;explosives link","Existing good already covers output; diversify inputs and PMs."
"R14","dyes","agricultural_and_industrial_good","pre-1776-1936","4","3","2","5","4","4","3","4","5","0","1","34","33","A","keep_existing","textiles;printing;chemistry","Existing dye can switch from plantations to aniline output."
"R15","glass","industrial_good","pre-1776-1936","4","5","3","4","2","5","5","3","5","0","1","36","35","A","keep_existing","construction;containers;optics;electrical","Existing good sufficient; improve PMs rather than split industrial glass."
"R16","pulp","intermediate_good","1850-1936","4","3","2","4","3","4","3","3","4","3","4","30","23","B","new_good_or_wood_input_PM","paper;rayon;celluloid;explosives","Multiple uses but risks overcomplicating paper chain."
"R17","electrical_apparatus","industrial_good","1880-1936","5","5","5","4","2","5","5","4","4","4","3","39","32","B","split_from_telephones_or_engines","motors;generators;transformers;appliances","Distinct capital good; overlap with engines and telephones needs design."
"R18","chromium","extractive_resource","1890-1936","3","2","5","3","4","3","2","3","3","4","3","28","21","B","new_good_or_alloy_PM","stainless and armor steel;plating","Strategic but narrow; bundle as alloying metals if possible."
"R19","manganese","extractive_resource","1860-1936","4","2","4","4","4","3","2","3","3","4","3","29","22","B","new_good_or_alloy_PM","steel deoxidation;alloys;batteries","Important steel input but low player-facing distinctiveness."
"R20","industrial_dyes","industrial_good","1856-1936","4","3","2","4","2","4","3","2","5","2","4","29","23","B","existing_dye_output_PM","textiles;printing;chemistry","Do not split from dye; let chemical plants produce existing dye."
"R21","potash","extractive_or_chemical_good","pre-1776-1936","3","4","3","4","3","3","4","3","3","4","4","30","22","C","fertilizer_PM_input_or_modifier","glass;soap;fertilizer","Multiple uses but redundant with industrial chemicals/fertilizer."
"R22","tungsten","extractive_resource","1900-1936","3","2","5","4","5","3","2","3","2","5","3","29","21","C","alloy_PM_or_state_trait","high-speed steel;carbides;munitions","Very strategic but late and narrow; avoid standalone good initially."
