v1_node,historical_role,vanilla_equivalent,engine_representation,vanilla_object_ids,required_techs,great_wave_dependency,free_patch_dependency,implementation_candidate,implementation_risk,notes
state_dockyard_systems,State organization of dockyards and naval construction,navigation / building_shipyard,MULTIPLE,navigation|building_shipyard|pm_basic_shipbuilding|pm_military_shipbuilding_wooden,navigation,NONE,BASE_GAME_FREE_1_13,KEEP_AS_TECH,LOW,Keep the historical capability; use the existing shipyard building unlock and initial civil/military capacity rather than a new naval category.
enclosed_dock_systems,"Enclosed commercial wet docks, regular cargo handling and merchant repair",building_port / trade-center quantity PMs; no enclosed-dock object,PORT_PM,building_port|pm_basic_port|pm_trade_center_trade_quantity_normal,navigation,NONE,BASE_GAME_FREE_1_13,USE_PM_UNLOCK,MEDIUM,"Keep distinct from vanilla drydocks: V1 is civil/commercial, while drydocks directly gates the military ship_of_the_line. A port/trade-capacity PM is the natural representation."
scientific_naval_architecture,"Scientific design, stability and standardized calculation",no exact object; designer stat/cost model is generic,COUNTRY_MODIFIER,NONE,NONE,ship_designer for player custom authoring only,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,MEDIUM,Do not invent a ship type. A country modifier to construction efficiency/ship quality is the least invasive representation.
marine_chronometry,"Reliable longitude, safer ocean navigation and reach",navigation and generic ship supply/range modifiers,COUNTRY_MODIFIER,navigation,navigation,NONE,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,LOW,"No chronometer component exists. Use fleet/ship supply or naval mission reach modifiers, not a weapon/hull."
ship_classification_surveying,"Classification rules, inspection and condition survey",no direct classification institution/system,COUNTRY_MODIFIER,NONE,NONE,NONE,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,MEDIUM,"Ship groups classify military hulls, but they are combat-composition data, not civil classification societies."
copper_sheathing,Antifouling copper skin for wooden hull speed and endurance,no copper sheathing/coating/antifouling object,COMPONENT,ship_mod_slot_utility_1|ship_mod_slot_range,NONE,ship_designer for player custom selection,BASE_GAME_FREE_1_13 data,USE_COMPONENT_UNLOCK,HIGH,COPPER_SHEATHING_VANILLA_SUPPORT=NONE. A utility/range ship_modification is mechanically possible but needs default-template and non-DLC handling.
hydrographic_surveying,"Charting, soundings, safer routes and operational reach",generic naval mission sea-region and supply/range modifiers,COUNTRY_MODIFIER,NONE,navigation,NONE,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,LOW,No hydrography object; map topology remains engine data.
standardized_naval_signals,"Fleet command, signalling and coordinated maneuvers","generic fleet/ship readiness, screening and mission modifiers",FLEET_MODIFIER,NONE,admiralty,NONE,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,LOW,No doctrine/component slot exists for signals; country-applied fleet modifiers fit existing mechanics.
paddle_steam_navigation,Early civil-first steam navigation with military spillover,paddle_steamer,MULTIPLE,paddle_steamer|ship_mod_frigate_propulsion_medium|ship_mod_ship_of_the_line_propulsion_medium|pm_complex_shipbuilding,admiralty,ship_designer for custom selection,BASE_GAME_FREE_1_13 data,USE_PROPULSION_UNLOCK,HIGH,Vanilla paddle_steamer only gives combat modifiers and precedes screw_frigate; atmospheric_engine currently unlocks the two early medium propulsion components. Rewiring must preserve civil shipyard progression.
mechanized_naval_dockyards,"Mechanized handling, cranes and higher ship construction throughput",gantry_cranes / metal shipbuilding,SHIPYARD_PM,gantry_cranes|pm_metal_shipbuilding,screw_frigate,NONE,BASE_GAME_FREE_1_13,USE_PM_UNLOCK,MEDIUM,Use the active shipyard PM/country_ship_construction capacity pattern; do not rely on the unreferenced pmg_military_base or create a second military shipyard building without need.
diagonal_ship_framing,Structural reinforcement of large wooden hulls,no diagonal framing or structural hull slot,COUNTRY_MODIFIER,NONE,NONE,NONE,BASE_GAME_FREE_1_13,USE_BUILDING_MODIFIER,MEDIUM,No WOODEN_HULL_STRUCTURAL_COMPONENT family exists. A shipyard construction/throughput modifier is safer than a new GUI slot.
naval_shell_guns,Explosive shell artillery for warships,shell_gun and guns modifications,WEAPON,shell_gun|ship_mod_frigate_guns_high|ship_mod_ship_of_the_line_guns_high,paddle_steamer,ship_designer for custom selection,BASE_GAME_FREE_1_13 data,USE_WEAPON_UNLOCK,LOW,Vanilla provides an exact component unlock relation for the two early high-gun modifications.
maritime_safety_standards,"Civil safety, inspection, loss prevention and reliable carriage",indirect convoy/port/ship-loss mechanics only,COUNTRY_MODIFIER,building_port|pmg_base_building_port,navigation,NONE,BASE_GAME_FREE_1_13,USE_COUNTRY_MODIFIER,MEDIUM,No safety standard law/institution or merchant-ship designer exists.
modern_lighthouse_optics,"Lighthouse visibility, approach safety and port reach",no lighthouse building/component,COUNTRY_MODIFIER,building_port,navigation,NONE,BASE_GAME_FREE_1_13,USE_BUILDING_MODIFIER,LOW,Represent on ports/state maritime infrastructure; a new ship component would be historically wrong.
iron_hull_construction,"Iron structural hulls, including unarmored/civil use before armored ironclads",ship_type_iron_frigate plus iron construction goods; currently gated by ironclad_tech,SHIP_TYPE,ship_type_iron_frigate|ship_mod_slot_armor|ironclad_tech,NONE,ship_designer for custom templates,BASE_GAME_FREE_1_13 data,REWIRE_VANILLA_TECH,HIGH,"IRON_HULL_AND_IRONCLAD_ARE_MECHANICALLY_DISTINCT=PARTIAL. The data model separates type/goods and armor modification, but vanilla iron_frigate requires ironclad_tech and has base armor 17. Rewire progression without merging civil iron hulls and armored warships."
