"innovation_id","innovation_name","category","innovation_type","earliest_antecedent_date","practical_breakthrough_date","commercial_adoption_date","mass_industrialization_date","origin_regions","important_people_or_institutions","diffusion_routes","scientific_prerequisites","technical_prerequisites","institutional_prerequisites","energy_requirements","raw_materials_required","intermediate_goods","final_products","industries_enabled","industries_transformed","labor_and_skill_changes","infrastructure_requirements","military_uses","civilian_uses","social_effects","environmental_effects","importance_for_1776_start","possible_game_representation","candidate_tech_era","historical_confidence","gameplay_relevance_score","sources","notes"
"I001","Moulin hydraulique industriel","énergie","technical_invention","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","énergie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S01;S18","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I002","Moulin à vent vertical","énergie","technical_invention","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","énergie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S02;S19","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I003","Papier de fibres","information","knowledge_diffusion","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","information","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S03;S20","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I004","Imprimerie xylographique","information","knowledge_diffusion","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","information","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S04;S21","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I005","Caractères mobiles métalliques coréens","information","knowledge_diffusion","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","information","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S05;S22","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I006","Presse typographique européenne","information","knowledge_diffusion","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","information","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S06;S23","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I007","Poudre noire","chimie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","chimie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S07;S24","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I008","Haut fourneau","métallurgie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","métallurgie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S08;S25","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I009","Fer africain à bas fourneau","métallurgie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","métallurgie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","CONTESTED","4","S09;S26","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
"I010","Acier au creuset wootz","métallurgie","production_process","Antiquité ou Moyen Âge","800-1650","1200-1750","avant 1776","Afrique;Asie;Europe;Amériques selon innovation","artisans;ingénieurs;savants;entreprises ou États","commerce;publications;migrations techniques;commandes publiques","savoir empirique puis science formalisée","outils;machines;mesure et matériaux adaptés","capital;compétences;droits;normes ou administration","travail;eau;charbon;pétrole ou électricité","matières locales;métaux;produits agricoles ou chimiques","intrants préparés","biens industriels ou services","métallurgie","industries en aval documentées dans les chaînes","spécialisation;mécanisation;nouvelles qualifications","ateliers;réseaux;transport;énergie","logistique;armement ou matériaux si pertinent","production;consommation;santé ou mobilité","productivité;urbanisation;redistribution du travail","extraction;pollution;émissions ou transformation des milieux","starting_knowledge_or_regional_start","technology_PM_building_institution_or_modifier","pré-1776","HIGH_CONFIDENCE","4","S10;S27","Voir rapport et chaînes pour dates fines, régions, transferts et réserves."
