vanilla_tech_id,vanilla_name,category,matching_branch,matching_v1_node,overlap_class,primary_action,recommended_target_era,confidence,notes
admiralty,Admiralty,Military,Military V1,state_dockyard_systems,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with state_dockyard_systems: Naval administration is broader than a technical node.
army_reserves,Army Reserves,Military,Military V1,corps_organization,PARTIAL,RETIME,ERA V,MEDIUM,PARTIAL overlap with corps_organization: Reserve systems support mass armies but are institutionally distinct.
artillery,Artillery,Military,Military V1,standardized_field_artillery,STRONG,SPLIT,ERA III,MEDIUM,STRONG overlap with standardized_field_artillery: Broad artillery gateway versus standardized systems and specialization.
drydocks,Drydocks,Military,Military V1,state_dockyard_systems,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,"VANILLA_BROADER overlap with state_dockyard_systems: State arsenals, commercial docks and later mechanization are conflated."
gunsmithing,Gunsmithing,Military,Military V1,regulated_small_arms,V1_BROADER,REPLACE,ERA II,MEDIUM,V1_BROADER overlap with regulated_small_arms: V1 frames regulated and inspected arms supply rather than generic craft.
line_infantry,Line Infantry,Military,Military V1,regulated_small_arms,PARTIAL,SPLIT,ERA II,MEDIUM,PARTIAL overlap with regulated_small_arms: Unit doctrine combines weapon standardization and tactics.
mandatory_service,Mandatory Service,Military,Military V1,corps_organization,PARTIAL,REWIRE,ERA V,MEDIUM,PARTIAL overlap with corps_organization: Conscription and corps organization overlap in mass-army capacity only.
military_drill,Military Drill,Military,Military V1,light_infantry_tactics,PARTIAL,REWIRE,ERA III,MEDIUM,PARTIAL overlap with light_infantry_tactics: Drill and light-infantry doctrine overlap partly.
napoleonic_warfare,Napoleonic Warfare,Military,Military V1,corps_organization,VANILLA_BROADER,SPLIT,ERA V,MEDIUM,VANILLA_BROADER overlap with corps_organization: Several operational and organizational reforms are compressed.
navigation,Navigation,Military,Military V1,marine_chronometry,VANILLA_BROADER,SPLIT,ERA III,MEDIUM,"VANILLA_BROADER overlap with marine_chronometry: Generic navigation bundles chronometry, hydrography and surveying."
paddle_steamer,Paddle Steamer,Military,Military V1,paddle_steam_navigation,EXACT,RETIME,ERA V,HIGH,EXACT overlap with paddle_steam_navigation: Same early steam-navigation transition.
standing_army,Standing Army,Military,Military V1,corps_organization,V1_BROADER,REWIRE,ERA V,MEDIUM,V1_BROADER overlap with corps_organization: Standing armies are an institutional baseline; V1 models later services.
field_works,Field Works,Military,Military V1,field_engineering_pontoon_trains,STRONG,REWIRE,ERA V,MEDIUM,"STRONG overlap with field_engineering_pontoon_trains: Same engineering family, with field/permanent works split."
general_staff,General Staff,Military,Military V1,professional_general_staff,EXACT,RETIME,ERA VI,HIGH,EXACT overlap with professional_general_staff: Same professional general-staff institution.
hydraulic_cranes,Hydraulic Cranes,Military,Military V1,mechanized_naval_dockyards,STRONG,RETIME,ERA V,MEDIUM,STRONG overlap with mechanized_naval_dockyards: Same dockyard mechanization/logistics family.
logistics,Logistics,Military,Military V1,military_supply_services,EXACT,REPLACE,ERA V,HIGH,EXACT overlap with military_supply_services: Same organized supply-services role.
percussion_cap,Percussion Cap,Military,Military V1,percussion_ignition,EXACT,RETIME,ERA VI,HIGH,EXACT overlap with percussion_ignition: Same ignition technology.
power_of_the_purse,Power of the Purse,Military,Military V1,state_dockyard_systems,PARTIAL,RENAME,ERA I,MEDIUM,PARTIAL overlap with state_dockyard_systems: Naval fiscal control affects fleets but is not dockyard technology.
rifling,Rifling,Military,Military V1,rifle_troops,PARTIAL,REWIRE,ERA V,MEDIUM,"PARTIAL overlap with rifle_troops: Barrel technology and specialized rifle-troop doctrine are related, not identical."
screw_frigate,Screw Frigate,Military,Military V1,iron_hull_construction,SAME_UNLOCK_DIFFERENT_CONCEPT,KEEP,ERA VI,MEDIUM,SAME_UNLOCK_DIFFERENT_CONCEPT overlap with iron_hull_construction: Screw propulsion and iron hulls are distinct despite shared ship effects.
shell_gun,Shell Gun,Military,Military V1,naval_shell_guns,EXACT,RETIME,ERA VI,HIGH,EXACT overlap with naval_shell_guns: Same naval explosive-shell gun transition.
triage,Triage,Military,Military V1,battlefield_evacuation,VANILLA_BROADER,SPLIT,ERA V,MEDIUM,VANILLA_BROADER overlap with battlefield_evacuation: Evacuation/triage and permanent care are combined.
breech_loading_artillery,Breech-Loading Artillery,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
electric_telegraph,Electric Telegraph,Military,Society V1,optical_telegraph_networks,CROSS_BRANCH,KEEP,ERA IV,MEDIUM,"CROSS_BRANCH overlap with optical_telegraph_networks: Same communication role, later electrical technology."
enlistment_offices,Enlistment Offices,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),MEDIUM,No significant V1 duplication found.
floating_harbor,Floating Harbor,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
gantry_cranes,Gantry Cranes,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
handcranked_machine_gun,Handcranked Machine Gun,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
ironclad_tech,Ironclad,Military,Military V1,iron_hull_construction,STRONG,KEEP,ERA VI,MEDIUM,STRONG overlap with iron_hull_construction: Ironclad design adds armor/architecture to iron-hull construction.
jeune_ecole,Jeune École,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
military_statistics,Military Statistics,Military,Society V1,central_statistical_offices,CROSS_BRANCH,KEEP,ERA V,MEDIUM,CROSS_BRANCH overlap with central_statistical_offices: Military statistics depends on state statistical capacity.
modern_nursing,Modern Nursing,Military,Society V1,clinical_medical_education,CROSS_BRANCH,KEEP,ERA III,MEDIUM,CROSS_BRANCH overlap with clinical_medical_education: Military healthcare overlaps Society medical professionalization.
monitor_tech,$ship_type_modern_ironclad$,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
repeaters,Repeaters,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
self_propelled_torpedoes,Self-Propelled Torpedoes,Military,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
automatic_machine_guns,Automatic Machine Guns,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
bolt_action_rifles,Bolt-Action Rifle,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
concrete_dockyards,Concrete Dockyards,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
defense_in_depth,Defense in Depth,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
dreadnought_tech,Dreadnought,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
landing_craft,Landing Craft,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
military_aviation,Military Aviation,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
pre_dreadnought_tech,$ship_type_pre_dreadnought$,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
sea_lane_strategies,Sea Lane Strategies,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
submarine,Submarine,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
trench_works,Trench Works,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
war_propaganda,War Propaganda,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
wargaming,Wargaming,Military,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
battlefleet_tactics,Modern Battlefleet Tactics,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
battleship_tech,$ship_type_super_dreadnought$,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
carrier_tech,Aircraft Carrier,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
chemical_warfare,Chemical Warfare,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
concrete_fortifications,Concrete Fortifications,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
destroyer,Destroyer,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
flamethrowers,Flamethrowers,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
mobile_armor,Mobile Armor,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
nco_training,NCO Training,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
stormtroopers,Stormtroopers,Military,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
cotton_gin,Cotton Gin,Production,Production V1.1,cotton_gin,EXACT,RETIME,ERA IV,HIGH,EXACT overlap with cotton_gin: Same machine and plantation-processing role.
distillation,Distillation,Production,Production V1.1,continuous_distillation,VANILLA_BROADER,SPLIT,ERA VI,MEDIUM,VANILLA_BROADER overlap with continuous_distillation: Old stills and later continuous industrial separation are conflated.
enclosure,Enclosure,Production,Production V1.1,improved_husbandry,PARTIAL,REWIRE,ERA I,MEDIUM,PARTIAL overlap with improved_husbandry: Vanilla bundles land enclosure with farm/plantation construction; V1 models technique rather than property reorganization.
lathe,Lathe,Production,Production V1.1,precision_machine_tools,STRONG,MERGE,ERA V,MEDIUM,STRONG overlap with precision_machine_tools: Lathe is one member of the precision machine-tool transition.
manufacturies,Manufacturies,Production,Production V1.1,interchangeable_manufacture,VANILLA_BROADER,SPLIT,ERA VI,MEDIUM,VANILLA_BROADER overlap with interchangeable_manufacture: Broad factory-building gateway covering distinct production transitions.
prospecting,Prospecting,Production,Production V1.1,applied_mineralogy,VANILLA_BROADER,SPLIT,ERA III,MEDIUM,VANILLA_BROADER overlap with applied_mineralogy: Resource discovery combines practical mineralogy and state survey capacity.
sericulture,Sericulture,Production,NONE,NONE,NONE,KEEP,ERA I / REGIONAL LEGACY START,MEDIUM,No significant V1 duplication found.
shaft_mining,Shaft Mining,Production,Production V1.1,shaft_mining,EXACT,RETIME,ERA I,HIGH,EXACT overlap with shaft_mining: Same mining-depth concept and general PM/building role.
steelworking,Steelworking,Production,Production V1.1,coke_smelting,VANILLA_BROADER,SPLIT,ERA I,MEDIUM,VANILLA_BROADER overlap with coke_smelting: Generic steelworking compresses multiple iron and steel process ruptures.
atmospheric_engine,Atmospheric Engine,Production,Production V1.1,atmospheric_steam_engines,EXACT,RETIME,ERA I,HIGH,EXACT overlap with atmospheric_steam_engines: Same Newcomen-type practical steam-pumping concept.
baking_powder,Baking Powder,Production,NONE,NONE,NONE,KEEP,era_2 (preserve post-1836),HIGH,No significant V1 duplication found.
bessemer_process,Bessemer Process,Production,NONE,NONE,NONE,KEEP,era_2 (preserve post-1836),HIGH,No significant V1 duplication found.
canneries,Canneries,Production,Production V1.1,hermetic_food_preservation,EXACT,RETIME,ERA V,HIGH,EXACT overlap with hermetic_food_preservation: Same Appert-style preservation transition and canning role.
chemical_bleaching,Chemical Bleaching,Production,Production V1.1,chlorine_bleaching,EXACT,RETIME,ERA IV,HIGH,EXACT overlap with chlorine_bleaching: Same chlorine bleaching transition.
crystal_glass,Crystal Glass,Production,Production V1.1,pressed_glass,PARTIAL,RETIME,ERA VI,MEDIUM,"PARTIAL overlap with pressed_glass: Improved glass family, but crystal and pressed glass differ in process and date."
fractional_distillation,Fractional Distillation,Production,Production V1.1,continuous_distillation,STRONG,KEEP,ERA VI,MEDIUM,STRONG overlap with continuous_distillation: Closely related continuous/fractionating industrial separation.
intensive_agriculture,Intensive Agriculture,Production,Production V1.1,advanced_crop_rotations,VANILLA_BROADER,SPLIT,ERA III,MEDIUM,VANILLA_BROADER overlap with advanced_crop_rotations: Vanilla combines several agronomic transitions.
mechanical_tools,Mechanical Tools,Production,Production V1.1,precision_machine_tools,STRONG,MERGE,ERA V,MEDIUM,STRONG overlap with precision_machine_tools: Same machine-tool capability at different granularity.
mechanized_workshops,Mechanized Workshops,Production,Production V1.1,interchangeable_manufacture,VANILLA_BROADER,SPLIT,ERA VI,MEDIUM,VANILLA_BROADER overlap with interchangeable_manufacture: Broad workshop mechanization overlaps several mechanisms.
nitroglycerin,Nitroglycerin,Production,NONE,NONE,NONE,KEEP,era_2 (preserve post-1836),HIGH,No significant V1 duplication found.
railways,Railways,Production,Production V1.1,railway_systems,EXACT,RETIME,ERA VI,HIGH,EXACT overlap with railway_systems: Same railway-system frontier concept.
watertube_boiler,Water-tube Boiler,Production,Production V1.1,high_pressure_steam,PARTIAL,KEEP,ERA V,MEDIUM,PARTIAL overlap with high_pressure_steam: Boiler design is one component of high-pressure steam.
aniline,Aniline,Production,Production V1.1,industrial_alkalis,PARTIAL,KEEP,ERA V,MEDIUM,"PARTIAL overlap with industrial_alkalis: Shared chemical-industry chain, different product and process."
dynamite,Dynamite,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
electrical_generation,Electrical Generation,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
improved_fertilizer,Improved Fertilizer,Production,Production V1.1,industrial_acids,PARTIAL,KEEP,ERA II,MEDIUM,PARTIAL overlap with industrial_acids: Chemical input and agronomy overlap without an exact V1 node.
open_hearth_process,Open Hearth Process,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
pumpjacks,Pumpjacks,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
reinforced_concrete,Reinforced Concrete,Production,Production V1.1,hydraulic_cements,PARTIAL,KEEP,ERA VI,MEDIUM,PARTIAL overlap with hydraulic_cements: Related material chain; reinforced concrete is later.
rotary_valve_engine,Rotary Valve Engine,Production,Production V1.1,high_pressure_steam,V1_BROADER,KEEP,ERA V,MEDIUM,V1_BROADER overlap with high_pressure_steam: V1 separates high-pressure and rotative steam transitions.
rubber_mastication,Rubber Mastication,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
shift_work,Shift Work,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
steam_donkey,Steam Donkey,Production,Production V1.1,deep_mine_engineering,SAME_UNLOCK_DIFFERENT_CONCEPT,KEEP,ERA IV,MEDIUM,SAME_UNLOCK_DIFFERENT_CONCEPT overlap with deep_mine_engineering: Steam winches affect extraction PMs but are not deep-mine engineering.
steel_railway_cars,Steel Railway Cars,Production,Production V1.1,railway_systems,PARTIAL,KEEP,ERA VI,MEDIUM,PARTIAL overlap with railway_systems: Later rolling-stock refinement.
threshing_machine,Threshing Machines,Production,Production V1.1,mechanized_threshing,EXACT,RETIME,ERA IV,HIGH,EXACT overlap with mechanized_threshing: Same agricultural machine and role.
vacuum_canning,Vacuum Canning,Production,Production V1.1,hermetic_food_preservation,V1_BROADER,KEEP,ERA V,MEDIUM,V1_BROADER overlap with hermetic_food_preservation: Later refinement of the preservation chain.
vulcanization,Vulcanization,Production,NONE,NONE,NONE,KEEP,era_3 (preserve post-1836),HIGH,No significant V1 duplication found.
art_silk,Art Silk,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
automatic_bottle_blowers,Automatic Bottle Blowers,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
combustion_engine,Combustion Engine,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
conveyors,Conveyors,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
electric_arc_process,Electric Arc Process,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
electric_railway,Electric Railways,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
electrical_capacitors,Electrical Capacitors,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
mechanized_farming,Mechanized Farming,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
nitrogen_fixation,Nitrogen Fixation,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
pasteurization,Pasteurization,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
plastics,Plastics,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
pneumatic_tools,Pneumatic Tools,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
radio,Radio,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
steam_turbine,Steam Turbine,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
telephone,Telephone,Production,NONE,NONE,NONE,KEEP,era_4 (preserve post-1836),HIGH,No significant V1 duplication found.
arc_welding,Arc Welding,Production,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
compression_ignition,Compression Ignition,Production,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
dough_rollers,Dough Rollers,Production,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
flash_freezing,Flash Freezing,Production,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
oil_turbine,Oil Turbine,Production,NONE,NONE,NONE,KEEP,era_5 (preserve post-1836),HIGH,No significant V1 duplication found.
