tech_id,tech_name,target_object_type,target_object_id,relationship_type,source_file,source_context,DLC_requirement,notes
admiralty,Admiralty,BUILDING,building_naval_administration,BUILDING_UNLOCK,common/buildings/05_military.txt:99,unlocking_technologies,BASE_GAME_FREE_1_13,
arc_welding,Arc Welding,MODIFIER,country_ship_group_capital_ships_construction_progress_max_add,MODIFIER,common/technology/technologies/10_production.txt:1084,modifier=20,BASE_GAME_FREE_1_13,
arc_welding,Arc Welding,PRODUCTION_METHOD,pm_arc_welding_shipbuilding,PM_UNLOCK,common/production_methods/01_industry.txt:2011,unlocking_technologies,BASE_GAME_FREE_1_13,
arc_welding,Arc Welding,PRODUCTION_METHOD,pm_military_shipbuilding_steam_2,PM_UNLOCK,common/production_methods/01_industry.txt:2125,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
atmospheric_engine,Atmospheric Engine,SHIP_MODIFICATION,ship_mod_frigate_propulsion_medium,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:155,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
atmospheric_engine,Atmospheric Engine,SHIP_MODIFICATION,ship_mod_ship_of_the_line_propulsion_medium,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:428,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
battlefleet_tactics,Modern Battlefleet Tactics,PRODUCTION_METHOD,pm_battlefleet_tactics,PM_UNLOCK,common/production_methods/05_military.txt:408,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
battleship_tech,$ship_type_super_dreadnought$,SHIP_TYPE,ship_type_armored_cruiser,AI_GATE,common/ship_types/00_ship_types.txt:1130,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
battleship_tech,$ship_type_super_dreadnought$,SHIP_TYPE,ship_type_dreadnought,AI_GATE,common/ship_types/00_ship_types.txt:579,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
battleship_tech,$ship_type_super_dreadnought$,SHIP_TYPE,ship_type_pre_dreadnought,AI_GATE,common/ship_types/00_ship_types.txt:470,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
battleship_tech,$ship_type_super_dreadnought$,SHIP_TYPE,ship_type_protected_cruiser,AI_GATE,common/ship_types/00_ship_types.txt:1038,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
battleship_tech,$ship_type_super_dreadnought$,SHIP_TYPE,ship_type_super_dreadnought,HULL_UNLOCK,common/ship_types/00_ship_types.txt:684,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
breech_loading_artillery,Breech-Loading Artillery,PRODUCTION_METHOD,pm_naval_fortification_reinforced,PM_UNLOCK,common/production_methods/05_military.txt:461,unlocking_technologies,BASE_GAME_FREE_1_13,
breech_loading_artillery,Breech-Loading Artillery,SHIP_MODIFICATION,ship_mod_iron_frigate_guns_high,WEAPON_UNLOCK,common/ship_modifications/00_ship_modifications.txt:2469,unlocking_technologies; slot=ship_mod_slot_guns,BASE_GAME_FREE_1_13,
carrier_tech,Aircraft Carrier,SHIP_TYPE,ship_type_aircraft_carrier,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1386,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
carrier_tech,Aircraft Carrier,SHIP_TYPE,ship_type_seaplane_tender,AI_GATE,common/ship_types/00_ship_types.txt:1305,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
concrete_dockyards,Concrete Dockyards,MODIFIER,ship_ship_type_supply_ship_supply_capacity_mult,MODIFIER,common/technology/technologies/20_military.txt:949,modifier=0.1,BASE_GAME_FREE_1_13,
concrete_dockyards,Concrete Dockyards,PRODUCTION_METHOD,pm_modern_port,PM_UNLOCK,common/production_methods/11_private_infrastructure.txt:65,unlocking_technologies,BASE_GAME_FREE_1_13,
concrete_fortifications,Concrete Fortifications,PRODUCTION_METHOD,pm_naval_fortification_advanced,PM_UNLOCK,common/production_methods/05_military.txt:493,unlocking_technologies,BASE_GAME_FREE_1_13,
destroyer,Destroyer,SHIP_TYPE,ship_type_destroyer,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1721,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
destroyer,Destroyer,SHIP_TYPE,ship_type_torpedo_boat,AI_GATE,common/ship_types/00_ship_types.txt:1478,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
destroyer,Destroyer,SHIP_TYPE,ship_type_torpedo_boat_destroyer,AI_GATE,common/ship_types/00_ship_types.txt:1563,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_armored_cruiser,AI_GATE,common/ship_types/00_ship_types.txt:1130,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_coastal_defense_ship,AI_GATE,common/ship_types/00_ship_types.txt:278,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_dreadnought,HULL_UNLOCK,common/ship_types/00_ship_types.txt:579,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_light_cruiser,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1221,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_modern_ironclad,AI_GATE,common/ship_types/00_ship_types.txt:373,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_monitor,AI_GATE,common/ship_types/00_ship_types.txt:94,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_pre_dreadnought,AI_GATE,common/ship_types/00_ship_types.txt:470,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
dreadnought_tech,Dreadnought,SHIP_TYPE,ship_type_seaplane_tender,HULL_UNLOCK,common/ship_types/00_ship_types.txt:1305,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
drydocks,Drydocks,SHIP_TYPE,ship_type_ship_of_the_line,HULL_UNLOCK,common/ship_types/00_ship_types.txt:2,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
floating_harbor,Floating Harbor,CIVIL_MARITIME_PM,pm_trade_center_trade_quantity_very_high,PM_UNLOCK,common/production_methods/11_private_infrastructure.txt:437,unlocking_technologies,BASE_GAME_FREE_1_13,Civil merchant-marine/fishing/whaling PM; not a military ship-construction PM
gantry_cranes,Gantry Cranes,CIVIL_MARITIME_PM,pm_steam_trawlers,PM_UNLOCK,common/production_methods/09_misc_resource.txt:279,unlocking_technologies,BASE_GAME_FREE_1_13,Civil merchant-marine/fishing/whaling PM; not a military ship-construction PM
gantry_cranes,Gantry Cranes,CIVIL_MARITIME_PM,pm_steam_whaling_ships,PM_UNLOCK,common/production_methods/09_misc_resource.txt:427,unlocking_technologies,BASE_GAME_FREE_1_13,Civil merchant-marine/fishing/whaling PM; not a military ship-construction PM
gantry_cranes,Gantry Cranes,MODIFIER,ship_ship_type_supply_ship_supply_capacity_mult,MODIFIER,common/technology/technologies/20_military.txt:687,modifier=0.1,BASE_GAME_FREE_1_13,
gantry_cranes,Gantry Cranes,PRODUCTION_METHOD,pm_industrial_port,PM_UNLOCK,common/production_methods/11_private_infrastructure.txt:37,unlocking_technologies,BASE_GAME_FREE_1_13,
gantry_cranes,Gantry Cranes,PRODUCTION_METHOD,pm_metal_shipbuilding,PM_UNLOCK,common/production_methods/01_industry.txt:1971,unlocking_technologies,BASE_GAME_FREE_1_13,
hydraulic_cranes,Hydraulic Cranes,CIVIL_MARITIME_PM,pm_trade_center_trade_quantity_high,PM_UNLOCK,common/production_methods/11_private_infrastructure.txt:420,unlocking_technologies,BASE_GAME_FREE_1_13,Civil merchant-marine/fishing/whaling PM; not a military ship-construction PM
ironclad_tech,Ironclad,PRODUCTION_METHOD,pm_military_shipbuilding_steam,PM_UNLOCK,common/production_methods/01_industry.txt:2101,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
ironclad_tech,Ironclad,SHIP_MODIFICATION,ship_mod_supply_ship_armor_medium,COMPONENT_UNLOCK,common/ship_modifications/00_ship_modifications.txt:4120,unlocking_technologies; slot=ship_mod_slot_armor,BASE_GAME_FREE_1_13,
ironclad_tech,Ironclad,SHIP_MODIFICATION,ship_mod_supply_ship_propulsion_medium,PROPULSION_UNLOCK,common/ship_modifications/00_ship_modifications.txt:4153,unlocking_technologies; slot=ship_mod_slot_propulsion,BASE_GAME_FREE_1_13,
ironclad_tech,Ironclad,SHIP_MODIFICATION,ship_mod_torpedo_boat_guns_high,WEAPON_UNLOCK,common/ship_modifications/00_ship_modifications.txt:4375,unlocking_technologies; slot=ship_mod_slot_guns,BASE_GAME_FREE_1_13,
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_early_ironclad,HULL_UNLOCK,common/ship_types/00_ship_types.txt:185,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_frigate,AI_GATE,common/ship_types/00_ship_types.txt:798,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_iron_frigate,HULL_UNLOCK,common/ship_types/00_ship_types.txt:883,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_monitor,HULL_UNLOCK,common/ship_types/00_ship_types.txt:94,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_ship_of_the_line,AI_GATE,common/ship_types/00_ship_types.txt:2,is_obsolete/is_very_obsolete,BASE_GAME_FREE_1_13,Availability remains; obsolescence affects UI/AI replacement
ironclad_tech,Ironclad,SHIP_TYPE,ship_type_troop_ship,HULL_UNLOCK,common/ship_types/00_ship_types.txt:969,unlocking_technologies,BASE_GAME_FREE_1_13,Ship type is the vanilla hull/class gate
jeune_ecole,Jeune École,PRODUCTION_METHOD,pm_jeune_ecole,PM_UNLOCK,common/production_methods/05_military.txt:358,unlocking_technologies,BASE_GAME_FREE_1_13,"UNWIRED in certified script topology: containing PMG has no building reference, or PM has no PMG; runtime hardcoding not evidenced"
landing_craft,Landing Craft,LAND_COMBAT_UNIT,combat_unit_type_high_tier_marines,UNLOCK,common/combat_unit_types/00_land_combat_unit_types.txt:1015,unlocking_technologies,BASE_GAME_FREE_1_13,Naval-invasion support; not a Ship Designer object
mass_propaganda,Mass Propaganda,MODIFIER,country_support_separatism_strength_mult,MODIFIER,common/technology/technologies/30_society.txt:1614,modifier=0.25,BASE_GAME_FREE_1_13,
mass_surveillance,Mass Surveillance,MODIFIER,country_support_separatism_resistance_mult,MODIFIER,common/technology/technologies/30_society.txt:1572,modifier=0.25,BASE_GAME_FREE_1_13,
monitor_tech,$ship_type_modern_ironclad$,LAW,law_diplomatic_navy,COMPATIBILITY,common/laws/00_navy_model.txt:139,has_technology_researched trigger,BASE_GAME_FREE_1_13,AI/navy-model transition condition
