record_type,run_id,save_name,save_sha256,state_region,owner_tag,owner_name,allowed_receiver,country_played_after,bic_annexed,event_closed,loop_terminated,crash,hang,null_owner,third_receiver,result,determinism,evidence,notes
BASELINE,BASELINE,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,BIC,Compagnie des Indes orientales,NOT_APPLICABLE,BIC,false,true,true,false,false,false,false,PASS,DETERMINISTIC_CONTROL,"Metadonnees du fichier et observation utilisateur","Nouvelle partie BIC du 1er janvier 1776; A-3 prepare; aucun temps avance; event reel non ouvert"
RUN,RUN_1,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,RANDOM_VALID_RECEIVER,"Capture utilisateur et state ouvert individuellement","Option 2.a seule; owner unique; BIC annexee"
RUN,RUN_2,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,RANDOM_VALID_RECEIVER,"Capture utilisateur et state ouvert individuellement","Recharge exacte de la baseline; option 2.a seule"
RUN,RUN_3,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,RANDOM_VALID_RECEIVER,"Capture utilisateur et state ouvert individuellement","Recharge exacte de la baseline; option 2.a seule"
RUN,RUN_4,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,RANDOM_VALID_RECEIVER,"Capture utilisateur et state ouvert individuellement","Recharge exacte de la baseline; option 2.a seule"
RUN,RUN_5,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,RANDOM_VALID_RECEIVER,"Capture utilisateur et state ouvert individuellement","Recharge exacte de la baseline; option 2.a seule; fermeture propre apres serie"
SUMMARY_MARATH_COUNT,ALL_RUNS,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,MARATH,Confederation marathe,true,GBR,true,true,true,false,false,false,false,PASS,MANUAL_OBSERVATION,"Cinq observations runtime","MARATH=5"
SUMMARY_NAG_COUNT,ALL_RUNS,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,NAG,Nagpur,true,GBR,true,true,true,false,false,false,false,NOT_APPLICABLE,MANUAL_OBSERVATION,"Cinq observations runtime","NAG=0; aucune distribution 50/50 revendiquee"
SUMMARY_INVALID_COUNT,ALL_RUNS,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,,,false,GBR,true,true,true,false,false,false,false,PASS,MANUAL_OBSERVATION,"Cinq observations runtime","Owner invalide=0; owner nul=0; troisieme receveur=0"
LOGS,ALL_RUNS,,,,,,NOT_APPLICABLE,GBR,true,true,true,false,false,false,false,PASS,ENVIRONMENT_DEPENDENT,"error.log game.log debug.log frais et hashes releves","Zero erreur runtime A-3/Sepoy; 810 avis non bloquants jomini_trigger_description sur le harnais A-3"
FILE_INTEGRITY,POST_RUN,,,,,,NOT_APPLICABLE,,,true,true,false,false,false,false,PASS,DETERMINISTIC_CONTROL,"Manifest C1H verifie 25/25","960 fichiers; 16 harnais; Sepoy fork/copie identiques; aucun fichier gameplay ou harnais modifie"
SAVE_INTEGRITY,POST_RUN,HOTFIX_5C2E4C1I_A3_PRE_OPTION_1776_01_01,9E9A7D7884672FA16C9FA665C8E1D5BC5FC2C5DF7C4EA0DA791607C4F9F54136,STATE_BUNDELKHAND,BIC,Compagnie des Indes orientales,NOT_APPLICABLE,,,,false,false,false,false,PASS,DETERMINISTIC_CONTROL,"Taille LastWriteTime et SHA-256 recalcules","Baseline strictement identique apres cinq runs"
