"path","location","status","size_before","size_after","sha256_before","sha256_after","option_2e_only","trigger_before","trigger_after","west_bengal_trigger_removed","bombay_trigger_added","bombay_guard_unchanged","bombay_selection_unchanged","west_bengal_redistribution_unchanged","priority_branches_unchanged","radical_effect_unchanged","harness_unchanged","purpose","notes"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","UNCHANGED_CONTROL","1804","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","E-1 Bombay runtime harness control","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_functional_test_e2.txt","disposable_copy","UNCHANGED_CONTROL","2171","2171","40F46A2DD3CBA51C84639F69D1D6364F0FD3B498CD046AE95FC42A352D57613B","40F46A2DD3CBA51C84639F69D1D6364F0FD3B498CD046AE95FC42A352D57613B","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","E-2 availability harness","Matches C1AC size and SHA-256"
"common/decisions/zz_sepoy_radical_diagnostic_e1d.txt","disposable_copy","UNCHANGED_CONTROL","858","858","D0605A942B70B0CABE1159AA296000A4FAA0A5F1D65359C785EE0B638F24A750","D0605A942B70B0CABE1159AA296000A4FAA0A5F1D65359C785EE0B638F24A750","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","E1D radical diagnostic control","Matches C1AC size and SHA-256"
"events/zz_sepoy_functional_test_a1_events.txt","disposable_copy","UNCHANGED_CONTROL","650","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","Pre-existing disposable harness","Matches C1AC size and SHA-256"
