"path","location","status","size","sha256","utf8_bom","purpose","mutation_count","calls_sepoy_event_2","contains_automatic_option_choice","source_example","notes"
"common/decisions/zz_sepoy_functional_test_a1.txt","DISPOSABLE_COPY","CREATED_A1_HARNESS","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","TRUE","Deux décisions humaines BIC séparant préparation et ouverture de l'event réel.","0","YES","NO","harnais racine C1C1; vanilla common/decisions/00_decisions.txt","Un seul appel à sepoy_mutiny_events.2, uniquement dans la décision d'ouverture."
"events/zz_sepoy_functional_test_a1_events.txt","DISPOSABLE_COPY","CREATED_A1_HARNESS","650","82569A22DD65DED1385FAB993E6D9243C49558ECF46E744C3CE70EF353C9523A","TRUE","Confirmation de préparation à deux options et marqueur country-scoped.","0","NO","NO","harnais racine C1C1; vanilla set_variable/has_variable","La préparation ne modifie que le marqueur jetable, sans mutation de setup."
"localization/english/zz_sepoy_functional_test_a1_l_english.yml","DISPOSABLE_COPY","CREATED_A1_HARNESS","1376","3A0ABAD442262E0F20E76C23BDBBB596D0914EBC8FCB373715663907695863E9","TRUE","Dix localisations anglaises complètes du harnais A-1.","0","NO","NO","localisation anglaise du harnais racine","Avertit de choisir seulement 2.a et de ne pas écraser la baseline."
"localization/french/zz_sepoy_functional_test_a1_l_french.yml","DISPOSABLE_COPY","CREATED_A1_HARNESS","1560","791FEF8CD8240C88D7BD3AA2EB87CB99FCCD31A73529D428F6FD332BCAD720B3","TRUE","Dix localisations françaises complètes du harnais A-1.","0","NO","NO","localisation française du harnais racine","Aucune clé brute attendue en français."
"common/decisions/zz_sepoy_functional_test.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","TRUE","Contrôle de la décision du harnais racine C1C1.","0","NO","NO","C1C1","Hash C1C1 inchangé."
"events/zz_sepoy_functional_test_events.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","TRUE","Contrôle de l'event du harnais racine C1C1.","0","NO","NO","C1C1","Hash C1C1 inchangé."
"localization/english/zz_sepoy_functional_test_l_english.yml","DISPOSABLE_COPY","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","TRUE","Contrôle de la localisation anglaise du harnais racine.","0","NO","NO","C1C1","Fichier inchangé."
"localization/french/zz_sepoy_functional_test_l_french.yml","DISPOSABLE_COPY","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","TRUE","Contrôle de la localisation française du harnais racine.","0","NO","NO","C1C1","Fichier inchangé."
"common/journal_entries/04_sepoy_mutiny.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","Contrôle immuable de la JE Sepoy dans la copie.","0","NO","N/A","fork source","Identique au fork et à C1C1."
"events/india_events/sepoy_mutiny_events.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","TRUE","Contrôle immuable des events Sepoy dans la copie.","0","NO","N/A","fork source","Identique au fork et à C1C1."
"common/journal_entries/04_sepoy_mutiny.txt","FORK","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","TRUE","Contrôle immuable de la JE Sepoy source.","0","NO","N/A","fork","Aucun gameplay du fork modifié."
"events/india_events/sepoy_mutiny_events.txt","FORK","UNCHANGED_CONTROL","63210","557936500AC585F7F69B9F5B063BDDA377AFF4A5AFAA06C70650C55D4AD612F7","TRUE","Contrôle immuable des events Sepoy source.","0","NO","N/A","fork","Aucun gameplay du fork modifié."
"descriptor.mod","DISPOSABLE_COPY","EXPECTED_DESCRIPTOR_DIFFERENCE","104","1921791546626A938E18EEADC765538120325AFA87E0EA309C2C3C6502175B40","FALSE","Descripteur interne distinct de la copie jetable.","0","NO","NO","C1A/C1C1","Inchangé ; aucun remote_file_id."
"DISPOSABLE_SEPOY_TEST_COPY.txt","DISPOSABLE_COPY","UNCHANGED_CONTROL","406","280066169F9D9D7020FEF4342264D18C5B1613CA40B74D519ADD4E7F3492838A","FALSE","Marqueur de sécurité de la copie jetable.","0","NO","NO","C1A/C1C1","Inchangé ; contient DO NOT PUBLISH."
"1776_Age_of_Revolutions_sepoy_test.mod","EXTERNAL_LAUNCHER","EXPECTED_DESCRIPTOR_DIFFERENCE","206","FBFDFB891E3E355C05ED996B4A6866475E259081E8196187A2424C9DECCC3733","FALSE","Entrée launcher externe de la copie jetable.","0","NO","NO","C1A/C1C1","Inchangée ; pointe uniquement vers la copie."
"docs/reports/hotfix/HOTFIX_5C2E4C1D_SEPOY_A1_STATIC_SETUP.md","FORK","CREATED_REPORT","16626","6BC7D098E8E021DFC22E78738FE122CF49B8AD33B8878D71C798F4A4A5758CDA","FALSE","Rapport statique complet du scénario et du harnais A-1.","0","NO","NO","audit C1D","Aucun test runtime exécuté."
"docs/reports/hotfix/HOTFIX_5C2E4C1D_A1_HARNESS_MANIFEST.csv","FORK","CREATED_REPORT","","","TRUE","Manifest C1D des créations et contrôles.","0","NO","NO","inventaire C1D","Taille et hash propres omis car auto-référentiels."
