"relative_path","source_tracked","source_size","destination_size","source_sha256","destination_sha256","status","notes"
".gitignore","true","195","195","E40DC46DC7F7CDD67A0C2A572E728CD46D983427F6294FE4F101336C72D94E91","E40DC46DC7F7CDD67A0C2A572E728CD46D983427F6294FE4F101336C72D94E91","IDENTICAL","Tracked source file copied byte-for-byte"
"Changelog.txt","true","8396","8396","2CCA8B9B2C0A0518EF7E593ADC232512EC26DCEB6CC6E03A09943F6A840DFE32","2CCA8B9B2C0A0518EF7E593ADC232512EC26DCEB6CC6E03A09943F6A840DFE32","IDENTICAL","Tracked source file copied byte-for-byte"
"Source.txt","true","26","26","BF97E6B36A9D93A4A09D6B95D37F68B8F2D38D3ADC26BB82F9E0FE23B6C40C6A","BF97E6B36A9D93A4A09D6B95D37F68B8F2D38D3ADC26BB82F9E0FE23B6C40C6A","IDENTICAL","Tracked source file copied byte-for-byte"
"common/ai_strategies/00_default_strategy.txt","true","159512","159512","15704A99428C960B65F2F074ACB8508E66A9D5AA9B8F49436C0EC17569E2D139","15704A99428C960B65F2F074ACB8508E66A9D5AA9B8F49436C0EC17569E2D139","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_content_04.txt","true","5465","5465","A10A686E73E57F08826B2F1DB033A69E3CD0E8E89E3128512AD26617F8FC4A1B","A10A686E73E57F08826B2F1DB033A69E3CD0E8E89E3128512AD26617F8FC4A1B","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_enactment_04.txt","true","28156","28156","E0041784637656032E796B5993C34910C180497B148185C8E0E40511A064EF59","E0041784637656032E796B5993C34910C180497B148185C8E0E40511A064EF59","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_generic.txt","true","1785","1785","E9DC1F1076815636DC0A2DFFED55B2DBFCF50239B768174B0C5A7B7DD71D3DD6","E9DC1F1076815636DC0A2DFFED55B2DBFCF50239B768174B0C5A7B7DD71D3DD6","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_historical_04.txt","true","9481","9481","9A3DCDB444CC6AE2F47365E59BB2FE725BF60C96093968F94920667BC66599BD","9A3DCDB444CC6AE2F47365E59BB2FE725BF60C96093968F94920667BC66599BD","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_modded_76.txt","true","2144","2144","55518F227F7095DF620EEC2CB8C27A603F24FFBC286FC3BE6347A01D0C71ED3A","55518F227F7095DF620EEC2CB8C27A603F24FFBC286FC3BE6347A01D0C71ED3A","IDENTICAL","Tracked source file copied byte-for-byte"
"common/amendments/00_amendments_test.txt","true","1101","1101","55FFE296B2773DDF7DF4510E54B3F9AC299E1741CD58A0F7D235B150D3105DE8","55FFE296B2773DDF7DF4510E54B3F9AC299E1741CD58A0F7D235B150D3105DE8","IDENTICAL","Tracked source file copied byte-for-byte"
