"path","location","status","size","sha256","utf8_bom","lf_only","purpose","scenario","target_state","target_religion","script_value","territorial_mutation_count","calls_sepoy_event_2","automatic_option","marker_count","source_or_control","notes"
"events/india_events/sepoy_mutiny_events.txt","fork","UNCHANGED_CONTROL","63658","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","True","True","Protect BIC Bombay core in 2.e","control","N/A","N/A","N/A","0","0","false","N/A","control","Six additions and zero deletions; guard and selection only"
"events/india_events/sepoy_mutiny_events.txt","disposable_copy","UNCHANGED_CONTROL","63658","51F489F00FA6CB2D7BBF1D1FDC587104F2A17D4932187DAA8BBE954F7312A9FB","True","True","Runtime copy of Bombay fix","control","N/A","N/A","N/A","0","0","false","N/A","control","Byte-identical to fork after correction"
"common/journal_entries/04_sepoy_mutiny.txt","fork","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","True","True","Sepoy journal control","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/journal_entries/04_sepoy_mutiny.txt","disposable_copy","UNCHANGED_CONTROL","16040","DAEFCB59CCF6B303D2E39C948D8038006C1346AFE40A2B812D45EE4D947E361C","True","True","Sepoy journal copy control","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test_e1.txt","disposable_copy","UNCHANGED_CONTROL","1804","296C1FC7B58FB98081D9202A8F2191CD1D6E19E7194B6EA556E5503DC6513BB4","True","True","E-1 prepare and manual-open decisions","E1","N/A","N/A","N/A","0","1","false","N/A","control","One manual event call; no automatic option"
"events/zz_sepoy_functional_test_e1_events.txt","disposable_copy","UNCHANGED_CONTROL","1620","FDFCEE011219F08F3FB3296310EC28959F6ACEEBA7FA63EED439F2E9A045C079","True","True","E-1 preparation event","E1","N/A","N/A","N/A","1","0","false","N/A","control","Single POR to BIC mutation and unchanged radical baseline"
"localization/english/zz_sepoy_functional_test_e1_l_english.yml","disposable_copy","UNCHANGED_CONTROL","2396","B214114C69916E07FB16FB5FE8721E14DC354B46304D05E724DE6B60B88DAA00","True","True","English E-1 localization","E1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_e1_l_french.yml","disposable_copy","UNCHANGED_CONTROL","2818","D5F1BB1EDC06C1C5DC48B756DF1E7E072ACE1C3F34B0E2A3ED4978297B7825FE","True","True","French E-1 localization","E1","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","True","True","Root harness decision control","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"events/zz_sepoy_functional_test_events.txt","disposable_copy","UNCHANGED_CONTROL","466","E69B386716B7E33BC311CF3450C89B0605A0E92AA6C74B689591171810D156EE","True","True","Root harness event control","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/english/zz_sepoy_functional_test_l_english.yml","disposable_copy","UNCHANGED_CONTROL","556","93BF3B0FEF1FD871ABE77ED8CA4EBDCD7258ED7F085F9928B6E103D4F0BFA6EF","True","True","Root English harness","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
"localization/french/zz_sepoy_functional_test_l_french.yml","disposable_copy","UNCHANGED_CONTROL","627","59EAC034463C9976944AF8E170912ED4C3C20329E08D749EC0FD901096B67C87","True","True","Root French harness","control","N/A","N/A","N/A","0","0","false","N/A","control","Unchanged"
