"path","location","status","size","sha256","utf8_bom","lf_only","purpose","scenario","west_bengal_bic_required","bombay_bic_absent_required","east_bengal_bic_required","territorial_mutation_count","radical_call_count","variable_count","calls_sepoy_event_2","automatic_option_choice","custom_tooltip_count","source_or_control","notes"
"common/decisions/zz_sepoy_functional_test_e3.txt","disposable_copy","CREATED_E3","1214","CA391AE388ADB833A517E22006E804F86B0F852106E51DE93BABEC74BCEA0BD1","true","true","Disposable negative Bombay-trigger opener","E-3","true","true","true","0","0","0","0","false","1","AF_E3_NEW","BOM/LF; no mutation; manual inspection only"
"events/zz_sepoy_functional_test_e3_events.txt","disposable_copy","CREATED_E3","1568","368A75D9D6D4AC99B3B2BEDD8BD626DD0614CB3305B7E7A3536FED73A90082B3","true","true","Disposable negative Bombay-trigger opener","E-3","true","true","true","0","0","0","1","false","1","AF_E3_NEW","BOM/LF; no mutation; manual inspection only"
"localization/english/zz_sepoy_functional_test_e3_l_english.yml","disposable_copy","CREATED_E3","1453","3467DF5D9088C365FDE999FB3ED4AE043A6F492799D448EE23C709983B3192D7","true","true","Disposable negative Bombay-trigger opener","E-3","true","true","true","0","0","0","0","false","0","AF_E3_NEW","BOM/LF; no mutation; manual inspection only"
"localization/french/zz_sepoy_functional_test_e3_l_french.yml","disposable_copy","CREATED_E3","1662","2676F405FE99AEBD2E1B8ECEFB4F1C9F459A33FBBE30F548F573FFFFCD684819","true","true","Disposable negative Bombay-trigger opener","E-3","true","true","true","0","0","0","0","false","0","AF_E3_NEW","BOM/LF; no mutation; manual inspection only"
"common/decisions/zz_sepoy_functional_test.txt","disposable_copy","UNCHANGED_CONTROL","301","E8CC4B78AB7447A5CED31C525B99814542C82AEEE5C47C530446870772C120FF","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","0","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_a1.txt","disposable_copy","UNCHANGED_CONTROL","683","74642E139F07C58A8184759FB1140F2741D5622DA3A17B3810D017328E43E3A1","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","1","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_a2.txt","disposable_copy","UNCHANGED_CONTROL","1399","1F11BDB7CD2F59EDF220E320AD996A11C44F143D9C99F7DAEE5913B7C1E571A2","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","1","false","0","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_a3.txt","disposable_copy","UNCHANGED_CONTROL","3615","E877A5DAAE4671BF6C29EDF18F0CDA3195C04E6E519CCBBF018C5DB9A2637A85","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","1","false","6","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_b1.txt","disposable_copy","UNCHANGED_CONTROL","1592","8DF20B1E0A69D470A17EE7E7DBDA8E9B1D0F852CB1812973EE00F9D21706670B","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","1","false","2","AE_MANIFEST_CONTROL","Matches AE manifest control"
"common/decisions/zz_sepoy_functional_test_c1.txt","disposable_copy","UNCHANGED_CONTROL","1496","CCF4F7B97AB864631D94DAF641D58065F020FB9FC11FF5FBDE30EA75D9BD1373","true","true","LEGACY pre-existing disposable harness","LEGACY","N/A","N/A","N/A","0","0","0","1","false","2","AE_MANIFEST_CONTROL","Matches AE manifest control"
