file,state,owner,before,target_1776,delta,groups,decision,evidence,note
00_west_europe.txt,STATE_ALSACE_LORRAINE,FRA,1436128,1146043,-290085,6,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_ANHALT,ANH,196008,152886,-43122,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_ANHALT,PRU,1383392,564703,-818689,3,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,low estimate; Prussian realm
00_west_europe.txt,STATE_AQUITAINE,FRA,1844177,1471668,-372509,5,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_AUSTRIA,AUS,2014400,1638057,-376343,5,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Austrian holdings excluding Hungary and Galicia tags
00_west_europe.txt,STATE_AUVERGNE_LIMOUSIN,FRA,2327887,1857670,-470217,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_BADEN,BAD,1301400,1015092,-286308,4,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_BAVARIA,BAV,1742004,1358763,-383241,3,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_BOHEMIA,AUS,4150412,3375003,-775409,9,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Austrian holdings excluding Hungary and Galicia tags
00_west_europe.txt,STATE_BRANDENBURG,PRU,1631504,665983,-965521,4,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,low estimate; Prussian realm
00_west_europe.txt,STATE_BRITTANY,FRA,2620278,2091000,-529278,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_BRUNSWICK,BRA,224400,175032,-49368,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_BRUNSWICK,HAN,184000,143520,-40480,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_BRUNSWICK,PRU,112000,45719,-66281,1,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,low estimate; Prussian realm
00_west_europe.txt,STATE_BURGUNDY,FRA,1576918,1258392,-318526,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_CHAMPAGNE,FRA,1161945,927243,-234702,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_CONNAUGHT,IREK,1390481,722590,-667891,8,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Ireland 1750-1800 interpolation
00_west_europe.txt,STATE_EASTERN_NORWAY,DENNOR,352800,244453,-108347,2,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Denmark and Norway combined; overseas separate
00_west_europe.txt,STATE_EAST_ANGLIA,GBR,1573208,760400,-812808,2,FILE_COUNTRY_TARGET,https://www.census.gov/library/stories/2023/12/boston-tea-party.html,Great Britain 1775/1776
00_west_europe.txt,STATE_EAST_SWITZERLAND,AUS,30000,24396,-5604,1,COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Austrian holdings excluding Hungary and Galicia tags
00_west_europe.txt,STATE_EAST_SWITZERLAND,SWI,895200,698256,-196944,3,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_ELBE,BRE,106004,82683,-23321,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_ELBE,HAM,150404,117315,-33089,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_ELBE,HAN,512788,399975,-112813,1,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_FLANDERS,BEO,1998620,1773761,-224859,6,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Belgium-area anchor
00_west_europe.txt,STATE_FRANCHE_COMTE,FRA,934927,746080,-188847,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_FRANCONIA,BAV,1876192,1463430,-412762,3,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_FRENCH_LOW_COUNTRIES,FRA,1691071,1349489,-341582,5,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
00_west_europe.txt,STATE_FRIESLAND,NET,674072,500016,-174056,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Netherlands-area anchor
00_west_europe.txt,STATE_GELRE,BEO,39118,34721,-4397,4,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Belgium-area anchor
00_west_europe.txt,STATE_GELRE,NET,782660,580568,-202092,8,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Netherlands-area anchor
00_west_europe.txt,STATE_GOTALAND,SWE,809308,623470,-185838,3,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Sweden excluding Finland
00_west_europe.txt,STATE_GOTLAND,SWE,33208,25584,-7624,1,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Sweden excluding Finland
00_west_europe.txt,STATE_GREENLAND,DENNOR,4920,3412,-1508,3,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,Denmark and Norway combined; overseas separate
00_west_europe.txt,STATE_GREENLAND,GR7,6764,5276,-1488,2,PROVISIONAL_REGIONAL_LOW,https://clio-infra.eu/Indicators/TotalPopulation.html,00_west_europe.txt regional lower-bound factor 0.78; revise with local census
00_west_europe.txt,STATE_GUYENNE,FRA,1734040,1383776,-350264,3,FILE_COUNTRY_TARGET,https://clio-infra.eu/Indicators/TotalPopulation.html,metropolitan France 1750-1800 interpolation
