"phase","absolute_path","file_name","size_bytes","mtime_utc","sha256","classification","fresh_segment_notes"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T03:29:37.4396229Z","A23088A2AFDA35604B340D630A35935DBC217BEEF4F9969A3F4C0221E88667BA","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","490","2026-08-10T03:50:50.5336892Z","43068A5AD1C4F1CF9FD172416456E117D2A91AC8AEC09F889B887DFAA648C8C4","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","48160","2026-08-10T03:53:46.0025840Z","FAE6ED595068B0FDFC7B6FC685748D54404486722DE01FC6AA520023B1A53325","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","4839","2026-08-10T03:53:01.7780637Z","EF8051552E08EBD9683960F3ADFAAD1B672BFE7AD892C0C7AEBA88ACD60F854C","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","508549","2026-08-10T03:53:38.0008711Z","218977FD078A345B734076B1F3E6D6BFE455E4FC156B148BCB2BF7E3BDE3B73B","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","69483","2026-08-10T03:53:38.0008711Z","022CA1DF6A2EE9068200ADAA4D241287E19FB7AD89A1EF644639677F813E34A0","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T03:30:00.1867601Z","A97BF4D75FB31F26C7BCD8CC535D76612327C0E04F328A2143D57610E24C4E4D","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T03:29:53.3396603Z","7B82A5806D42880CD88B43F4224317C89BECCE731FD0465F673DB539166104AC","baseline_before_runtime","primary watched log"
"before","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T03:29:53.8995642Z","456FE48106D16AFFC14C2EF25782384B1203286703932D848F0B411B45A533EB","baseline_before_runtime","primary watched log"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\code_revisions.log","code_revisions.log","1133","2026-08-10T04:40:44.9168032Z","4C3BBC161630915349F580CAA7B514626B483C951D03281492E19FF63C6BD8E8","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\custom_automated_stats.log","custom_automated_stats.log","489","2026-08-10T04:50:37.2885985Z","3BB92F9F4F6CCED79AB452F460477D1C0BB9DC6421453A699C9D4DEA8888967E","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\debug.log","debug.log","467955","2026-08-10T04:53:10.0427453Z","EEE9E2C601E088D8795C511B06343F99FA101B7D7FD55593B9A338137E9FC723","single_runtime_after","CoA directories load; no BEO or 03_new error; unrelated malformed token in unchanged 07_NM_Flags.txt"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\dedicated_server.log","dedicated_server.log","66","2026-08-10T04:50:35.7409884Z","00DA64A6118E051C7488974B87964A4813BC904990F861D55219BD131F42002D","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\error.log","error.log","274774","2026-08-10T04:53:02.3583274Z","4BFE6BC5800D892985C50500E38794B5E39B964E2261A564858C727454DD53DD","single_runtime_after","Zero scoped BEO, CoA, objective, frontend, or Cantus error match"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\game.log","game.log","191524","2026-08-10T04:53:02.3583274Z","64F8B7F4D3D055D7467D500215414F1B930D73795E81BE1D27C7785CEB240F69","single_runtime_after","Game-entry smoke completed; no scoped BEO/CoA error"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\gui.log","gui.log","5100","2026-08-10T04:41:11.9888429Z","5CDBE1224CBB4F38A8C081177096E6FD642BE8BFCE810E3FCB697613762DF1D9","single_runtime_after","No PREP1E-attributable GUI diagnostic"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\system.log","system.log","1100","2026-08-10T04:41:06.8121629Z","FDC0FAB46A2DB4780EECFA00B86F95DE815DABC0A01FDC6D3ACED9E3D7E475DF","single_runtime_after","Changed from baseline"
"after","C:\Users\simeo\Documents\Paradox Interactive\Victoria 3\logs\warning.log","warning.log","6234","2026-08-10T04:41:07.2204210Z","70CE68E1F47123792F39630DEE83C8A20062173861098488620238CF731D6B74","single_runtime_after","No PREP1E-attributable warning"
