"section","key","reference_present","fork_present","reference_value","fork_value_before","final_value","action"
"NMilitary","ACTIVE_SHIP_LIVING_CREW_PERCENTAGE","YES","NO","0.1","","0.1","ADD_REFERENCE_KEY"
"NMilitary","AI_FIND_FLEET_EXPECTED_DISTANCE","YES","NO","25000","","25000","ADD_REFERENCE_KEY"
"NMilitary","ARMY_RESUPPLY_SURPLUS","YES","NO","0.25","","0.25","ADD_REFERENCE_KEY"
"NMilitary","ATTRITION_RECOVERY_RATE_BASE","YES","YES","0.7","0.7","0.7","KEEP_REFERENCE_UNCHANGED"
"NMilitary","ATTRITION_RECOVERY_RATE_RANDOM_RANGE","YES","YES","0.1","0.1","0.1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","ATTRITION_RISK_EXILED_ARMY_ADD","YES","YES","0.2","0.2","0.2","KEEP_REFERENCE_UNCHANGED"
"NMilitary","ATTRITION_RISK_ON_ENEMY_TERRITORY_ADD","YES","YES","0.3","0.3","0.3","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASE_BATTALION_CONVOY_COST","NO","YES","","10","","REMOVE_OBSOLETE_KEY"
"NMilitary","BASE_MORALE_RECOVERED_PER_DAY","YES","YES","0.03","0.03","0.03","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_DISTANCE_PENALTY","YES","YES","0.4","0.4","0.4","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_DISTANCE_SCORE_THRESHOLD","YES","YES","100","100","100","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_DISTANCE_TO_HOME_HQ_PENALTY","YES","YES","0.2","0.2","0.2","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_NUM_PROVINCES_SCORE","YES","YES","0.05","0.05","0.05","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_OWN_COUNTRY_SCORE","YES","YES","0.2","0.2","0.2","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_STRATEGIC_OBJECT_SCORE","YES","YES","1.1","1.1","1.1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BASECAMP_WANTED_FORMATIONS_SCORE","YES","YES","1.0","1.0","1.0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_BASE_MAX_PROVINCES_TAKEN","YES","YES","12","12","12","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_BASE_MIN_PROVINCES_TAKEN","YES","YES","4","4","4","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_COMBAT_EFFICIENCY_INFLICTED_CASUALTY_RATIO","YES","YES","1.5","1.5","1.5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_CONDITION_CHANCE_TO_UPDATE_PER_EXTRA_TICK","YES","YES","0.01","0.01","0.01","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_CONDITION_MIN_TICKS_BETWEEN_UPDATE_DEFAULT","YES","YES","40","40","40","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_LETHALITY_MAX","YES","YES","0.005","0.005","0.005","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_LETHALITY_MIN","YES","YES","0.001","0.001","0.001","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_MAX_CASUALTY_DISADVANTAGE_PENALTY","YES","YES","1.0","1.0","1.0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PLAN_ADVANCE_PROGRESS_TO_LAUNCH","YES","YES","100","100","100","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_ABSOLUTE_MIN","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_ATTACKING_UNIT_SCALE","YES","YES","0.02","0.02","0.02","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_FRONT_PROVINCES_NUM_DIVISOR","YES","YES","5","5","5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_MAX_DEPTH_FRONT_PROVINCES_NUM_DIVISOR","YES","YES","50","50","50","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_MAX_DEPTH_MAX","YES","YES","10","10","10","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_MAX_DEPTH_MIN","YES","YES","2","2","2","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_MAX_DEPTH_THEATER_PROVINCES_NUM_DIVISOR","YES","YES","500","500","500","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_MAX_EXTRA","YES","YES","3","3","3","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_THEATER_MIN_SCALE","YES","YES","0.01","0.01","0.01","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_THEATER_PROVINCES_NUM_DIVISOR","YES","YES","50","50","50","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_PROVINCES_TAKEN_THEATER_UNIT_SCALE","YES","YES","2","2","2","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BATTLE_RAW_MANPOWER_INFLICTED_CASUALTY_RATIO","YES","YES","0.5","0.5","0.5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BLOCKADE_FORCED_BATTLE_LEVEL","YES","NO","1.0","","1.0","ADD_REFERENCE_KEY"
"NMilitary","BLOCKADE_SEA_PRESENCE_THRESHOLD","YES","NO","0.5","","0.5","ADD_REFERENCE_RENAMED_KEY"
"NMilitary","BLOCKADE_SEA_PRESENCE_TRESHOLD","NO","YES","","0.5","","REMOVE_RENAMED_SOURCE_KEY"
"NMilitary","BLOCKADE_SHIPPING_LANE_IMPACT_SCALING","YES","YES","0.75","0.75","0.75","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BLOCKADE_TARGET_STRENGTH_MAXIMUM","YES","YES","100000","100000","100000","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BLOCKADE_TARGET_STRENGTH_PER_CONVOY","NO","YES","","3","","REMOVE_RENAMED_SOURCE_KEY"
"NMilitary","BLOCKADE_TARGET_STRENGTH_PER_MERCHANT_MARINE","YES","NO","10","","10","ADD_REFERENCE_RENAMED_KEY"
"NMilitary","BLOCKADE_TARGET_STRENGTH_PER_PRODUCED_UNIT","YES","YES","0.075","0.15","0.075","REPLACE_STALE_VALUE"
"NMilitary","BLOCKADE_TARGET_STRENGTH_PER_TRADED_UNIT","YES","YES","0.05","0.1","0.05","REPLACE_STALE_VALUE"
"NMilitary","BLOCKADE_THROUGHPUT_IMPACT_SCALING","YES","YES","0.75","0.75","0.75","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BLOCKADE_WORLD_MARKET_ACCESS_IMPACT_SCALING","YES","YES","0.75","0.75","0.75","KEEP_REFERENCE_UNCHANGED"
"NMilitary","BOMBARDMENT_BUILDING_DAMAGE_BASE_CHANCE","YES","NO","0.02","","0.02","ADD_REFERENCE_KEY"
"NMilitary","BOMBARDMENT_DEVASTATION_MAX","YES","NO","25.0","","25.0","ADD_REFERENCE_KEY"
"NMilitary","BOMBARDMENT_DEVASTATION_RATE","YES","NO","0.20","","0.20","ADD_REFERENCE_KEY"
"NMilitary","BOMBARDMENT_SEA_PRESENCE_THRESHOLD","YES","NO","0.1","","0.1","ADD_REFERENCE_KEY"
"NMilitary","COMBAT_UNIT_GROUP_MARINES_GROUP","YES","NO","""combat_unit_group_marines""","","""combat_unit_group_marines""","ADD_REFERENCE_KEY"
"NMilitary","COMBAT_UNITS_PER_LEVEL","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","COMMANDER_SUFFICIENT_CAPACITY_MULT","YES","NO","1.5","","1.5","ADD_REFERENCE_KEY"
"NMilitary","COMMANDER_TRAVEL_MAX","YES","NO","50","","50","ADD_REFERENCE_RENAMED_KEY"
"NMilitary","COMMANDER_TRAVEL_MIN","YES","NO","3","","3","ADD_REFERENCE_KEY"
"NMilitary","COMMANDER_TRAVEL_PIXELS_TO_DAYS_SCALE","YES","NO","0.045","","0.045","ADD_REFERENCE_RENAMED_KEY"
"NMilitary","CONVOY_RAIDING_COOLDOWN_DAYS_MAX","YES","YES","30","30","30","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_COOLDOWN_DAYS_MIN","YES","YES","10","10","10","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_DAMAGE_MAX_RANDOM_FACTOR","YES","YES","1.0","1.0","1.0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_DAMAGE_MIN_RANDOM_FACTOR","YES","YES","0.5","0.5","0.5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_DEFENSE_MULT","YES","YES","0.15","0.15","0.15","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_GLOBAL_RECOVERY_RATE","YES","YES","0.001","0.001","0.001","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_LOCAL_RECOVERY_RATE","YES","YES","0.01","0.01","0.01","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_MAX_DEFENSE","YES","YES","0.90","0.90","0.90","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_RECOVERY_RATE_PEACETIME_FACTOR","YES","YES","4","4","4","KEEP_REFERENCE_UNCHANGED"
"NMilitary","CONVOY_RAIDING_STRENGTH_MULT","YES","YES","0.3","0.3","0.3","KEEP_REFERENCE_UNCHANGED"
"NMilitary","DEFAULT_ARMY_COLOR","YES","NO","""army_color_6""","","""army_color_6""","ADD_REFERENCE_KEY"
"NMilitary","DEFAULT_FLEET_COLOR","YES","NO","""fleet_color_8""","","""fleet_color_8""","ADD_REFERENCE_KEY"
"NMilitary","DEFAULT_ORDER","YES","NO","""advance""","","""advance""","ADD_REFERENCE_RENAMED_KEY"
"NMilitary","DEFAULT_ORDER_ADMIRAL","NO","YES","","""interception_coast""","","REMOVE_OBSOLETE_KEY"
"NMilitary","DEFAULT_ORDER_GENERAL","NO","YES","","""advance""","","REMOVE_RENAMED_SOURCE_KEY"
"NMilitary","DEFENSIVE_PROVINCES_RETAKEN_MAX_DEPTH","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","DEMOBILIZATION_TIME_DAYS","YES","YES","90","90","90","KEEP_REFERENCE_UNCHANGED"
"NMilitary","EMBARKATION_MAX_DOCKED_FLEET_TRAVEL_DAYS","YES","NO","30","","30","ADD_REFERENCE_KEY"
"NMilitary","EMPTY_FLEET_MOVEMENT_SPEED","YES","NO","100","","100","ADD_REFERENCE_KEY"
"NMilitary","FLAGSHIP_CHANGE_COOLDOWN_MONTHS","YES","NO","60","","60","ADD_REFERENCE_KEY"
"NMilitary","FLAGSHIP_ON_WON_FAIR_COMBAT_POWER_RATIO_THRESHOLD","YES","NO","0.5","","0.5","ADD_REFERENCE_KEY"
"NMilitary","FLEET_GUARANTEED_BATTLE_SIZE","YES","NO","0.5","","0.5","ADD_REFERENCE_KEY"
"NMilitary","FLEET_PRESENCE_DECAY_PER_DAY","YES","NO","0.02","","0.02","ADD_REFERENCE_KEY"
"NMilitary","FLEET_PRESENCE_GAIN_PER_DAY","YES","YES","0.02","0.02","0.02","KEEP_REFERENCE_UNCHANGED"
"NMilitary","FLEET_PRESENCE_TRANSPORTING_OR_INVADING","YES","NO","1.0","","1.0","ADD_REFERENCE_KEY"
"NMilitary","FLEET_RESUPPLY_SURPLUS","YES","NO","0.25","","0.25","ADD_REFERENCE_KEY"
"NMilitary","FLEET_SPOT_BASE_CHANCE","YES","NO","0.005","","0.005","ADD_REFERENCE_KEY"
"NMilitary","FLEET_SPOT_SCALING_MULTIPLIER","YES","NO","0.01","","0.01","ADD_REFERENCE_KEY"
"NMilitary","FLEET_SUPPLY_REPLENISH_SHIP_MULT","YES","NO","1.1","","1.1","ADD_REFERENCE_KEY"
"NMilitary","FORMATION_AUTO_MERGE_GRACE_PERIOD_DAYS","YES","NO","3","","3","ADD_REFERENCE_KEY"
"NMilitary","FORMATION_TRAVEL_NETWORK_SPEED","YES","YES","15","15","15","KEEP_REFERENCE_UNCHANGED"
"NMilitary","FORMATIONS_MERGE_DISTANCE","YES","NO","1","","1","ADD_REFERENCE_KEY"
"NMilitary","FRIENDLY_PORT_MAX_DISTANCE","YES","NO","2500","","2500","ADD_REFERENCE_KEY"
"NMilitary","FRIENDLY_PORT_MAX_SUPPLY_DISTANCE_DISCOUNT","YES","NO","0.5","","0.5","ADD_REFERENCE_KEY"
"NMilitary","FRONT_MARKER_ADVANTAGE_PREDICTION_MIN_COMBAT_POWER","YES","YES","0.01","0.01","0.01","KEEP_REFERENCE_UNCHANGED"
"NMilitary","GENERAL_AUTO_TRAVEL_MAX_DAYS","NO","YES","","30","","REMOVE_OBSOLETE_KEY"
"NMilitary","GENERAL_INVALID_TRAVEL_DAYS","NO","YES","","0","","REMOVE_OBSOLETE_KEY"
"NMilitary","GENERAL_TRAVEL_AUTO_REASSIGN_INSTANTLY","NO","YES","","15","","REMOVE_OBSOLETE_KEY"
"NMilitary","GENERAL_TRAVEL_CAP","NO","YES","","50","","REMOVE_RENAMED_SOURCE_KEY"
"NMilitary","GENERAL_TRAVEL_OVERSEAS_SCALE","NO","YES","","1.25","","REMOVE_OBSOLETE_KEY"
"NMilitary","GENERAL_TRAVEL_PIXELS_TO_DAYS_SCALE","NO","YES","","0.045","","REMOVE_RENAMED_SOURCE_KEY"
"NMilitary","INITIAL_MANPOWER_COST_MULTIPLIER","YES","YES","10","10","10","KEEP_REFERENCE_UNCHANGED"
"NMilitary","INTERCEPTION_BASE_CHANCE","YES","YES","0.1","0.1","0.1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","INTERCEPTION_DELAY_BASE_DAYS","YES","YES","5","5","5","KEEP_REFERENCE_UNCHANGED"
"NMilitary","INTERCEPTION_DELAY_MAX_RANDOM_DAYS_FACTOR","YES","YES","10","10","10","KEEP_REFERENCE_UNCHANGED"
"NMilitary","INVALID_NAVAL_MISSION_GRACE_PERIOD_DAYS","YES","NO","10","","10","ADD_REFERENCE_KEY"
"NMilitary","LOGISTICS_CENTER_SUPPLY_PER_LEVEL","YES","NO","10","","10","ADD_REFERENCE_KEY"
"NMilitary","LOW_COMMAND_LIMIT_GRACE_PERIOD_DAYS","YES","NO","30","","30","ADD_REFERENCE_KEY"
"NMilitary","MANPOWER_DIVISOR","YES","YES","10000","10000","10000","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MANPOWER_LOST_DUE_TO_ATTRITION_PER_WEEK_MAX","YES","YES","0.12","0.12","0.12","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MANPOWER_LOST_DUE_TO_ATTRITION_PER_WEEK_MIN","YES","YES","0.04","0.04","0.04","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MANPOWER_RATIO_REQUIRED_TO_CLEAR_DEFEATED_ADMIRALS","YES","YES","0.75","0.75","0.75","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MAX_CE_ADVANTAGE","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MAX_MOBILIZATION_PER_DAY","YES","YES","0.20","0.20","0.20","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MAX_NUM_COMMANDERS_PER_FORMATION","NO","YES","","4","","REMOVE_OBSOLETE_KEY"
"NMilitary","MAX_VARIABLE_DISTRIBUTION_PER_POP","YES","YES","100","100","100","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_AUTO_DEPLOY_DISTANCE_LIMIT","YES","YES","250","250","250","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_COMMAND_LIMIT_NO_COMMANDER","YES","YES","20","10","20","REPLACE_STALE_VALUE"
"NMilitary","MILITARY_FORMATION_MIN_RESUPPLY_PER_WEEK","YES","NO","10","","10","ADD_REFERENCE_KEY"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_EXILE_MULT","YES","YES","-1","-1","-1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_GAIN_MIN","YES","YES","0.1","0.1","0.1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_LOSS_MIN","YES","YES","1","1","1","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_LOSS_RATE","YES","YES","0.05","0.05","0.05","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_MAX","YES","YES","100","100","100","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_MIN","YES","YES","0","0","0","KEEP_REFERENCE_UNCHANGED"
"NMilitary","MILITARY_FORMATION_ORGANIZATION_SPECIAL_UNITS_ADD","YES","YES","-50","-50","-50","KEEP_REFERENCE_UNCHANGED"
