nav_record_id,candidate,final_decision,implementation_mode,character_scope,formation_scope,repo_preflight_exact_person_matches,final_character_instances,final_formation_assignments,duplicate_detected,decision,notes
NAV1776-002,Antonio Renier,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_002,cleanup2d6_fleet_002,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-004,"Paul-Hippolyte de Beauvilliers, marquis de La Ferté-Saint-Aignan",IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_004,cleanup2d6_fleet_004,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-005,"Louis Guillouet, comte d'Orvilliers",IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_005,cleanup2d6_fleet_005,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-007,Robert Man (elder),IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_007,med_fleet_gbr,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-008,Samuel Graves,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_008,cleanup2d6_fleet_008,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-010,Edward Hughes,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_010,cleanup2d6_fleet_010,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,Edward Hughes repo-wide preflight found no active exact instance; created once.
NAV1776-011,Sir James Douglas,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_011,cleanup2d6_fleet_011,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-012,John Amherst,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_012,cleanup2d6_fleet_012,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-013,George Mackenzie,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_013,cleanup2d6_fleet_013,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-014,Samuil Karlovich Greig,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_014,rus_baltic_fleet,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-015,Alexei Naumovich Senyavin,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_015,rus_black_sea_fleet,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-016,Henrik af Trolle,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_016,cleanup2d6_fleet_016,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-017,Carl Tersmeden,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_017,cleanup2d6_fleet_017,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-018,Frederik Christian Kaas,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_018,cleanup2d6_fleet_018,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-020,Francesco Maria De Nobili,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_020,cleanup2d6_fleet_020,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-022,John Francis Edward Acton,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_022,cleanup2d6_fleet_022,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
NAV1776-023,Andries Hartsinck,IMPLEMENT_NAMED_HISTORICAL_ADMIRAL,CREATE_INLINE_CHARACTER,cleanup2d6_admiral_023,cleanup2d6_fleet_023,0,1,1,NO,CREATE_ONCE_AND_ASSIGN_ONCE,
