"tag","country_name","domain","proposed_formation_name","historical_or_modeled","historical_role","proposed_hq","proposed_base_region","infantry","cavalry","artillery","other_land","frigates","ships_of_the_line","other_ships","total_units","crew_or_manpower","commander_needed_later","historical_commander_candidate_if_packet_has_one","confidence","source_basis","current_formation_action","notes"
"ACE","Aceh","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","2","0","0","0","0","0","0","2","2000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"AGC","Angoche","land","army_of_angoche","MODELED","STANDING_CORE","region_east_africa","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: army_of_angoche."
"AIT","Ait Abbas","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_near_east","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"ANK","Ankole","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","1","0","0","0","0","0","0","1","1000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"ARB","Arabistan","land","<unnamed@520>","MODELED","STANDING_CORE","region_greater_persia","","2","1","0","1","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: <unnamed@520>."
"ASH","Ashanti","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_west_africa","","15","3","0","0","0","0","0","18","18000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; strong centralized regional core under Osei Kwadwo.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
"AUS","Austria","land","Vienna General Command","HISTORICAL_MODEL","HABSBURG_CORE","region_central_europe","","27","5","4","0","0","0","0","36","36000","YES","","HIGH","Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","RESIZE","Target division is arithmetic and preserves national composition; current formations: generalkommando_agram; generalkommando_lemberg; generalkommando_wien; armee_in_italien."
"AUS","Austria","land","Italian General Command","HISTORICAL_MODEL","ITALIAN_THEATRE","region_southern_europe","","26","5","4","0","0","0","0","35","35000","YES","","HIGH","Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","RESIZE","Target division is arithmetic and preserves national composition; current formations: generalkommando_agram; generalkommando_lemberg; generalkommando_wien; armee_in_italien."
"AUS","Austria","land","Croatian General Command","HISTORICAL_MODEL","MILITARY_FRONTIER","region_balkans","","26","5","4","0","0","0","0","35","35000","YES","","HIGH","Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","RESIZE","Target division is arithmetic and preserves national composition; current formations: generalkommando_agram; generalkommando_lemberg; generalkommando_wien; armee_in_italien."
"AUS","Austria","land","Bohemian General Command","HISTORICAL_MODEL","NORTHERN_THEATRE","region_central_europe","","26","5","3","0","0","0","0","34","34000","YES","","HIGH","Habsburg parent establishment allocated across five tags; AUS receives 140 of the 200-unit represented pool.","RESIZE","Target division is arithmetic and preserves national composition; current formations: generalkommando_agram; generalkommando_lemberg; generalkommando_wien; armee_in_italien."
"AWA","Awadh","land","OudhRoyalArmy","MODELED","STANDING_CORE","region_north_india","","24","9","3","0","0","0","0","36","36000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; household/paid core separated from retainers and levies.","RESIZE","Target division is arithmetic and preserves national composition; current formations: OudhRoyalArmy."
"BAD","Baden","land","Groherzoglich_Badische_Armee","MODELED","STANDING_CORE","region_central_europe","","7","1","1","0","0","0","0","9","9000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","RESIZE","Target division is arithmetic and preserves national composition; current formations: Groherzoglich_Badische_Armee."
"BAL","Bali","land","Modeled 1776 Field Force 1","MODELED","STANDING_CORE","region_indochina","","3","1","0","0","0","0","0","4","4000","YES","","LOW","MODELED_FROM_QUALITATIVE_EVIDENCE=YES; recommended standing core = 90% of current scripted units in Europe, 75% elsewhere, or 40% of existing barracks where no formation exists; regional composition and non-standing mobilization applied separately.","CREATE","Target division is arithmetic and preserves national composition; current formations: ."
