nav_record_id,candidate,birth_date_source_value,birth_date_precision,historical_birth_place,mapped_v3_birth_state,culture_recommendation,religion_recommendation,final_commander_rank
NAV1776-002,Antonio Renier,1708,YEAR_ONLY,UNKNOWN,UNKNOWN,cu:north_italian,rel:catholic,commander_rank_1
NAV1776-004,"Paul-Hippolyte de Beauvilliers, marquis de La Ferté-Saint-Aignan",1712-12-26,DAY,,,cu:french,rel:catholic,commander_rank_1
NAV1776-005,"Louis Guillouet, comte d'Orvilliers",1710-03-26,DAY,,,cu:french,rel:catholic,commander_rank_2
NAV1776-007,Robert Man (elder),UNKNOWN,UNKNOWN,,,cu:british,rel:protestant,commander_rank_1
NAV1776-008,Samuel Graves,1713-04-17,DAY,,,cu:british,rel:protestant,commander_rank_1
NAV1776-010,Edward Hughes,c.1716,APPROXIMATE_YEAR,,,cu:british,rel:protestant,commander_rank_1
NAV1776-011,Sir James Douglas,1703,YEAR,,,cu:british,rel:protestant,commander_rank_3
NAV1776-012,John Amherst,c.1718,APPROXIMATE_YEAR,,,cu:british,rel:protestant,commander_rank_2
NAV1776-013,George Mackenzie,UNKNOWN,UNKNOWN,,,cu:british,rel:protestant,commander_rank_1
NAV1776-014,Samuil Karlovich Greig,1735-11-30 (British Old Style traditional date),DAY_EXACT; CALENDAR_CONFLICT,"Inverkeithing, Fife",,cu:scottish,rel:protestant,commander_rank_2
NAV1776-015,Alexei Naumovich Senyavin,1722-10-05 OS / 1722-10-16 NS,DAY_EXACT,,,cu:russian,rel:orthodox,commander_rank_1
NAV1776-016,Henrik af Trolle,1730-11-24,DAY_EXACT,,,cu:swedish,rel:protestant,commander_rank_1
NAV1776-017,Carl Tersmeden,1715-04-23,DAY_EXACT,,,cu:swedish,rel:protestant,commander_rank_1
NAV1776-018,Frederik Christian Kaas,1725-12-01,DAY_EXACT,,,cu:danish,rel:protestant,commander_rank_1
NAV1776-020,Francesco Maria De Nobili,UNKNOWN,UNKNOWN,,,cu:north_italian,rel:catholic,commander_rank_1
NAV1776-022,John Francis Edward Acton,1736-06,MONTH_ONLY,,,cu:british,rel:catholic,commander_rank_1
NAV1776-023,Andries Hartsinck,1720-04-25,EXACT_DAY,,,cu:dutch,rel:protestant,commander_rank_1
NAV1776-025,Roberto Macdouall,UNKNOWN,UNKNOWN,,,,,commander_rank_1
NAV1776-027,Juan Bautista Bonet Arniaud,1707,YEAR,,,cu:spanish,rel:catholic,commander_rank_1
NAV1776-030,Esek Hopkins,1718-04-26,DAY,"Scituate, Rhode Island",STATE_RHODE_ISLAND,cu:yankee,UNVERIFIED,commander_rank_1
NAV1776-035,Cezayirli Gazi Hasan Paşa,c.1714,CIRCA_YEAR / RANGE,,,,,commander_rank_1
NAV1776-036,Hilāl ibn Aḥmad ibn Saʿīd al-Būsaʿīdī,before 1737-03-10,TERMINUS_ANTE_QUEM,,,,,commander_rank_1
NAV1776-037,Anandrao Dhulap,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,cu:marathi,UNSET_PERSON_SPECIFIC_EVIDENCE_NOT_FOUND,commander_rank_1
NAV1776-039,Li Fengyao,UNKNOWN,UNKNOWN,,,,,commander_rank_1
NAV1776-040,Zhang Shen,UNKNOWN,UNKNOWN,,,,,commander_rank_1
NAV1776-041,Assuerus van den Bergh,UNKNOWN,UNKNOWN,,,,,commander_rank_1
