historical_person,source_birth_value,precision,source_birth_place,v3_state,encoded_birth_date,encoded_age,approximation_used,reason,validation
Franciszek Ksawery Branicki,c. 1730,YEAR (circa),"Barwałd, usually identified as Barwałd Górny",STATE_WEST_GALICIA (medium-confidence geographic mapping),,45,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Friedrich Ehrenreich von Ramin,1709-04-10,DAY,"Brüssow, Uckermark",STATE_BRANDENBURG,1709.4.10,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Friedrich Christoph von Saldern,1719-06-02,DAY,"Kolberg (Kołobrzeg), Pomerania",STATE_POMERANIA,1719.6.2,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Wichard Joachim Heinrich von Möllendorff,1724-01-07,DAY,"Lindenberg, Prignitz",STATE_BRANDENBURG,1724.1.7,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Friedrich Bogislaw von Tauentzien,1710-04-18,DAY,"Tauentzien (Tawecino), Lauenburg district, Hinterpommern",STATE_POMERANIA,1710.4.18,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Gabriel Splényi von Miháldy,1734-10-02,DAY,"Ternyn, Upper Hungary",STATE_SLOVAKIA,1734.10.2,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Joseph Šišković,1719-07-02,DAY,Szeged,STATE_CENTRAL_HUNGARY,1719.7.2,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Andreas Hadik von Futak,1710-10-16,DAY,"Csallóköz / Große Schüttinsel (Žitný ostrov), Kingdom of Hungary",STATE_SLOVAKIA,1710.10.16,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Giovanni Battista Serbelloni,1696,YEAR,Milan (probable; exact birthplace not independently pinned down in this audit),STATE_LOMBARDY,,79,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Claude-Louis-Robert de Saint-Germain,1707-04-15,DAY,"Vertamboz, Franche-Comté (actuel Jura)",STATE_FRANCHE_COMTE,1707.4.15,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Louis-Georges-Érasme de Contades,1704-10-11,DAY,"Château de Montgeoffroy, Mazé, Anjou",STATE_LOIRE (mapping géographique probable; vérifier la clé vanilla 1.13 si absente de l'index du fork),1704.10.11,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Louis-François-Armand de Vignerot du Plessis,1696-03-13,DAY,Paris,STATE_ILE_DE_FRANCE,1696.3.13,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Vital-Auguste de Grégoire de Nozières,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
William Howe,1729-08-10,DAY,"Exact birthplace not confirmed in the priority sources consulted; Howe family seat was Langar Hall, Nottinghamshire","STATE_MIDLANDS (TENTATIVE; based on Nottinghamshire family-seat association, not a proven birthplace)",1729.8.10,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Jeffery Amherst,1717-01-29,DAY,"Riverhead, Sevenoaks, Kent",STATE_HOME_COUNTIES,1717.1.29,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
George Augustus Eliott,1717-12-25,DAY,"Stobs, Roxburghshire, Scotland",STATE_LOWLANDS,1717.12.25,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Grigory Potemkin,1739-10-11 (New Style; 1739-09-30 Old Style),DAY,"Chizhovo, Smolensk uezd",STATE_SMOLENSK,1739.10.11,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Pyotr Rumyantsev,1725-01-15 (New Style; 1725-01-04 Old Style),DAY,Moscow,STATE_MOSCOW,1725.1.15,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Johann Clapier de Colongue,1719-11-24 (New Style; 1719-11-13 Old Style) — conflicts with RGVIA guide's 1716,DAY (but year conflict across authoritative references),Exact locality not securely established in the sources used; Baltic/Estland origin is reported,UNKNOWN — do not invent a state mapping,,,NO,Precision too weak; no fabricated date/age,PASS_UNENCODED_INSUFFICIENT_PRECISION
Heinrich Christoph von Baudissin,1709-07-09,DAY,Schleswig,STATE_SCHLESWIG_HOLSTEIN,1709.7.9,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
August Friedrich von Spörcken,1698-08-28,DAY,Exact birthplace not pinned down in the consulted biography; family/service context in the Lüneburg-Harburg/Hanoverian sphere,STATE_HANNOVER,1698.8.28,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Georg Magnus Sprengtporten,1740-08-16 (SBL source-stated date; Swedish calendar conversion not silently altered),DAY,"Borgå rural parish (Porvoo), Nyland, Finland",STATE_UUSIMAA,1740.8.16,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Lodewijk Ernst van Brunswijk-Wolfenbüttel,1718-09-25,DAY,Wolfenbüttel,STATE_BRUNSWICK,1718.9.25,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Joseph-Jean-François de Ferraris,1726-04-20,DAY,"Lunéville, Lorraine",STATE_ALSACE_LORRAINE,1726.4.20,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Duarte António da Câmara,1693,YEAR,"Ponta Delgada, São Miguel, Açores (lieu rapporté par la tradition biographique; jour/mois volontairement non promus)",STATE_AZORES,,82,YES,Age encodes year/range without inventing month/day,PASS_AGE_WITHOUT_FAKE_DAY_MONTH
Antonio Ricardos,1727-09-12,DAY,"Barbastro, Aragón",STATE_ARAGON,1727.9.12,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
Félix O'Neille y O'Neille,1720-11-01,DAY,"Creggan, County Armagh, Kingdom of Ireland",STATE_ULSTER,1720.11.1,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
José Francisco Antonio Solano y Bote,1726-03-06,DAY,"Zorita, Cáceres, Extremadura",STATE_EXTREMADURA,1726.3.6,,NO,Exact source day,PASS_EXACT_SOURCE_DATE
