tag,country_name,standing_regular_units_3b,target_mobilization_capacity_2d2,historical_mobilization_type,mobilization_model,army_model_law,native_conscription_limit,target_fits_native_limit,implementation_mechanism,conscript_infantry,conscript_cavalry,conscript_artillery,conscript_other,total_conscript_capacity,target_delta,formations_used,new_reserve_formation_created,structural_defer,structural_action,law_limited,law_limit_shortfall,modeled_from_qualitative_evidence,peacetime_cost_expected,budget_risk,static_result,confidence,notes
ACE,Aceh,2,4,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,2,NO,NATIVE_CONSCRIPT_UNITS,2,0,0,0,2,-2,cleanup2d3b_ace_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
AGC,Angoche,4,12,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-12,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
AIT,Ait Abbas,1,2,PROVINCIAL_TRIBAL_CONTINGENTS,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-1,cleanup2d3b_ait_land_1,NO,NO,NOT_APPLICABLE,YES,1,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=LAW; no temporary modifier applied.
ALK,Alaska,0,0,MILITIA_LEVY_OR_LOCAL_OBLIGATION,MAP_REWORK_DEFERRED,law_professional_army,0,NO,STRUCTURAL_DEFER_UNCHANGED,0,0,0,0,0,0,,NO,YES,UNCHANGED,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
ANH,Anhalt,0,0,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,0,YES,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,0,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; unsupported unit groups shifted to infantry.; shortfall_reason=NONE; no temporary modifier applied.
ANK,Ankole,1,3,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,1,NO,NATIVE_CONSCRIPT_UNITS,1,0,0,0,1,-2,cleanup2d3b_ank_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
ARB,Arabistan,4,8,PROVINCIAL_TRIBAL_CONTINGENTS,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,2,NO,NATIVE_CONSCRIPT_UNITS,2,0,0,0,2,-6,ARB_existing_army,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
ASH,Ashanti,18,50,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,7,NO,NATIVE_CONSCRIPT_UNITS,7,0,0,0,7,-43,cleanup2d3b_ash_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
AUS,Austria,140,70,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,39,NO,NATIVE_CONSCRIPT_UNITS,35,2,2,0,39,-31,cleanup2d3b_aus_land_3,NO,NO,NOT_APPLICABLE,YES,31,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; shortfall_reason=LAW; no temporary modifier applied.
AWA,Awadh,36,55,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,7,NO,NATIVE_CONSCRIPT_UNITS,6,1,0,0,7,-48,OudhRoyalArmy,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; shortfall_reason=POPULATION; no temporary modifier applied.
BAD,Baden,9,4,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,3,NO,NATIVE_CONSCRIPT_UNITS,3,0,0,0,3,-1,Groherzoglich_Badische_Armee,NO,NO,NOT_APPLICABLE,YES,1,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; shortfall_reason=LAW; no temporary modifier applied.
BAL,Bali,4,8,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,5,NO,NATIVE_CONSCRIPT_UNITS,5,0,0,0,5,-3,cleanup2d3b_bal_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BAV,Bavaria,8,4,MILITIA_RESERVE,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_professional_army,9,YES,NATIVE_CONSCRIPT_UNITS,4,0,0,0,4,0,I_ArmeeKorps,NO,NO,NOT_APPLICABLE,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; shortfall_reason=NONE; no temporary modifier applied.
BEN,Benin,8,24,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,11,NO,NATIVE_CONSCRIPT_UNITS,11,0,0,0,11,-13,cleanup2d3b_ben_land_1,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=TECH; no temporary modifier applied.
BEO,Austrian Netherlands (BEO/Belgium),12,12,MILITIA_LEVY_OR_LOCAL_OBLIGATION,ALLOCATE_FROM_OVERLORD_POOL,law_professional_army,8,NO,STRUCTURAL_DEFER_UNCHANGED,0,0,0,0,0,-12,,NO,YES,UNCHANGED,NO,0,NO,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE; shortfall_reason=STRUCTURAL; no temporary modifier applied.
BGI,Bagirmi,1,3,MILITIA_LEVY_OR_LOCAL_OBLIGATION,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,NO,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,-3,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS_WITH_DOCUMENTED_SHORTFALL,MEDIUM_HIGH_STATIC,Composition=EUROPEAN_MILITIA_RESERVE evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=POPULATION; no temporary modifier applied.
BHN,Bahrain,0,0,PROVINCIAL_TRIBAL_CONTINGENTS,"Capacity only; do not script as standing barracks. Later implementation should use conscription centers, laws, events, or subject/contingent mechanics appropriate to the system.",law_peasant_levies,0,YES,NO_NATIVE_UNIT_CAPACITY,0,0,0,0,0,0,,NO,NO,NOT_APPLICABLE,NO,0,YES,NO,LOW_DORMANT;RUNTIME_CONFIRM_3E,PASS,MEDIUM_HIGH_STATIC,Composition=CENTRAL_ASIAN_TRIBAL evidence retained; law_peasant_levies permits infantry-group conscripts only.; shortfall_reason=NONE; no temporary modifier applied.
