"issue_id","priority","tag","domain","issue","2d0_root_cause","historical_relevance","proposed_fix_direction","resolution_phase","runtime_required","risk","dependencies","notes"
"2D0-001","P0","SPA","naval","EXACT_DUPLICATE_FLEET_DEFINITIONS","Two separate adjacent create_military_formation blocks in the same active fork file use the same name, HQ, and exact ship composition; they have distinct scopes and distinct admirals.","2D-1 evidence applied or structural uncertainty preserved","Delete one exact duplicate block; rebuild three distinct Spanish squadrons (Cadiz/Ferrol, Cartagena, American stations) totaling 18 frigates + 22 SOL; unique names, roles, HQ/base assignments and scopes.","CLEANUP-2D-3B_FORMATIONS","YES","HIGH","2D-2 reviewed targets","Not caused by vanilla/mod coexistence: the mod file shadows the same relative vanilla file."
"2D0-002","P0","","engine/VFS","STALE_PRE_TGW_DEFINES_OVERRIDE","The active mod file shadows target 1.13.9 common/defines/00_defines.txt but contains an older NMilitary schema.","Technical/runtime correctness","Pin an authenticated 1.13.9 define baseline. Replace the imported full-file shadow with a late-loading minimal scenario-delta define file only after classifying every divergence. Preserve audited start/end date and required custom-map geometry deltas; inherit target NMilitary wholesale, including all 76 keys absent in the 2D-0 comparison. Remove obsolete NAVAL_BASE_BUILDING=building_naval_base and 12 obsolete NMilitary keys. Do not carry the four differing common NMilitary values unless a separate gameplay-design test explicitly approves each. Runtime smoke-test parsing, sailor capacity, formation orders, blockade and save/load before balance edits.","CLEANUP-2D-3A_ENGINE_BASELINE","YES","HIGH","2D-2 reviewed targets","Audit only; no defines were changed in CLEANUP-2D-0."
"2D0-003","P0","PRU","fleet","EMPTY_FORMATION","An active create_military_formation block contains no active combat_unit/ship entries.","2D-1 evidence applied or structural uncertainty preserved","Remove/disable Kniglich_Preuische_Marine. Target remains zero ships and zero combat fleets.","CLEANUP-2D-3B_FORMATIONS","YES","HIGH","2D-2 reviewed targets",""
"2D0-004","P0","GBR","commander","DUPLICATE_COMMANDER_SCOPE","Multiple created commanders save to the same scope in one country block, so later scope resolution is ambiguous.","2D-1 evidence applied or structural uncertainty preserved","Assign unique GBR commander save scopes, then transfer each to one intended target formation; validate every source and target scope.","CLEANUP-2D-4_COMMANDERS","YES","HIGH","Completed formation scopes from 2D-3B",""
"2D0-005","P0","BIC","commander","INVALID_COMMANDER_IDEOLOGY_REFERENCE","A created commander references an identifier absent from the effective 1.13 ideology database.","Technical/runtime correctness","Replace invalid moderate with a verified effective ideology ID; keep this separate from force sizing.","CLEANUP-2D-4_COMMANDERS","YES","HIGH","Completed formation scopes from 2D-3B",""
"2D0-006","P1","GBR","commander","TRANSFER_SCOPE_WITHOUT_CREATED_COMMANDER","A transfer_to_formation source scope does not match a created commander scope in the same country block.","2D-1 evidence applied or structural uncertainty preserved","Identify or create the intended Aylmer commander in the dedicated commander phase, then bind to the renamed/resized Mediterranean formation.","CLEANUP-2D-4_COMMANDERS","YES","MEDIUM","Completed formation scopes from 2D-3B",""
"2D0-007","P1","BIC","commander","TRANSFER_SCOPE_WITHOUT_CREATED_COMMANDER","A transfer_to_formation source scope does not match a created commander scope in the same country block.","2D-1 evidence applied or structural uncertainty preserved","Resolve Maitland as Crown or Company before creating a source scope; never use the fix to add duplicate Crown manpower to BIC.","CLEANUP-2D-4_COMMANDERS","YES","MEDIUM","Completed formation scopes from 2D-3B",""
"2D0-008","P1","BIC","commander","TRANSFER_TARGET_FORMATION_SCOPE_MISSING","A transfer_to_formation target does not match any formation save scope in the same active country block.","2D-1 evidence applied or structural uncertainty preserved","Create a unique madras_army formation scope for the proposed 16-unit Madras Army, then validate transfer target.","CLEANUP-2D-4_COMMANDERS","YES","MEDIUM","Completed formation scopes from 2D-3B",""
"2D0-009","P1","AUS","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-010","P0","BEO","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-011","P0","BRZ","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-012","P0","CHI","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
"2D0-013","P1","FRA","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-014","P1","GBR","naval","NAVAL_SAILOR_CAPACITY_SHORTFALL","Starting ship crew demand exceeds the literal naval-administration sailor ceiling.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","MEDIUM","Final formation target and 1.13.9 defines repair",""
"2D0-015","P0","HAN","naval","NO_NAVAL_ADMINISTRATION_FOR_ACTIVE_FLEET","Active starting ships require sailors, but literal 1776 building history provides zero naval-administration levels.","2D-1 evidence applied or structural uncertainty preserved","Resize the target fleet first, then set national naval-administration levels to ceil(target crew/1000); verify state placement and full employment at runtime.","CLEANUP-2D-3C_INFRASTRUCTURE","YES","HIGH","Final formation target and 1.13.9 defines repair",""
