record_id,tag,formation,source_file,character_scope,general_category,reused_ruler_general,starting_standing_battalions,potential_conscript_battalions,rank_before,base_command_limit_before,explicit_traits,deterministic_command_limit_modifier,reliable_command_limit_before,status_before,action,final_rank,final_base_command_limit,final_reliable_command_limit,standing_capacity_result,conscripts_used_to_select_rank,character_source_file
GEN1776-001,CRI,cleanup2d3e_r1_cri_land_1,00_military_formations_europe.txt,cleanup2d4_general_001,PROCEDURAL,NO,10,20,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-002,PLC,cleanup2d3e_r1_plc_land_1,00_military_formations_europe.txt,cleanup2d4_general_002,HISTORICAL,NO,16,18,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-003,PRU,cleanup2d3b_pru_land_4,00_military_formations_europe.txt,cleanup2d4_general_003,HISTORICAL,NO,39,24,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-004,PRU,cleanup2d3b_pru_land_1,00_military_formations_europe.txt,cleanup2d4_general_004,HISTORICAL,NO,40,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-005,PRU,cleanup2d3b_pru_land_2,00_military_formations_europe.txt,cleanup2d4_general_005,HISTORICAL,NO,40,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-006,PRU,cleanup2d3b_pru_land_3,00_military_formations_europe.txt,cleanup2d4_general_006,HISTORICAL,NO,39,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-007,GEN,cleanup2d3e_r1_gen_land_1,00_military_formations_europe.txt,cleanup2d4_general_007,PROCEDURAL,NO,2,1,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-008,VEN,cleanup2d3e_r1_ven_land_1,00_military_formations_europe.txt,cleanup2d4_general_008,PROCEDURAL,NO,11,6,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-009,AUS,cleanup2d3b_aus_land_3,00_military_formations_europe.txt,cleanup2d4_general_009,HISTORICAL,NO,35,39,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-010,AUS,cleanup2d3b_aus_land_4,00_military_formations_europe.txt,cleanup2d4_general_010,HISTORICAL,NO,34,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-011,AUS,cleanup2d3b_aus_land_1,00_military_formations_europe.txt,cleanup2d4_general_011,HISTORICAL,NO,36,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-012,AUS,cleanup2d3b_aus_land_2,00_military_formations_europe.txt,cleanup2d4_general_012,HISTORICAL,NO,35,0,commander_rank_1,30,NONE,NONE,30,INSUFFICIENT,PROMOTE_TO_COMMANDER_RANK_2,commander_rank_2,60,60,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
GEN1776-013,HUN,generalkommando_ofen,00_military_formations_europe.txt,cleanup2d4_general_013,PROCEDURAL,NO,28,0,commander_rank_1,30,NONE,NONE,30,SUFFICIENT,KEEP_CURRENT_RANK,commander_rank_1,30,30,PASS,NO,common/history/military_formations/00_military_formations_europe.txt
