tag,country_name,domain,action,old_formation,new_formation,old_scope,new_scope,hq,unit_type,old_unit_count,new_unit_count,infantry,cavalry,artillery,other_land,frigates,ships_of_the_line,other_ships,manpower_or_crew,commander_preserved,commander_reassignment_required_2d4,cross_reference_risk,plan_row_match,static_result,notes
ACE,Aceh,land,CREATE,,Modeled 1776 Field Force 1,,,region_indonesia,combat_unit_type_irregular_infantry=2,0,2,2,0,0,0,0,0,0,2000,NO,NO,NONE_STATIC,ROW_2,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_indochina lacked direct ACE territory
AGC,Angoche,land,RESIZE,army_of_angoche,army_of_angoche,,,region_east_africa,combat_unit_type_dragoons=1;combat_unit_type_irregular_infantry=3,5,4,3,1,0,0,0,0,0,4000,NO,NO,NONE_STATIC,ROW_3,PASS,
AIT,Ait Abbas,land,CREATE,,Modeled 1776 Field Force 1,,,region_north_africa,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_4,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_near_east lacked direct AIT territory
ANK,Ankole,land,CREATE,,Modeled 1776 Field Force 1,,,region_east_africa,combat_unit_type_irregular_infantry=1,0,1,1,0,0,0,0,0,0,1000,NO,NO,NONE_STATIC,ROW_5,PASS,HQ_TEMPORARY_MAP_ABSTRACTION=YES; proposed region_west_africa lacked direct ANK territory
ARB,Arabistan,land,RESIZE,<unnamed@520>,<unnamed@520>,,,region_greater_persia,combat_unit_type_hussars=1;combat_unit_type_irregular_infantry=3,5,4,2,1,0,1,0,0,0,4000,NO,NO,NONE_STATIC,ROW_6,PASS,
ASH,Ashanti,land,CREATE,,Modeled 1776 Field Force 1,,,region_west_africa,combat_unit_type_dragoons=3;combat_unit_type_irregular_infantry=15,0,18,15,3,0,0,0,0,0,18000,NO,NO,NONE_STATIC,ROW_7,PASS,
AUS,Austria,land,RESIZE,generalkommando_wien,Vienna General Command,,,region_central_europe,combat_unit_type_cannon_artillery=4;combat_unit_type_dragoons=5;combat_unit_type_line_infantry=27,18,36,27,5,4,0,0,0,0,36000,NO,NO,NONE_STATIC,ROW_8,PASS,
AUS,Austria,land,RESIZE,armee_in_italien,Italian General Command,armee_in_italien_scope,armee_in_italien_scope,region_southern_europe,combat_unit_type_cannon_artillery=4;combat_unit_type_cuirassiers=5;combat_unit_type_line_infantry=26,87,35,26,5,4,0,0,0,0,35000,NO,NO,NONE_STATIC,ROW_9,PASS,
AUS,Austria,land,RESIZE,generalkommando_agram,Croatian General Command,,,region_balkans,combat_unit_type_cannon_artillery=4;combat_unit_type_cuirassiers=5;combat_unit_type_line_infantry=26,32,35,26,5,4,0,0,0,0,35000,NO,NO,NONE_STATIC,ROW_10,PASS,
AUS,Austria,land,RESIZE,generalkommando_lemberg,Bohemian General Command,generalkommando_lemberg,generalkommando_lemberg,region_central_europe,combat_unit_type_cannon_artillery=3;combat_unit_type_cuirassiers=5;combat_unit_type_line_infantry=26,15,34,26,5,3,0,0,0,0,34000,NO,NO,NONE_STATIC,ROW_11,PASS,
