Building_ID,Display_Name_EN,Display_Name_FR,Building_Group,Category,History_Placeable,Auto_Generated,Technology_Gates,Base_PM,Important_Inputs,Important_Outputs,Max_Level_Rules,Resource_Constraint,Relevant_For_1776_Start_Research,Notes
building_alloys_plant,Alloy Works,Usine d'alliages,bg_heavy_industry,MANUFACTURING,YES_TECHNICALLY,NO,alloysworking,pmg_alloys_process:pm_basic_smelting_process|pmg_aluminiummaking_process:pm_no_aluminium_production|pmg_automation_building_steel_mill:pm_automation_disabled,bauxite|coal|copper|electricity|explosives|industrial_chemicals|iron|lead|steel|sulfur|tools,alloys|aluminium,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=alloysworking|bauxite_processing|bayer_process|electric_arc_process|electrical_capacitors|rotary_valve_engine|watertube_boiler
building_angkor_wat,Angkor Wat,Angkor Wat,bg_monuments,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_angkor_wat:pm_default_building_angkor_wat,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK
building_argebam,Arg-e Bam,Citadelle de Bam,bg_monuments_hidden,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_arms_industry,Arms Industries,Manufactures d’armes,bg_military_industry,MILITARY,YES_USED_IN_CURRENT_HISTORY,NO,regulated_small_arms,pmg_firearms_manufacturing:pm_muskets|pmg_automation_building_arms_industry:pm_automation_disabled|pmg_scientific_management:pm_no_scientific_management,alloys|coal|electricity|hardwood|iron|lubricants|paper|precision_machinery|services|steel|tools,small_arms,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; Aliases=building_arms_industries; PM_Gates=bolt_action_rifles|conveyors|corporate_management|repeaters|rifling|rotary_valve_engine
building_army_logistics_center,Army Logistics Center,Centre logistique militaire,bg_army_logistics_center,MILITARY,NO_ENGINE_GENERATED,YES,NONE,pmg_army_logistics_center:pm_basic_army_logistics_center,NONE,NONE,ENGINE_GENERATED_LEVELS,NONE_EXPLICIT,NO_AUTO_GENERATED,FORK_OVERRIDE; Aliases=building_land_logistics_center; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING
building_art_academy,Arts Academy,Académie des arts,bg_arts,MANUFACTURING,YES_TECHNICALLY,NO,romanticism,pmg_base_building_art_academy:pm_traditional_art|pmg_ownership_building_art_academy:pm_traditional_patronage|pmg_principle_freedom_of_movement_3:pm_principle_freedom_of_movement_3,electricity|paper|tools,fine_art,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE; Aliases=building_arts_academy; PM_Gates=camera|film|realism
building_artillery_foundry,Artillery Foundry,Fonderies d’artillerie,bg_military_industry,MILITARY,YES_USED_IN_CURRENT_HISTORY,NO,standardized_field_artillery,pmg_foundries:pm_cannons|pmg_automation_building_arms_industry:pm_automation_disabled|pmg_scientific_management:pm_no_scientific_management,alloys|coal|electricity|hardwood|iron|lubricants|paper|precision_machinery|services|steel|tools,artillery,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=automatic_machine_guns|breech_loading_artillery|conveyors|corporate_management|rotary_valve_engine|shell_gun|standardized_field_artillery
building_automotive_industry,Automotive Industries,Industries automobiles,bg_heavy_industry,MANUFACTURING,YES_TECHNICALLY,NO,combustion_engine,pmg_automobile_production:pm_automobile_production|pmg_aeroplanes:pm_no_aeroplane_production|pmg_tanks:pm_no_tank_production|pmg_automation_building_automotive_industry:pm_automation_disabled|pmg_scientific_management_automotive_industry:pm_no_scientific_management,alloys|aluminium|electricity|engines|fabric|hardwood|lubricants|paper|precision_machinery|refined_fuels|rubber|services|steel|tools,aeroplanes|automobiles|tanks,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE; PM_Gates=bayer_process|combustion_engine|compression_ignition|conveyors|corporate_management|military_aviation|mobile_armor
building_banana_plantation,Banana Plantations,Plantations de bananes,bg_plantations,PLANTATION,YES_USED_IN_CURRENT_HISTORY,NO,improved_husbandry,pmg_base_building_banana_plantation:default_building_banana_plantation|pmg_banana_exploitation:default_labour|pmg_train_automation_building_banana_plantation:pm_road_carts,transportation,NONE,NO_EXPLICIT_DEFINITION_CAP,ARABLE_LAND_AND_STATE_ARABLE_RESOURCE,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=railways
building_barrack,Barracks,Caserne,bg_army,MILITARY,YES_USED_IN_CURRENT_HISTORY,NO,organized_military_establishments,pmg_training:pm_no_organization,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; Aliases=building_barracks; PM_Gates=general_staff|military_statistics|mobile_armor|nco_training|wargaming
building_bauxite_mine,Bauxite Mine,Mine de bauxite,bg_mining,RESOURCE_EXTRACTION,YES_TECHNICALLY,NO,bauxite_processing,pmg_mining_equipment_building_bauxite_mine:pm_picks_and_shovels_building_bauxite_mine|pmg_explosives_building_bauxite_mine:pm_no_explosives|pmg_steam_automation_building_bauxite_mine:pm_no_steam_automation|pmg_train_automation_building_bauxite_mine:pm_road_carts|pmg_ore_concentration_building_bauxite_mine:pm_no_ore_concentration_building_bauxite_mine|pmg_mine_ventilation_building_bauxite_mine:pm_no_mine_ventilation,coal|electricity|engines|explosives|industrial_chemicals|refined_fuels|tools|transportation,bauxite,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,NO_POST_1776,FORK_OVERRIDE; PM_Gates=atmospheric_engine|bauxite_processing|compression_ignition|deep_mine_engineering|dynamite|electrical_capacitors|geological_surveying|nitroglycerin|railways|steam_donkey|watertube_boiler
building_big_ben,Big Ben,Big Ben,bg_monuments,OTHER,CONDITIONAL_POTENTIAL,NO,NONE,pmg_base_building_big_ben:pm_default_building_big_ben,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER
building_capitol_hill,Capitol Hill,Capitole des États-Unis,bg_monuments_hidden,OTHER,NO_NONBUILDABLE_OR_EVENT_CONTROLLED,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_cement_works,Cement Works,Cimenterie,bg_heavy_industry,MANUFACTURING,YES_TECHNICALLY,NO,professional_civil_engineering,pmg_base_building_cement_works:pm_natural_cement_process,coal|limestone,cement,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,NO_POST_1776,FORK_OVERRIDE; PM_Gates=hydraulic_cements|portland_cement
building_central_park,Central Park,Central Park,bg_monuments_hidden,OTHER,NO_NONBUILDABLE_OR_EVENT_CONTROLLED,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,NO_POST_1776,VANILLA_FALLBACK; POST_1776_EXPLICIT_DATE_FILTER; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_chemical_plant,Chemical Complex,Complexe chimique,bg_heavy_industry,MANUFACTURING,YES_USED_IN_CURRENT_HISTORY,NO,industrial_acids,pmg_fertilizer_production:pm_no_fertilizer_production|pmg_base_building_chemical_works:pm_lead_chamber_process|pmg_pharmaceutical_production_building_chemical_works:pm_no_pharmaceutical_production,coal|electricity|glass|heavy_petroleum_products|industrial_chemicals|iron|lead|limestone|liquor|opium|paper|phosphates|precision_machinery|salt|sugar|sulfur|tools,fertilizer|industrial_chemicals|pharmaceuticals,NO_EXPLICIT_DEFINITION_CAP,NONE_EXPLICIT,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; Aliases=building_chemical_plants|building_chemical_works; PM_Gates=active_principle_pharmacy|aniline|antibiotics|electrical_capacitors|improved_fertilizer|industrial_alkalis|nitrogen_fixation|nitroglycerin
building_chichen_itza,Chichén Itzá,Chichén Itzá,bg_monuments_hidden,OTHER,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_dummy:pm_dummy,NONE,NONE,NO_EXPLICIT_DEFINITION_CAP,STATE_SPECIFIC_POTENTIAL,YES,VANILLA_FALLBACK; REPORT_LABEL_FALLBACK_FOR_VANILLA_BUILDING_DUMMY
building_coal_mine,Coal Mines,Mines de charbon,bg_mining,RESOURCE_EXTRACTION,YES_USED_IN_CURRENT_HISTORY,NO,shaft_mining,pmg_mining_equipment_building_coal_mine:pm_picks_and_shovels_building_coal_mine|pmg_explosives_building_coal_mine:pm_no_explosives|pmg_steam_automation_building_coal_mine:pm_no_steam_automation|pmg_train_automation_building_coal_mine:pm_road_carts|pmg_ore_concentration_building_coal_mine:pm_no_ore_concentration_building_coal_mine|pmg_mine_ventilation:pm_no_mine_ventilation,coal|electricity|engines|explosives|industrial_chemicals|refined_fuels|tools|transportation,coal,NO_EXPLICIT_DEFINITION_CAP,STATE_REGION_RESOURCE_CAP_OR_DISCOVERY,YES_TECH_DISTRIBUTION_REVIEW,FORK_OVERRIDE; PM_Gates=atmospheric_engine|compression_ignition|condensing_steam_engines|deep_mine_engineering|dynamite|electrical_capacitors|geological_surveying|nitroglycerin|railways|steam_donkey
building_coffee_plantation,Coffee Plantations,Plantations de café,bg_plantations,PLANTATION,YES_USED_IN_CURRENT_HISTORY,NO,NONE,pmg_base_building_coffee_plantation:coffee_plantation_dry_process|pmg_drying_coffee_plantation:coffee_plantation_patio_drying|pmg_coffee_exploitation:default_labour|pmg_train_automation_building_coffee_plantation:pm_road_carts,transportation,NONE,NO_EXPLICIT_DEFINITION_CAP,ARABLE_LAND_AND_STATE_ARABLE_RESOURCE,YES,FORK_OVERRIDE; PM_Gates=railways
building_company_headquarter,Company Headquarter,Quartier général de la compagnie,bg_company_headquarter,OTHER,NO_ENGINE_GENERATED,YES,NONE,pmg_ownership_building_company_headquarter:pm_company_headquarter_privately_owned,NONE,NONE,ENGINE_GENERATED_LEVELS,NONE_EXPLICIT,NO_AUTO_GENERATED,VANILLA_FALLBACK; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING
building_company_regional_headquarter,Regional Company Headquarter,Siège régional de la compagnie,bg_company_regional_headquarter,OTHER,NO_ENGINE_GENERATED,YES,NONE,pmg_ownership_building_company_headquarter:pm_company_headquarter_privately_owned,NONE,NONE,ENGINE_GENERATED_LEVELS,NONE_EXPLICIT,NO_AUTO_GENERATED,VANILLA_FALLBACK; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING
building_conscription_center,Conscription Center,Centre d’enrôlement,bg_conscription,MILITARY,NO_ENGINE_GENERATED,YES,NONE,pmg_training_conscription:pm_no_organization_conscription,NONE,NONE,ENGINE_GENERATED_LEVELS,NONE_EXPLICIT,NO_AUTO_GENERATED,FORK_OVERRIDE; DO_NOT_RESEARCH_AS_MANUAL_STARTING_BUILDING; PM_Gates=general_staff|military_statistics|mobile_armor|nco_training|wargaming
