State_ID,Building_ID,Levels,Required_Policy,Actual_Ownership,Status,Source
STATE_WEST_BENGAL,building_arms_industry,1,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:1,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_artillery_foundry,1,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:1,PASS,common/history/buildings/98_build_start_1776_world_redistribution.txt
STATE_WEST_BENGAL,building_government_administration,15,BIC_PUBLIC_EXCEPTION,country:-:BIC:-:15,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_logging_camp,4,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:4,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_opium_plantation,2,GBR_BIC_COMPANY,company:company_east_india_company:GBR:-:2,PASS,common/history/buildings/98_build_start_1776_world_redistribution.txt
STATE_WEST_BENGAL,building_port,3,BIC_PUBLIC_EXCEPTION,country:-:BIC:-:3,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_railway,15,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:15,PASS,common/history/buildings/97_build_start_1776_runtime_wave1.txt
STATE_WEST_BENGAL,building_salt_pan,2,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:2,PASS,common/history/buildings/98_build_start_1776_world_redistribution.txt
STATE_WEST_BENGAL,building_shipyard,1,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:1,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_silk_plantation,3,GBR_BIC_COMPANY,company:company_east_india_company:GBR:-:3,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_sugar_plantation,1,GBR_BIC_COMPANY,company:company_east_india_company:GBR:-:1,PASS,common/history/buildings/98_build_start_1776_world_redistribution.txt
STATE_WEST_BENGAL,building_textile_mill,3,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:3,PASS,common/history/buildings/10_india.txt
STATE_WEST_BENGAL,building_tobacco_plantation,2,GBR_BIC_COMPANY,company:company_east_india_company:GBR:-:2,PASS,common/history/buildings/98_build_start_1776_world_redistribution.txt
STATE_WEST_BENGAL,building_trade_center,3,GBR_FINANCIAL_DISTRICT,building:building_financial_district:GBR:STATE_HOME_COUNTIES:3,PASS,common/history/buildings/10_india.txt
