Owner_TAG,Country,State_ID,Current_Level,Historical_Target_Level,Gameplay_Minimum_Component,Final_Target_Level,Current_Bureaucracy_Context,Projected_Bureaucracy_Context,Tax_Capacity_Context,Capital_or_Admin_Center,Decision,Reason,Runtime_Validation_Required
ABB,Oman,STATE_ABU_DHABI,0,0,0,0,country_gross=0; static_structural_cost=12.4; gross_minus_static=-12.4; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-12.4; runtime_deincorp_states=0; post_deincorp_cost=12.4; post_deincorp_net=-12.4; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=6.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ABS,Séliš,STATE_MONTANA,0,0,0,0,country_gross=0; static_structural_cost=21.4; gross_minus_static=-21.4; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-21.4; runtime_deincorp_states=0; post_deincorp_cost=21.4; post_deincorp_net=-21.4; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=3.5,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ACE,Siak,STATE_ACEH,0,0,0,0,country_gross=0; static_structural_cost=24.2; gross_minus_static=-24.2; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-24.2; runtime_deincorp_states=0; post_deincorp_cost=24.2; post_deincorp_net=-24.2; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=35.4,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ACH,Buganda,STATE_UGANDA,0,0,0,0,country_gross=0; static_structural_cost=18.4; gross_minus_static=-18.4; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-18.4; runtime_deincorp_states=0; post_deincorp_cost=18.4; post_deincorp_net=-18.4; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=20.9,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ADG,Reguibat,STATE_TIMBUKTU,0,0,0,0,country_gross=0; static_structural_cost=22.7; gross_minus_static=-22.7; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-22.7; runtime_deincorp_states=0; post_deincorp_cost=22.7; post_deincorp_net=-22.7; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=6.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
ADR,Trarza,STATE_MAURITANIA,0,0,0,0,country_gross=0; static_structural_cost=31.5; gross_minus_static=-31.5; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-31.5; runtime_deincorp_states=0; post_deincorp_cost=31.5; post_deincorp_net=-31.5; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=3.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AGC,Tungi,STATE_MOCAMBIQUE,0,0,0,0,country_gross=0; static_structural_cost=0.0; gross_minus_static=0.0; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=0.0; runtime_deincorp_states=0; post_deincorp_cost=0.0; post_deincorp_net=0.0; laws=2; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=0.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AHG,Touggourt,STATE_EAST_SAHARA,0,0,0,0,country_gross=0; static_structural_cost=11.2; gross_minus_static=-11.2; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-11.2; runtime_deincorp_states=0; post_deincorp_cost=11.2; post_deincorp_net=-11.2; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=2.9,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AIN,Ulta,STATE_SAKHALIN,0,0,0,0,country_gross=0; static_structural_cost=0.0; gross_minus_static=0.0; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=0.0; runtime_deincorp_states=0; post_deincorp_cost=0.0; post_deincorp_net=0.0; laws=0; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=0.0,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
AIR,Tubu,STATE_NIGER,0,0,0,0,country_gross=0; static_structural_cost=14.2; gross_minus_static=-14.2; pm=pm_simple_organization; per_level=10,country_gross=0; near_balance_95pct=0; gross_minus_static=-14.2; runtime_deincorp_states=0; post_deincorp_cost=14.2; post_deincorp_net=-14.2; laws=1; explicit_institution_blocks=0,state_pm_per_level=2; country_current=0; country_projected=0; incorporated_population_need=10.6,CAPITAL,KEEP,Historical target is the floor; the general overlay retains 66% of demonstrated gross capacity and uses limited runtime de-incorporation for near balance. China is a deliberate overpopulation-burden exception kept at its historical floor; tax capacity is diagnostic rather than a 100% coverage target.,"YES — workforce, wage, institution, law, tax-waste and incorporation effects are not statically exact"
