Owner_TAG,Country,State_ID,Current_Level,Historical_Target_Level,Supply_Calibration_Addition,Final_Target_Level,Start_PM,Estimated_Wood_Output,Estimated_Local_or_Market_Demand,Market_Context,Decision,Reason,Runtime_Validation_Required
AIT,Constantine,STATE_CONSTANTINE,1,0,0,0,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_simple_forestry,0.0 (per_level=40.0),0.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
ALK,Athabaska,STATE_ALASKA,2,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,0.0 (per_level=15.0),0.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_BOHEMIA,3,1,0,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_BUKOVINA,2,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_CROATIA,3,1,0,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_MORAVIA,3,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_SLAVONIA,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_SLOVENIA,2,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_STYRIA,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
AUS,Austria,STATE_TYROL,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),155.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BAD,Baden,STATE_BADEN,2,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),30.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BAV,Bavaria,STATE_BAVARIA,3,0,0,0,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,0.0 (per_level=55.0),5.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,REMOVE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BAV,Bavaria,STATE_FRANCONIA,3,0,1,1,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,55.0 (per_level=55.0),5.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,DECREASE,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BEO,Belgium,STATE_FLANDERS,4,0,4,4,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,220.0 (per_level=55.0),340.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BEO,Luxembourg,STATE_WALLONIA,3,0,3,3,pm_hardwood|pm_no_equipment|pm_road_carts|pm_saw_mills,165.0 (per_level=55.0),340.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BIC,East India,STATE_EAST_BENGAL,2,0,2,2,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,30.0 (per_level=15.0),90.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BIC,Cooch Behar,STATE_WEST_BENGAL,4,0,4,4,pm_hardwood|pm_no_equipment|pm_road_carts|pm_simple_forestry,60.0 (per_level=15.0),90.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRA,Prussia,STATE_BRUNSWICK,0,1,0,1,pm_simple_forestry|pm_no_hardwood|pm_no_equipment|pm_road_carts,40.0 (per_level=40.0),5.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,ADD,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_BAHIA,1,0,1,1,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,80.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
BRZ,Brazil,STATE_CEARA,2,0,2,2,pm_no_equipment|pm_no_hardwood|pm_road_carts|pm_saw_mills,160.0 (per_level=80.0),110.0,COUNTRY_PROXY; actual customs-union market and trade routes require runtime,KEEP,"Historical logging is the floor. Existing effective logging locations are retained only as needed to cover 115% of target-building wood inputs, including the global exporter buffer; no entirely new forest location is invented.","YES — pop demand, subsistence supply, throughput, workforce, prices and cross-border market trade are dynamic"
