Company_ID,Company,Parent_TAG,Colony_TAG,State_ID,Building_ID,Company_Levels,Supported_By_Company,Correct_Parent,Correct_Colony,Source
company_east_india_company,BIC,GBR,BIC,STATE_BIHAR,building_opium_plantation,2,YES,YES,YES,common/history/buildings/10_india.txt
company_east_india_company,BIC,GBR,BIC,STATE_WEST_BENGAL,building_opium_plantation,2,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_east_india_company,BIC,GBR,BIC,STATE_WEST_BENGAL,building_silk_plantation,3,YES,YES,YES,common/history/buildings/10_india.txt
company_east_india_company,BIC,GBR,BIC,STATE_WEST_BENGAL,building_sugar_plantation,1,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_east_india_company,BIC,GBR,BIC,STATE_WEST_BENGAL,building_tobacco_plantation,2,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_hbc,HBC,GBR,HBC,STATE_MANITOBA,building_fishing_wharf,1,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_hbc,HBC,GBR,HBC,STATE_MANITOBA,building_logging_camp,1,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_hbc,HBC,GBR,HBC,STATE_ONTARIO,building_logging_camp,1,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_hbc,HBC,GBR,HBC,STATE_QUEBEC,building_fishing_wharf,2,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_CENTRAL_JAVA,building_coffee_plantation,1,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_CENTRAL_JAVA,building_sugar_plantation,1,YES,YES,YES,common/history/buildings/12_indonesia.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_CEYLON,building_spice_plantation,4,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_EAST_JAVA,building_sugar_plantation,1,YES,YES,YES,common/history/buildings/12_indonesia.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_MOLUCCAS,building_spice_plantation,4,YES,YES,YES,common/history/buildings/98_build_start_1776_world_redistribution.txt
company_dutch_east_india_company,VOC,NET,DEI,STATE_WEST_JAVA,building_coffee_plantation,4,YES,YES,YES,common/history/buildings/12_indonesia.txt
