Owner_TAG,Country,State_ID,State_Name,Current_Population,Old_Numerical_Priority,Classification,Evidence,Wave1_Decision
BIC,East India,STATE_AWADH,Oudh,3682454,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BIC,East India,STATE_BIHAR,Bihar,12241311,4,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BIC,East India,STATE_BUNDELKHAND,Bundelkhand,482410,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BIC,East India,STATE_CIRCARS,Northern Circars,3102255,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BUK,Bukhara,STATE_MERZ,Merv,56746,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BUK,Bukhara,STATE_TAJIKISTAN,Tajikistan,331435,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BUR,Burma,STATE_KACHIN,Sagaing,638171,2,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BUR,Burma,STATE_MANDALAY,Mandalay,1047934,3,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
BUR,Burma,STATE_SHAN_STATES,Shan States,468725,1,RESEARCH_REQUIRED,The old numerical screening is not historical evidence; no explicit repository justification was found in this wave.,NO_WRITE
CHI,China,STATE_FORMOSA,Formosa,900000,WAVE2_USER_DIRECTED_CHINA_EXCEPTION,HISTORICALLY_ELIGIBLE_RECENT_CONQUEST_WEAK_INTEGRATION,Qing conquest in 1683; island frontier still administered through a distinct and comparatively weakly integrated structure.,APPLY_WAVE2
