TAG,Country,Removed_Recommendation,Missing_Prerequisites,Reason
ARG,Argentina,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
ASH,Ashanti,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
AUS,Austria,atmospheric_engine,coke_smelting,Would create a prerequisite gap absent from the pre-implementation setup
BEL,Belgium,atmospheric_engine,coke_smelting,Would create a prerequisite gap absent from the pre-implementation setup
BEO,Belgium,advanced_crop_rotations,selective_breeding,Would create a prerequisite gap absent from the pre-implementation setup
BEO,Belgium,atmospheric_engine,coke_smelting,Would create a prerequisite gap absent from the pre-implementation setup
BIC,East India,military_topographic_surveying,permanent_engineer_services,Would create a prerequisite gap absent from the pre-implementation setup
BNY,Bunyoro,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
BRZ,Brazil,codified_practical_knowledge,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
BUG,Buganda,codified_practical_knowledge,institutionalized_scientific_exchange;periodical_print_networks,Would create a prerequisite gap absent from the pre-implementation setup
BUK,Bukhara,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
CHI,China,traditional_papermaking,organized_forestry,Would create a prerequisite gap absent from the pre-implementation setup
ECU,Ecuador,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
FRA,France,atmospheric_engine,coke_smelting,Would create a prerequisite gap absent from the pre-implementation setup
FRA,France,industrial_canals,turnpike_road_networks,Would create a prerequisite gap absent from the pre-implementation setup
GR4,Naples,specialized_technical_academies,institutionalized_scientific_exchange,Would create a prerequisite gap absent from the pre-implementation setup
GR5,Santo Domingo,light_infantry_tactics,regulated_small_arms,Would create a prerequisite gap absent from the pre-implementation setup
