TAG,Technology,Current_Start_Status,Proposed_Start_Status,Reason,Decision_Type
ALW,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
ASM,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
BCE,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
BHU,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
BHV,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
BIC,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
BRE,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
BRZ,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
BUR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
CAM,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
CHI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
CMI,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
CON,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
CUB,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
DAI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
DEI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
DEN,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
DENNOR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
FIN,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
FJI,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
FRA,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
GBR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
GEN,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
GR3,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
GR4,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
HAM,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
HAW,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
ION,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
IR1,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
JUN,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
KOT,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
KRA,shaft_mining,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
KUT,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
LUA,organized_workshops,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,STRUCTURAL_REQUIRED
LUB,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
MARATH,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
MCR,organized_naval_establishments,ABSENT,PRESENT,Fermeture du nouveau tronc requis par une technologie déjà présente au départ.,GAMEPLAY_ABSTRACTION
