Technology_ID,Category,Era,Current_Parents,Parent_Assessment,Proposed_Parents,Change,Reason
enclosed_dock_systems,military,era_1,organized_naval_establishments,GOOD,organized_naval_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
organized_military_establishments,military,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
organized_naval_establishments,military,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
scientific_fortification_siegecraft,military,era_1,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
state_dockyard_systems,military,era_1,organized_naval_establishments,GOOD,organized_naval_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
regulated_small_arms,military,era_2,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
scientific_naval_architecture,military,era_2,organized_naval_establishments,GOOD,organized_naval_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
light_infantry_tactics,military,era_3,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
marine_chronometry,military,era_3,ship_classification_surveying,GOOD,ship_classification_surveying,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
permanent_military_hospitals,military,era_3,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
ship_classification_surveying,military,era_3,organized_naval_establishments,GOOD,organized_naval_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
standardized_field_artillery,military,era_3,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
armament_standardization_inspection,military,era_4,regulated_small_arms;standardized_field_artillery,GOOD,regulated_small_arms;standardized_field_artillery,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
copper_sheathing,military,era_4,scientific_naval_architecture,GOOD,scientific_naval_architecture,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
horse_artillery,military,era_4,standardized_field_artillery,GOOD,standardized_field_artillery,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
military_topographic_surveying,military,era_4,permanent_engineer_services,GOOD,permanent_engineer_services,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
permanent_engineer_services,military,era_4,organized_military_establishments,GOOD,organized_military_establishments,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
battlefield_evacuation,military,era_5,logistics;permanent_military_hospitals,GOOD,logistics;permanent_military_hospitals,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
casemated_fortifications,military,era_5,permanent_engineer_services,GOOD,permanent_engineer_services,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
corps_organization,military,era_5,horse_artillery;permanent_engineer_services,GOOD,horse_artillery;permanent_engineer_services,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
diagonal_ship_framing,military,era_5,scientific_naval_architecture,GOOD,scientific_naval_architecture,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
explosive_field_ammunition,military,era_5,standardized_field_artillery,REDUNDANT_PARENT,,MERGE_AND_ALIAS,Empty concept absorbed by standardized_field_artillery; no external runtime reference found.
field_engineering_pontoon_trains,military,era_5,logistics;permanent_engineer_services,GOOD,logistics;permanent_engineer_services,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
hydrographic_surveying,military,era_5,marine_chronometry;military_topographic_surveying,GOOD,marine_chronometry;military_topographic_surveying,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
logistics,military,era_5,corps_organization,GOOD,corps_organization,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanized_naval_dockyards,military,era_5,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,ACCEPTABLE_ABSTRACTION,enclosed_dock_systems;scientific_naval_architecture;state_dockyard_systems,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
military_veterinary_services,military,era_5,horse_artillery;veterinary_science,GOOD,horse_artillery;veterinary_science,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
paddle_steamer,military,era_5,scientific_naval_architecture,GOOD,scientific_naval_architecture,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
percussion_cap,military,era_5,armament_standardization_inspection;rifling,GOOD,armament_standardization_inspection;rifling,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
rifling,military,era_5,armament_standardization_inspection;light_infantry_tactics,GOOD,armament_standardization_inspection;light_infantry_tactics,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
standardized_military_rockets,military,era_5,armament_standardization_inspection;explosive_field_ammunition,REDUNDANT_PARENT,,MERGE_AND_ALIAS,Empty concept absorbed by the artillery chain; no external runtime reference found.
standardized_naval_signals,military,era_5,ship_classification_surveying,GOOD,ship_classification_surveying,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
general_staff,military,era_6,corps_organization;logistics;military_topographic_surveying;percussion_cap,GOOD,corps_organization;logistics;military_topographic_surveying;percussion_cap,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
iron_hull_construction,military,era_6,diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer,GOOD,diagonal_ship_framing;mechanized_naval_dockyards;paddle_steamer,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
maritime_safety_standards,military,era_6,hydrographic_surveying;ship_classification_surveying,GOOD,hydrographic_surveying;ship_classification_surveying,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
modern_lighthouse_optics,military,era_6,hydrographic_surveying,GOOD,hydrographic_surveying,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
shell_gun,military,era_6,scientific_naval_architecture;standardized_field_artillery,ACCEPTABLE_ABSTRACTION,scientific_naval_architecture;standardized_field_artillery,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
electric_telegraph,military,era_7,logistics,GOOD,logistics,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
field_works,military,era_7,general_staff,GOOD,general_staff,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
ironclad_tech,military,era_7,iron_hull_construction,GOOD,iron_hull_construction,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
modern_nursing,military,era_7,battlefield_evacuation,GOOD,battlefield_evacuation,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
breech_loading_artillery,military,era_8,shell_gun,GOOD,shell_gun,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
enlistment_offices,military,era_8,corps_organization;logistics,GOOD,corps_organization;logistics,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
gantry_cranes,military,era_8,maritime_safety_standards;mechanized_naval_dockyards,GOOD,maritime_safety_standards;mechanized_naval_dockyards,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
monitor_tech,military,era_8,breech_loading_artillery;ironclad_tech,GOOD,breech_loading_artillery;ironclad_tech,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
repeaters,military,era_8,percussion_cap;rifling,GOOD,percussion_cap;rifling,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
self_propelled_torpedoes,military,era_8,shell_gun,GOOD,shell_gun,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
bolt_action_rifles,military,era_9,repeaters,GOOD,repeaters,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
floating_harbor,military,era_9,gantry_cranes,GOOD,gantry_cranes,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
handcranked_machine_gun,military,era_9,repeaters,GOOD,repeaters,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
jeune_ecole,military,era_9,self_propelled_torpedoes,GOOD,self_propelled_torpedoes,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
military_statistics,military,era_9,general_staff,GOOD,general_staff,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
trench_works,military,era_9,field_works,GOOD,field_works,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
wargaming,military,era_9,military_statistics,GOOD,military_statistics,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
concrete_dockyards,military,era_10,floating_harbor,GOOD,floating_harbor,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
military_aviation,military,era_10,wargaming,GOOD,wargaming,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
pre_dreadnought_tech,military,era_10,ironclad_tech,GOOD,ironclad_tech,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
sea_lane_strategies,military,era_10,jeune_ecole,GOOD,jeune_ecole,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
war_propaganda,military,era_10,enlistment_offices,GOOD,enlistment_offices,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
automatic_machine_guns,military,era_11,bolt_action_rifles;handcranked_machine_gun,GOOD,bolt_action_rifles;handcranked_machine_gun,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
concrete_fortifications,military,era_11,casemated_fortifications;defense_in_depth,ACCEPTABLE_ABSTRACTION,casemated_fortifications;defense_in_depth,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
defense_in_depth,military,era_11,automatic_machine_guns;trench_works,GOOD,automatic_machine_guns;trench_works,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
destroyer,military,era_11,monitor_tech,GOOD,monitor_tech,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
dreadnought_tech,military,era_11,pre_dreadnought_tech,GOOD,pre_dreadnought_tech,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
landing_craft,military,era_11,field_engineering_pontoon_trains;floating_harbor,ACCEPTABLE_ABSTRACTION,field_engineering_pontoon_trains;floating_harbor,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
nco_training,military,era_11,wargaming,GOOD,wargaming,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
stormtroopers,military,era_11,nco_training;trench_works,GOOD,nco_training;trench_works,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
submarine,military,era_11,self_propelled_torpedoes,GOOD,self_propelled_torpedoes,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
battlefleet_tactics,military,era_12,destroyer;dreadnought_tech;sea_lane_strategies,GOOD,destroyer;dreadnought_tech;sea_lane_strategies,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
battleship_tech,military,era_12,concrete_dockyards;dreadnought_tech,GOOD,concrete_dockyards;dreadnought_tech,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
carrier_tech,military,era_12,dreadnought_tech;military_aviation,GOOD,dreadnought_tech;military_aviation,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
chemical_warfare,military,era_12,trench_works,GOOD,trench_works,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
flamethrowers,military,era_12,trench_works,GOOD,trench_works,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mobile_armor,military,era_12,military_aviation;stormtroopers,GOOD,military_aviation;stormtroopers,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
coke_smelting,production,era_1,organized_workshops;shaft_mining,GOOD,organized_workshops;shaft_mining,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
distillation,production,era_1,traditional_food_processing,GOOD,traditional_food_processing,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
improved_husbandry,production,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
organized_textile_production,production,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
organized_workshops,production,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
shaft_mining,production,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
traditional_food_processing,production,era_1,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
traditional_papermaking,production,era_1,,ACCEPTABLE_ABSTRACTION,,KEEP_ROOT,Independent specialized root retained: forcing a parent would create broader collateral dependencies.
atmospheric_engine,production,era_2,shaft_mining,GOOD,shaft_mining,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
improved_agricultural_implements,production,era_2,improved_husbandry,GOOD,improved_husbandry,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
industrial_acids,production,era_2,,ACCEPTABLE_ABSTRACTION,,KEEP_ROOT,Independent specialized root retained: forcing a parent would create broader collateral dependencies.
organized_forestry,production,era_2,improved_husbandry,GOOD,improved_husbandry,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
sugar_refining,production,era_2,traditional_food_processing,GOOD,traditional_food_processing,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
traditional_glassmaking,production,era_2,,ACCEPTABLE_ABSTRACTION,,KEEP_ROOT,Independent specialized root retained: forcing a parent would create broader collateral dependencies.
turnpike_road_networks,production,era_2,,GOOD,,KEEP_ROOT,Foundational root retained as the entry point of its gameplay corridor.
advanced_crop_rotations,production,era_3,improved_husbandry,GOOD,improved_husbandry,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
applied_mineralogy,production,era_3,,ACCEPTABLE_ABSTRACTION,,KEEP_ROOT,Independent specialized root retained: forcing a parent would create broader collateral dependencies.
industrial_canals,production,era_3,turnpike_road_networks,GOOD,turnpike_road_networks,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
industrial_ceramics,production,era_3,traditional_glassmaking,GOOD,traditional_glassmaking,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanized_spinning,production,era_3,organized_textile_production,GOOD,organized_textile_production,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanized_weaving,production,era_3,mechanized_spinning,GOOD,mechanized_spinning,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
selective_breeding,production,era_3,improved_husbandry,GOOD,improved_husbandry,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
advanced_spinning,production,era_4,mechanized_spinning,GOOD,mechanized_spinning,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
automated_flour_milling,production,era_4,improved_agricultural_implements;traditional_food_processing,GOOD,improved_agricultural_implements;traditional_food_processing,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
chemical_bleaching,production,era_4,industrial_acids;industrial_ceramics,BAD_CAUSALITY,industrial_alkalis;industrial_ceramics,REPLACE_PARENT,Replaced a remote general chemistry gate with the nearer cumulative stage identified by the architecture audit.
condensing_steam_engines,production,era_4,atmospheric_engine;precision_boring,GOOD,atmospheric_engine;precision_boring,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
cotton_gin,production,era_4,mechanized_spinning,GOOD,mechanized_spinning,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
crystal_glass,production,era_4,industrial_ceramics;traditional_glassmaking,GOOD,industrial_ceramics;traditional_glassmaking,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
deep_mine_engineering,production,era_4,applied_mineralogy;atmospheric_engine;shaft_mining,GOOD,applied_mineralogy;atmospheric_engine;shaft_mining,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
precision_boring,production,era_4,atmospheric_engine;coke_smelting;organized_workshops,GOOD,atmospheric_engine;coke_smelting;organized_workshops,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
puddling_and_rolling,production,era_4,coke_smelting,GOOD,coke_smelting,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
threshing_machine,production,era_4,improved_agricultural_implements,GOOD,improved_agricultural_implements,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
canneries,production,era_5,automated_flour_milling,GOOD,automated_flour_milling,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
coal_gasification,production,era_5,coke_smelting;industrial_acids,ACCEPTABLE_ABSTRACTION,coke_smelting;industrial_acids,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
continuous_papermaking,production,era_5,precision_boring;traditional_papermaking,ACCEPTABLE_ABSTRACTION,precision_boring;traditional_papermaking,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
high_pressure_steam,production,era_5,atmospheric_engine;mechanical_tools;rotative_steam_power,GOOD,atmospheric_engine;mechanical_tools;rotative_steam_power,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
improved_road_engineering,production,era_5,turnpike_road_networks,GOOD,turnpike_road_networks,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
industrial_alkalis,production,era_5,industrial_acids,GOOD,industrial_acids,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mechanical_tools,production,era_5,precision_boring;puddling_and_rolling,GOOD,precision_boring;puddling_and_rolling,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
mine_safety_engineering,production,era_5,deep_mine_engineering,GOOD,deep_mine_engineering,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
professional_civil_engineering,production,era_5,improved_road_engineering;industrial_canals,GOOD,improved_road_engineering;industrial_canals,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
rotative_steam_power,production,era_5,condensing_steam_engines,GOOD,condensing_steam_engines,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
systematic_field_drainage,production,era_5,advanced_crop_rotations;improved_road_engineering,GOOD,advanced_crop_rotations;improved_road_engineering,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
fractional_distillation,production,era_6,distillation;industrial_acids;mechanical_tools,ACCEPTABLE_ABSTRACTION,distillation;industrial_acids;mechanical_tools,KEEP,Long foundational dependency reviewed and retained as a gameplay-capacity abstraction.
geological_surveying,production,era_6,applied_mineralogy;professional_civil_engineering,GOOD,applied_mineralogy;professional_civil_engineering,KEEP,Parent set is chronological and appropriately structures the technology's gameplay role.
