index,object_type,object_id,file,current_gate,gate_category,object_context,causal_status,runtime_status,disposition,notes
1,BUILDING,building_logging_camp,common/buildings/09_misc_resource.txt,organized_forestry,Production,forestry base building,PASS,RUNTIME_SCREENSHOT_PASS,KEEP,Localized tech and building unlock confirmed in-game before checkpoint.
2,BUILDING,building_paper_mill,common/buildings/01_industry.txt,traditional_papermaking,Production,paper base building,PASS,RUNTIME_SCREENSHOT_PASS,KEEP,Localized tech and Paper Mill unlock confirmed in-game.
3,BUILDING,building_glassworks,common/buildings/01_industry.txt,traditional_glassmaking,Production,glass/ceramics base building,PASS,RUNTIME_SCREENSHOT_PASS,KEEP,Localized tech and causal branch reviewed before checkpoint.
4,BUILDING,building_tooling_workshop,common/buildings/01_industry.txt,coke_smelting,Production,tools base building,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
5,BUILDING,building_motor_industry,common/buildings/01_industry.txt,rotative_steam_power,Production,motor industry,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
6,BUILDING,building_shipyard,common/buildings/01_industry.txt,scientific_naval_architecture,Military/Naval,ship construction,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
7,BUILDING,building_barrack,common/buildings/05_military.txt,scientific_fortification_siegecraft,Military,army recruitment,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
8,BUILDING,building_naval_fortification,common/buildings/05_military.txt,scientific_fortification_siegecraft,Military,naval fortification,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
9,PM,pm_pig_iron,common/production_methods/01_industry.txt,precision_boring,Production,tooling workshop PM progression,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
10,PM,pm_steel,common/production_methods/01_industry.txt,mechanical_tools,Production,tooling workshop PM progression,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
11,PM,pm_saw_mills,common/production_methods/09_misc_resource.txt,mechanical_tools,Production,logging PM progression,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
12,PM,pm_ceramics,common/production_methods/01_industry.txt,industrial_ceramics,Production,glassworks luxury PM,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
13,PM,pm_leaded_glass,common/production_methods/01_industry.txt,industrial_ceramics,Production,glassworks base PM,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
14,PM,pm_crystal_glass,common/production_methods/01_industry.txt,crystal_glass,Production,glassworks base PM,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
15,PM,pm_bone_china,common/production_methods/01_industry.txt,chemical_bleaching,Production,glassworks luxury PM,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
16,SHIP_MOD,ship_mod_frigate_propulsion_medium,common/ship_modifications/00_ship_modifications.txt,high_pressure_steam,Production,frigate propulsion,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
17,SHIP_MOD,ship_mod_ship_of_the_line_propulsion_medium,common/ship_modifications/00_ship_modifications.txt,high_pressure_steam,Production,ship-of-the-line propulsion,PASS,NOT_RETESTED_IN_THIS_CHECKPOINT,KEEP,
18,PM,pm_sulfite_pulping,common/production_methods/01_industry.txt,mechanical_tools,Production,paper PM progression,PASS,RUNTIME_SCREENSHOT_PASS,REVIEW_NEXT,Current gate is Era V.
19,PM,pm_bleached_paper,common/production_methods/01_industry.txt,chemical_bleaching,Production,paper PM progression,GRAPH_PROGRESSION_RISK,RUNTIME_SCREENSHOT_PASS,REVIEW_NEXT,Chemical Bleaching is Era IV and is not downstream of Mechanical Tools; later PM can be researched before Sulfite Pulping.
