requirement_id,category,original_requirement,current_object_id,current_file,current_gate,current_era,current_behavior,problem,why_human_review_required,option_a,option_b,option_c,rejected_options,recommended_option,recommended_target,target_exists,new_object_required,historical_rationale,gameplay_rationale,topology_rationale,balance_risk,dependencies,future_files,future_objects,confidence,user_decision_required,notes,post_tech6b3d_authoritative_update
P01,PRODUCTION,Place the first +10 economy-of-scale cap on a researchable technology,building_economy_of_scale_level_cap_add,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,mechanized_workshops; can_research=no,era_7,The only +10 is owned by a hidden compatibility alias; shift_work later grants +20 in era_8,The first scale increase is unreachable and invisible,TECH6B3A did not select a visible owner,Move +10 to interchangeable_manufacture,Move +10 to mechanical_tools,Leave it hidden,Hidden owner fails the requirement; shift_work already owns the later +20,Move the +10 modifier from mechanized_workshops to interchangeable_manufacture,interchangeable_manufacture,YES,NO,Interchangeable manufacture represents standardized large-scale production in the early nineteenth century,Creates an accessible era_6 step before the era_8 +20 and avoids an overly early era_5 bonus,mechanical_tools -> interchangeable_manufacture -> shift_work gives readable spacing,LOW,none,common/technology/technologies/90_tech3a_vanilla_post1836_compatibility.txt,mechanized_workshops;interchangeable_manufacture,HIGH,NO,Remove only the modifier from the hidden alias; do not make the alias researchable,
P06,PRODUCTION,Create a late Electric Sewing technology from industrial_spinning and electrical_capacitors,NEW_TECH_REQUIRED concept,none,none,none,pm_electric_sewing_machines is already gated by electrical_capacitors in era_9,A dedicated technology would duplicate an existing accurate late gate; industrial_spinning is not an existing ID,"Name, era and necessity were unresolved; TECH6B3A also used a display-name-derived non-ID",Keep electrical_capacitors as owner,Create NEW_TECH_REQUIRED with parents advanced_spinning and electrical_capacitors,Move the PM to electrical_generation,industrial_spinning is not an ID; electrical_generation is broader and earlier; a new node adds needless granularity,Do not create a new technology; retain electrical_capacitors,electrical_capacitors,YES,NO,"Electrified sewing depends on mature electrical equipment and industrial textiles, already represented by the era_9 gate",Preserves a late unlock without adding a one-PM technology,electrical_capacitors already depends on electrical_generation and mechanized_weaving; advanced_spinning is the exact ID behind the Industrial Spinning label,LOW,P07;P05 reference correction,none,pm_electric_sewing_machines,HIGH,NO,"The exact existing textile technology is advanced_spinning, not industrial_spinning",
P07,PRODUCTION,Retarget pm_electric_sewing_machines to the future late technology,pm_electric_sewing_machines,common/production_methods/01_industry.txt,electrical_capacitors,era_9 owner,The PM is already available only with electrical_capacitors,Its target depended on the unresolved P06 object,P06 had no authorized target ID,Keep electrical_capacitors,Create the P06 technology then retarget,Use electrical_generation,The new node is redundant; electrical_generation is too broad,Keep the current gate; no implementation action,electrical_capacitors,YES,NO,The current gate already represents late electrical adoption,Avoids a useless technology and preserves current balance timing,Resolved directly by P06,LOW,P06,none,pm_electric_sewing_machines,HIGH,NO,P07 becomes NO_ACTION,
P28,PRODUCTION,Review cotton_gin era and prerequisite if company/building retargeting warrants it,cotton_gin,common/technology/technologies/10_tech3a_production.txt,mechanized_spinning,era_4,Cotton Gin is a 1793-era node after era_3 mechanized spinning,No target era or parent was specified,The company retargeting and historical date had to be reconciled,Keep era_4 and mechanized_spinning,Move to era_3,Use advanced_spinning as parent,Era_3 is too early for the 1793 invention; advanced_spinning would delay a primary-processing machine unnecessarily,Keep current era and parent,cotton_gin,YES,NO,The integrated design explicitly dates the cotton gin to 1793-1794,Retargeted cotton companies can rely on the technology without changing the core research tempo,The current edge is consistent with the frozen pre-1836 graph,LOW,P14-P27 remain unchanged,none,cotton_gin,HIGH,NO,No tree edit required,
P33,PRODUCTION,Rename steel_frame_buildings display to Concrete and Steel Buildings,steel_frame_buildings,localization inherited from vanilla; future override in localization/english/tech3a_technology_l_english.yml and localization/french/tech3a_technology_l_french.yml,steel_frame_buildings,era_9,The current display says Steel-Frame Buildings and the concrete good does not yet exist,Renaming before the concrete chain exists would misdescribe gameplay,The future concrete implementation and wording needed confirmation,Rename with the concrete release,Rename immediately,Keep the vanilla label permanently,Immediate rename creates a false unlock description; permanent vanilla label ignores the approved concrete plan,Rename to Concrete and Steel Buildings only in the coordinated concrete implementation,steel_frame_buildings,YES,YES,Reinforced concrete and structural steel jointly define late nineteenth-century construction,The label should advertise actual inputs only once those inputs exist,steel_frame_buildings remains in Society with only Society prerequisites; future concrete linkage is expressed by PM inputs and never by a cross-category technology edge,MEDIUM,P34;P35;future concrete system,localization/english/tech3a_technology_l_english.yml;localization/french/tech3a_technology_l_french.yml,steel_frame_buildings;NEW_GOOD_REQUIRED,HIGH,NO,User confirmed concrete will be implemented later; engine category constraint forbids Production parents,
P34,PRODUCTION,Add later concrete consumption to pm_steel_frame_buildings,pm_steel_frame_buildings,common/production_methods/13_construction.txt,steel_frame_buildings,era_9 owner,"Current inputs are steel 50, glass 40, explosives 10 and tools 20; no concrete good exists",The new input amount and its supply chain were undefined,Balance depends on the future good base price and production capacity,Add provisional concrete 30 and reduce glass 40 to 20,Add concrete without offsetting another input,Defer all numerical design,Pure additive cost risks collapsing construction; complete deferral would not prepare implementation,"Freeze a provisional 30 concrete input with glass reduced to 20, subject to economy simulation",steel_frame_buildings,YES,YES,Concrete complements rather than replaces the steel skeleton and reduces reliance on glass as the abstract mineral input,The substitution limits cost inflation while making the new good economically relevant,The PM changes only after NEW_GOOD_REQUIRED and its production chain are active,HIGH,P33;P35;future concrete supply,common/production_methods/13_construction.txt;future concrete object paths deliberately unresolved,pm_steel_frame_buildings;NEW_GOOD_REQUIRED,MEDIUM,YES,"30 concrete and glass 20 are freeze candidates, not implemented values",
P35,PRODUCTION,Associate concrete consumption with arc_welding,pm_arc_welded_buildings,common/production_methods/13_construction.txt,arc_welding,era_12 owner,Technology objects cannot consume goods; the existing PM is the valid consumer,TECH6B3A named the technology rather than a consuming gameplay object,The consuming object and amount were unresolved; technology edges must also respect tree categories,Make pm_arc_welded_buildings consume provisional concrete 40 and reduce glass 40 to 20,Put an impossible goods input on arc_welding,Create another construction PM,Technology input syntax is invalid; another PM is redundant,Use pm_arc_welded_buildings as the consumer; never use Society-category steel_frame_buildings as a parent or child of a Production technology,arc_welding,YES,YES,Arc-welded high-rise construction can consume concrete without making the Society technology a Production prerequisite,Creates a late 40-concrete sink without inventing a technology-only economy effect,Keep steel_frame_buildings in its independent Society chain; any future reinforced_concrete -> arc_welding edge stays within Production and is deferred to the concrete phase,HIGH,P31;P32 superseded by category constraint;P33;P34;future concrete supply,common/production_methods/13_construction.txt;future concrete object paths deliberately unresolved,pm_arc_welded_buildings;arc_welding;NEW_GOOD_REQUIRED,MEDIUM,YES,Concrete 40 and glass 20 require later economic simulation; no cross-category technology edge,
M06,MILITARY,Give pm_percussion_caps an explicit technology gate,pm_percussion_caps,common/production_methods/01_industry.txt,none,percussion_cap is era_6,The first ammunition PM is available from 1776 despite using explosives and lead,The exact candidate was not selected between percussion_cap and a later ammunition technology,The choice between the named technology and the successor dynamite gate required semantic review,Gate at percussion_cap,Gate at dynamite,Leave ungated,Dynamite is the gate for the successor explosive-shell PM; ungated breaks chronology,Gate pm_percussion_caps at percussion_cap,percussion_cap,YES,NO,Percussion-cap ammunition belongs directly to the named era_6 military technology,Restores a clear two-step ammunition chain before pm_explosive_shells at dynamite,The PM and technology have a one-to-one semantic match,LOW,none,common/production_methods/01_industry.txt,pm_percussion_caps,HIGH,NO,No new military ID required,
S01,SOCIETY,Redesign Human Rights and Abolition law progression,law_slavery_banned,C:/Games/Victoria 3/game/common/laws/02_slavery.txt;common/technology/technologies/30_tech3a_society.txt,no enactment gate; human_rights only affects AI weighting,era_4 concepts,"Human Rights, Organized Reform Movements and Abolitionist Mobilization overlap; Slavery Banned has no technology unlock",Law staging and conceptual ownership were unresolved,"The review had to separate intellectual history, organized activism and the legal enactment gate",Gate Slavery Banned at abolitionist_mobilization and keep human_rights as rights discourse,Gate directly at human_rights,Leave the law ungated and use movement pressure only,Direct Human Rights collapses invention into adoption; ungated loses the intended progression,Use constitutional_government -> human_rights -> organized_reform_movements -> abolitionist_mobilization and gate law_slavery_banned at the endpoint,abolitionist_mobilization,YES,NO,Universal-rights discourse predates durable abolitionist organization and statutory abolition,Technology permits the reform but does not enact it; regressive slavery laws remain ungated,Remove the redundant direct human_rights parent from abolitionist_mobilization because it is inherited through organized_reform_movements,MEDIUM,existing anti-slavery movement hook; future law shadow,common/technology/technologies/30_tech3a_society.txt;common/laws/02_slavery.txt,human_rights;organized_reform_movements;abolitionist_mobilization;law_slavery_banned,HIGH,NO,Use the vanilla 1.13.11 slavery file as the future shadow base,Frozen five-law progression from slave trade through slavery banned.
S03,SOCIETY,Move selected early responsibilities below commercial_insurance_markets,multiple unlocks,common/technology/technologies/30_tech3a_society.txt;common/laws/01_trade_policy.txt;common/laws/01_economic_system.txt;common/laws/00_inject_laws.txt;common/diplomatic_actions/13_embargo.txt;common/treaty_articles/13_goods_transfer.txt;common/treaty_articles/17_prohibit_trade_with_global_market.txt;common/treaty_articles/21_no_tariffs.txt;common/treaty_articles/26_no_subventions.txt;common/journal_entries/00_liberalism.txt,commercial_insurance_markets,era_1,"Mercantilism, Free Trade, Laissez-Faire, embargo and four treaty articles share one early owner",The original note did not enumerate which responsibilities should move,Each unlock has a different institutional meaning,Split mature liberal-market unlocks downstream,Move every unlock to political_economy,Keep all current assignments,Bulk movement would make the era_1 technology useless or misplace early commercial tools,"Keep mercantilism, navigation acts, embargo, goods transfer, market prohibition and je_liberalism; move Free Trade, no tariffs and no subventions to classical_political_economy; handle Laissez-Faire under S04",classical_political_economy,YES,NO,Commercial insurance supports early trade administration; doctrinal free trade belongs to classical political economy,Preserves useful era_1 responsibilities while delaying powerful liberal-market options,"S02 makes commercial_insurance_markets an ancestor of political_economy, so downstream ownership remains causally connected",MEDIUM,S02;S04,listed existing files only,law_free_trade;no_tariffs;no_subventions;law_laissez_faire,MEDIUM,YES,No bulk reassignment,Protectionism moved from stock_exchange to political_economy.
