STATE_REGION,BUILDING_TYPE,TOTAL_POTENTIAL,VISIBLE_POTENTIAL,UNDISCOVERED_AMOUNT,STARTING_LEVELS,SOURCE_FILE,NOTES
"STATE_CALIFORNIA","building_salt_pan",60,60,0,"0","common/history/states/lagab_states.txt","state_name=California; source_object=change_resource_potential; source_line=3; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_BAJA_CALIFORNIA","building_salt_pan",55,55,0,"0","common/history/states/lagab_states.txt","state_name=Baja California; source_object=change_resource_potential; source_line=9; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SONORA","building_salt_pan",45,45,0,"0","common/history/states/lagab_states.txt","state_name=Sonora; source_object=change_resource_potential; source_line=15; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SINALOA","building_salt_pan",40,40,0,"0","common/history/states/lagab_states.txt","state_name=Sinaloa; source_object=change_resource_potential; source_line=21; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_JALISCO","building_salt_pan",30,30,0,"2","common/history/states/lagab_states.txt","state_name=Jalisco; source_object=change_resource_potential; source_line=27; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:64; starting_owner=MEX"
"STATE_GUERRERO","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Guerrero; source_object=change_resource_potential; source_line=33; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_GUATEMALA","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Guatemala; source_object=change_resource_potential; source_line=39; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_SAN_SALVADOR","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=San Salvador; source_object=change_resource_potential; source_line=45; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_CHIAPAS","building_salt_pan",20,20,0,"0","common/history/states/lagab_states.txt","state_name=Chiapas; source_object=change_resource_potential; source_line=51; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_NICARAGUA","building_salt_pan",25,25,0,"0","common/history/states/lagab_states.txt","state_name=Nicaragua; source_object=change_resource_potential; source_line=57; hidden_split_not_defined_by_la_gabelle; starting_source=none"
"STATE_PANAMA","building_salt_pan",20,20,0,"1","common/history/states/lagab_states.txt","state_name=Panama; source_object=change_resource_potential; source_line=63; hidden_split_not_defined_by_la_gabelle; starting_source=common/history/buildings/lagab_americas.txt:81; starting_owner=CLM"
