production_method_group,building_ids,previous_pm,previous_pm_technology,next_pm,next_pm_technology,technology_dependency_exists,same_category,era_order_valid,progression_class,skip_risk,recommended_review,pre_transfer_recommended_review,post_transfer_status,notes
pmg_amenities,building_urban_center,pm_market_stalls,NONE,pm_market_squares,urban_planning,YES,NOT_APPLICABLE,NOT_APPLICABLE,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_amenities,building_urban_center,pm_market_squares,urban_planning,pm_covered_markets,steel_frame_buildings,NO,YES,YES,LINEAR_SUCCESSION,POSSIBLE,DESIGN_REVIEW_REQUIRED,DESIGN_REVIEW_REQUIRED,UNCHANGED_DESIGN_REVIEW,Missing dependency with a preserved hidden alias; design review remains required.
pmg_amenities,building_urban_center,pm_covered_markets,steel_frame_buildings,pm_arcades,elevator,YES,YES,YES,LINEAR_SUCCESSION,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_arms_industry,building_arms_industry;building_artillery_foundry,pm_automation_disabled,NONE,pm_rotary_valve_engine_building_arms_industry,rotary_valve_engine,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_arms_industry,building_arms_industry;building_artillery_foundry,pm_rotary_valve_engine_building_arms_industry,rotary_valve_engine,pm_assembly_lines_building_arms_industry,conveyors,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_furniture_manufactory,building_furniture_manufactory,pm_automation_disabled,NONE,pm_watertube_boiler_building_furniture_manufactory,watertube_boiler,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_furniture_manufactory,building_furniture_manufactory,pm_watertube_boiler_building_furniture_manufactory,watertube_boiler,pm_rotary_valve_engine_building_furniture_manufactory,rotary_valve_engine,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_furniture_manufactory,building_furniture_manufactory,pm_rotary_valve_engine_building_furniture_manufactory,rotary_valve_engine,pm_assembly_lines_building_furniture_manufactory,conveyors,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_motor_industry,building_motor_industry,pm_automation_disabled,NONE,pm_watertube_boiler_building_motor_industry,watertube_boiler,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_motor_industry,building_motor_industry,pm_watertube_boiler_building_motor_industry,watertube_boiler,pm_rotary_valve_engine_building_motor_industry,rotary_valve_engine,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_motor_industry,building_motor_industry,pm_rotary_valve_engine_building_motor_industry,rotary_valve_engine,pm_assembly_lines_building_motor_industry,conveyors,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_munition_plant,building_munition_plant,pm_automation_disabled,NONE,pm_rotary_valve_engine_building_munition_plant,rotary_valve_engine,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_munition_plant,building_munition_plant,pm_rotary_valve_engine_building_munition_plant,rotary_valve_engine,pm_assembly_lines_building_munition_plant,conveyors,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_paper_mill,building_paper_mill,pm_automation_disabled,NONE,pm_watertube_boiler_building_paper_mill,watertube_boiler,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_paper_mill,building_paper_mill,pm_watertube_boiler_building_paper_mill,watertube_boiler,pm_rotary_valve_engine_building_paper_mill,rotary_valve_engine,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_steel_mill,building_steel_mill,pm_automation_disabled,NONE,pm_watertube_boiler_building_steel_mill,watertube_boiler,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_steel_mill,building_steel_mill,pm_watertube_boiler_building_steel_mill,watertube_boiler,pm_rotary_valve_engine_building_steel_mill,rotary_valve_engine,YES,YES,YES,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous gate is identical to or ancestor of a next gate.
pmg_automation_building_textile_mill,building_textile_mill,pm_traditional_looms,NONE,pm_mechanized_looms,mechanized_weaving,YES,NOT_APPLICABLE,NOT_APPLICABLE,AUTOMATION_BRANCH,NO,PM_PROGRESSION_OK,PM_PROGRESSION_OK,NOT_APPLICABLE,Previous PM has no technology gate.
pmg_automation_building_textile_mill,building_textile_mill,pm_mechanized_looms,mechanized_weaving,pm_automatic_power_looms,electrical_capacitors,NO,YES,YES,AUTOMATION_BRANCH,YES,PM_PROGRESSION_SKIP_RISK,DESIGN_REVIEW_REQUIRED,CLASSIFICATION_CHANGED_OTHER,Graph does not require preceding gate before next gate.
