"SOURCE_FILE","LINE","OWNER_ID","MODIFIER","VALUE"
"common/amendments/00_amendments_enactment_04.txt","1680","amendment_church_organised_schools","country_education_fervor_add","-5"
"common/company_types/00_companies_europe.txt","607","company_ericsson","state_education_access_wealth_add","0.005"
"common/decrees/00_decree.txt","223","decree_promote_social_mobility","state_education_access_add","0.25"
"common/decrees/00_decree.txt","1045","decree_establish_missions","state_education_access_add","0.1"
"common/interest_group_traits/00_devout_traits.txt","24","ig_trait_pious_fiction","state_education_access_add","-0.1"
"common/interest_group_traits/00_devout_traits.txt","87","ig_trait_yeshivot","state_education_access_add","0.1"
"common/laws/00_economic_system.txt","325","law_industry_banned","state_peasants_education_access_add","-0.10"
"common/laws/00_education_system.txt","60","law_religious_schools","state_education_access_add","0.1"
"common/laws/00_education_system.txt","184","law_private_schools","state_education_access_wealth_add","0.005"
"common/laws/00_education_system.txt","286","law_terakoya","state_education_access_add","0.25"
"common/laws/00_education_system.txt","287","law_terakoya","state_peasants_education_access_add","0.20"
"common/laws/00_education_system.txt","318","law_public_schools","state_education_access_add","0.125"
"common/laws/00_education_system.txt","319","law_public_schools","country_education_fervor_add","5"
"common/laws/00_education_system.txt","320","law_public_schools","state_literacy_growth_add","0.0001"
"common/production_methods/08_monuments.txt","155","pm_default_building_mosque_of_djenne","state_education_access_add","0.2"
"common/static_modifiers/00_code_static_modifiers.txt","45","base_values","state_literacy_growth_add","0.0005"
"common/static_modifiers/00_ip2_03_modifiers.txt","4","utilitarian_bonus","state_education_access_add","0.10"
"common/static_modifiers/00_ip3_02_modifiers.txt","382","modifier_bureaucratisation_of_nobles","state_education_access_add","0.05"
"common/static_modifiers/00_ip3_04_modifiers.txt","181","modifier_national_awakening_village_schooling","country_education_fervor_add","5"
"common/static_modifiers/00_ip4_03_modifiers.txt","20","ilustrados_education_fervor_add","country_education_fervor_add","5"
"common/static_modifiers/00_ip4_04_modifiers.txt","304","modifier_portugal_education_reforms","state_education_access_add","0.05"
"common/static_modifiers/02_event_modifiers.txt","817","missionary_schools_hospitals","state_education_access_add","0.05"
"common/static_modifiers/agitators_5_modifiers.txt","748","modifier_dickensian_reading_campaign","state_education_access_add","0.05"
"common/static_modifiers/brazil_2_modifiers.txt","226","indians_assimilation_modifier","state_education_access_add","0.05"
"common/static_modifiers/content_1_modifiers.txt","1396","religious_education_modifier","state_education_access_add","0.25"
"common/static_modifiers/content_204_modifiers.txt","174","modifier_positivist_church","state_education_access_add","0.10"
"common/static_modifiers/content_204_modifiers.txt","181","modifier_positivist_society_reward","state_education_access_add","0.10"
"common/static_modifiers/content_3_modifiers.txt","646","fsa_reparation_reward","state_education_access_add","0.33"
"common/static_modifiers/content_304_modifiers.txt","105","modifier_chi_missionary_schools","state_education_access_add","0.10"
"common/static_modifiers/content_304_modifiers.txt","539","modifier_bic_missionary_works","state_education_access_add","0.05"
"common/static_modifiers/content_4_modifiers.txt","605","serbia_auth_fund_campaigned_state_c_mod","state_education_access_add","0.15"
"common/static_modifiers/content_4_modifiers.txt","628","serbia_med_fund_campaigned_state_c_mod","state_education_access_add","0.25"
"common/static_modifiers/content_4_modifiers.txt","651","serbia_high_fund_campaigned_state_c_mod","state_education_access_add","0.40"
"common/static_modifiers/japan_single_fire_events_modifiers.txt","6","japan_single_fire_events_meji_postal_system_mod","state_education_access_add","0.1"
"common/static_modifiers/japan_single_fire_events_modifiers.txt","14","japan_single_fire_events_meji_stamping_out_chaos_mod","state_education_access_add","0.1"
"common/static_modifiers/montenegrin_modifiers.txt","15","modifier_lonely_mountain","state_education_access_wealth_add","-0.015"
"common/static_modifiers/montenegrin_modifiers.txt","300","mon_trained_teachers","state_education_access_wealth_add","0.015"
"common/static_modifiers/morocco_modifiers.txt","7","state_of_anarchy_scaled_mod","state_education_access_add","-0.1"
"common/static_modifiers/morocco_modifiers.txt","19","state_of_destitution_mod","state_education_access_add","-0.20"
"common/static_modifiers/morocco_modifiers.txt","25","state_of_neglect_mod","state_education_access_add","-0.20"
"common/static_modifiers/morocco_modifiers.txt","45","state_of_harmony_education_focus_mod","state_education_access_add","0.20"
"common/static_modifiers/portugal_single_fire_events_1_modifiers.txt","16","portugal_single_fire_events_gremio_state_mod","state_education_access_add","0.15"
"common/static_modifiers/portuguese_colonialism_modifiers.txt","119","portuguese_embraced_sol_mod","state_education_access_add","0.25"
"common/technology/technologies/30_society.txt","50","rationalism","state_education_access_wealth_add","0.01"
"common/technology/technologies/30_society.txt","229","academia","state_education_access_wealth_add","0.005"
"common/technology/technologies/30_society.txt","363","empiricism","state_education_access_wealth_add","0.005"
"common/technology/technologies/30_society.txt","1289","philosophical_pragmatism","state_literacy_growth_add","0.0001"
"common/technology/technologies/30_society.txt","1411","central_planning","state_literacy_growth_add","0.0002"
"common/technology/technologies/30_society.txt","1703","analytical_philosophy","state_literacy_growth_add","0.0002"
