index,pmg,building,previous_pm,previous_gate,next_pm,next_gate,dependency_exists,era_order_valid,classification,disposition,notes
1,pmg_base_building_tooling_workshop,building_tooling_workshop,pm_crude_tools,NONE,pm_pig_iron,precision_boring,YES,N/A,PM_PROGRESSION_OK,KEEP,Previous PM has no technology gate.
2,pmg_base_building_tooling_workshop,building_tooling_workshop,pm_pig_iron,precision_boring,pm_steel,mechanical_tools,YES,YES,PM_PROGRESSION_OK,KEEP,Mechanical Tools requires Precision Boring.
3,pmg_base_building_logging_camp,building_logging_camp,pm_simple_forestry,NONE,pm_saw_mills,mechanical_tools,YES,N/A,PM_PROGRESSION_OK,KEEP,Building itself is gated by Organized Forestry; Mechanical Tools currently also requires Organized Forestry.
4,pmg_base_building_glassworks,building_glassworks,pm_forest_glass,NONE,pm_leaded_glass,industrial_ceramics,YES,N/A,PM_PROGRESSION_OK,KEEP,Building requires Traditional Glassmaking; Industrial Ceramics is downstream of it.
5,pmg_base_building_glassworks,building_glassworks,pm_leaded_glass,industrial_ceramics,pm_crystal_glass,crystal_glass,YES,YES,PM_PROGRESSION_OK,KEEP,Crystal Glass requires Industrial Ceramics.
6,pmg_base_building_glassworks,building_glassworks,pm_crystal_glass,crystal_glass,pm_houseware_plastics,plastics,NO,YES,INTENTIONAL_MATERIAL_REPLACEMENT,KEEP,"User intentionally removed Crystal Glass as a prerequisite of Plastics; plastic housewares are a later material substitution, not a scientific derivative of crystal glass."
7,pmg_luxury_building_glassworks,building_glassworks,pm_disabled_ceramics,NONE,pm_ceramics,industrial_ceramics,YES,N/A,PM_PROGRESSION_OK,KEEP,First ceramics luxury-output method gated by Industrial Ceramics.
8,pmg_luxury_building_glassworks,building_glassworks,pm_ceramics,industrial_ceramics,pm_bone_china,chemical_bleaching,YES,YES,PM_PROGRESSION_OK,KEEP,"Chemical Bleaching currently requires Industrial Ceramics, so Bone China remains downstream in graph terms."
9,pmg_base_building_paper_mill,building_paper_mill,pm_pulp_pressing,NONE,pm_sulfite_pulping,mechanical_tools,YES,N/A,PM_PROGRESSION_OK,KEEP_FOR_NOW,Previous PM has no technology gate.
10,pmg_base_building_paper_mill,building_paper_mill,pm_sulfite_pulping,mechanical_tools,pm_bleached_paper,chemical_bleaching,NO,NO,PM_PROGRESSION_SKIP_AND_ERA_RISK,REVIEW_NEXT,"Known next cleanup target: Chemical Bleaching is Era IV while Mechanical Tools is Era V, and neither is ancestor of the other."
