tech_id,display_name,branch,era,historical_window,historical_anchor,source_tree,vanilla_equivalent,vanilla_action,vanilla_name_preserved,vanilla_id_preserved,prerequisites,cross_branch_prerequisites,successors,post_1836_bridge,technology_scope,1776_adoption_class,regionalization_status,main_unlocks,goods_involved,buildings_involved,pm_pmg_involved,ship_designer_effect,resource_discovery_effect,ai_base_weight_class,ai_context_tags,economic_chain_id,relative_cost_class,proposed_cost_band,placeholder_icon,final_icon_status,description_concept,implementation_complexity,technical_risk,historical_risk,notes
shaft_mining,Shaft Mining,Production,I,fin XVIIe–début XVIIIe,Consolidation de puits plus profonds; soutènement; soughs/drainage; ventilation rudimentaire et abattage à la poudre.,PRODUCTION_V1_1,shaft_mining,KEEP,YES,YES,,,applied_mineralogy;deep_mine_engineering,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,widely established before 1776,UNIVERSAL,PM mines souterraines: Shaft Workings; Horse-Gin Winding; Black-Powder Blasting (selon ressource/pays).,tools; salt (REQUIRED rock-salt production),salt mine; vanilla mines,rock-salt extraction PM; Shaft Workings,NONE,known exploitable potential exists at setup; no global reveal,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;GEOGRAPHY:resources;ECONOMY:mining+price+shortage,RESOURCE_DISCOVERY_AND_MINING,FOUNDATIONAL,BAND_A_LOWEST,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Premier palier des mines profondes; différencie un pays minier avancé d'une extraction superficielle.,HIGH,HIGH,HIGH,Ne signifie pas que l'extraction minière est inventée en 1700. Certains pays devront commencer avec cette tech.
coke_smelting,Coke Smelting,Production,I,1709+,Abraham Darby emploie avec succès le coke pour la fonte du fer à Coalbrookdale en 1709.,PRODUCTION_V1_1,steelworking,SPLIT,NO,NO,,,precision_boring;puddling_and_rolling;coal_gasification,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,widely established before 1776,UNIVERSAL,PM sidérurgie: Coke Blast Furnaces; demande de charbon accrue; pression réduite sur le bois/charbon de bois.,coal; iron,ironworks/steel_mill equivalent (audit code ultérieur),Coke Blast Furnaces,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;GEOGRAPHY:resources;ECONOMY:mining+price+shortage,NONE_DIRECT,FOUNDATIONAL,BAND_A_LOWEST,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Premier pivot énergétique de la métallurgie du fer.,MEDIUM,MEDIUM,HIGH,Node procédé; pas simple date d'invention.
atmospheric_engine,Atmospheric Engine,Production,I,1712+,Moteur atmosphérique Newcomen pratique en 1712 pour le drainage minier.,PRODUCTION_V1_1,atmospheric_engine,RETIME,YES,YES,,,condensing_steam_engines;deep_mine_engineering;high_pressure_steam,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,widely established before 1776,UNIVERSAL,PM mines: Atmospheric Steam Pumping; gros gain de drainage avec forte consommation de charbon.,coal; tools,mines; waterworks candidate,Atmospheric Steam Pumping,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches,NONE_DIRECT,FOUNDATIONAL,BAND_A_LOWEST,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Première vapeur utile économiquement; permet l'approfondissement des mines.,MEDIUM,MEDIUM,HIGH,À distinguer explicitement de la vapeur rotative industrielle.
improved_husbandry,Improved Husbandry,Production,I,fin XVIIe–XVIIIe,Diffusion de pratiques plus systématiques de fumure; fourrages; drainage léger et intégration cultures-élevage.,PRODUCTION_V1_1,enclosure,REWIRE,NO,NO,,,improved_agricultural_implements;advanced_crop_rotations;selective_breeding,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,widely established before 1776,UNIVERSAL,PM agricoles de base améliorés; socle pour rotations; élevage sélectif et outils.,livestock outputs; spices (REQUIRED regional starting production),spice plantation (regional setup/eligibility; values deferred),traditional spice cultivation PM,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage,AGRICULTURE_FOOD_SPICES,FOUNDATIONAL,BAND_A_LOWEST,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Socle agricole global non anglocentré.,HIGH,HIGH,MEDIUM_HIGH,Représente un ensemble de pratiques; pas le 'Norfolk system' universalisé.
improved_agricultural_implements,Improved Agricultural Implements,Production,II,1701–milieu XVIIIe; diffusion prolongée,Semoir de Jethro Tull vers 1701; amélioration des charrues et cultures en rangs.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,improved_husbandry,,threshing_machine;automated_flour_milling,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,regionally established before 1776,UNIVERSAL,PM fermes: Seed Drills & Improved Ploughs; Horse-Hoe/Row Cultivation; consommation de tools.,tools; spices (REQUIRED plantation improvement),spice plantation; farms,improved spice cultivation PM,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_B_LOW,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Première mécanisation légère des exploitations agricoles.,HIGH,HIGH,HIGH,Fusionne plusieurs instruments afin d'éviter un node par machine.
turnpike_road_networks,Turnpike Road Networks,Production,II,XVIIIe; forte accélération 1750–1772,Organisation durable du financement et de l'entretien de grands réseaux routiers.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,,,industrial_canals;improved_road_engineering;systematic_cadastral_surveying,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,regionally established before 1776,UNIVERSAL,Capacités routières réservées à la future refonte du transport; pas de simple +infrastructure figé maintenant.,,future road/transport system,DEFERRED_TRANSPORT_REWORK,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;GEOGRAPHY:rivers+infrastructure;ECONOMY:trade_volume,TRANSPORT_CONSTRUCTION,FOUNDATIONAL,BAND_B_LOW,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Préserve un rôle technologique aux routes avant et après le rail.,MEDIUM,MEDIUM,HIGH,Effets numériques à ne pas figer avant la refonte complète des transports.
industrial_acids,Industrial Acids,Production,II,1746–1749+,John Roebuck introduit la chambre de plomb pour l'acide sulfurique en 1746; production à grande échelle à partir de la fin des années 1740.,PRODUCTION_V1_1,improved_fertilizer,KEEP,NO,NO,,,chemical_bleaching;industrial_alkalis;coal_gasification;fractional_distillation;active_principle_pharmacy,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,regionally established before 1776,UNIVERSAL,NEW_BUILDING Chemical Works; NEW_GOOD Industrial Chemicals; PM Lead Chamber Process. Chemical Works devient le bâtiment de base de la chimie lourde.,sulfur; lead; industrial chemicals good DEFERRED,Chemical Works candidate; implementation deferred,acid-process PM candidate,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices,SALT_CHEMISTRY,STANDARD,BAND_B_LOW,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Donne une économie propre à la branche chimique au lieu de simples déblocages annexes.,HIGH,HIGH,HIGH,Industrial Chemicals est un good large; ne pas créer séparément acide sulfurique/chlore/soude sans besoin économique. La Gabelle doit être étudié comme référence comparative pour le sel; sans copier automatiquement ses choix.
advanced_crop_rotations,Advanced Crop Rotations,Production,III,XVIIIe; accélération après 1750,Intégration plus systématique des fourrages; légumineuses et réduction de la jachère.,PRODUCTION_V1_1,intensive_agriculture,SPLIT,NO,NO,improved_husbandry,,systematic_field_drainage,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,PM farms: Advanced Crop Rotation; rendement et usage du sol améliorés; synergie élevage/fumure.,livestock/fertilization synergy,grain_farms; selected arable farms,Advanced Crop Rotation,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Amélioration de rendement sans mécanisation lourde.,MEDIUM,MEDIUM,HIGH,Ne doit pas effacer les différences régionales de cultures.
selective_breeding,Selective Breeding,Production,III,milieu–fin XVIIIe,Sélection systématique de caractères d'élevage; associée notamment à Robert Bakewell.,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,improved_husbandry,,,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,PM livestock ranches: Selective Breeding; viande/laine/fabric selon filière.,meat; fabric/wool abstraction,livestock_ranches,Selective Breeding,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:agriculture+eligible_land+shortage,AGRICULTURE_FOOD_SPICES,STANDARD,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Branche d'élevage distincte des cultures.,MEDIUM,MEDIUM,MEDIUM_HIGH,Nom global; les bonus ne doivent pas dépendre d'une race européenne particulière.
industrial_canals,Industrial Canals,Production,III,1760s–début XIXe,Canaux conçus comme réseaux industriels et commerciaux intégrés; ex. Bridgewater Canal (1761).,PRODUCTION_V1_1,NONE,NEW,N/A,N/A,turnpike_road_networks,,professional_civil_engineering,PRESERVE_POST_1836_VANILLA_SUCCESSORS_PENDING_ERAS_VII_XII,UNIVERSAL,frontier / limited adoption in 1776,UNIVERSAL,Capacités canal/transport à réserver à la refonte; peut ouvrir PM/infrastructure fluviale futurs.,,future canals/transport system,DEFERRED_TRANSPORT_REWORK,NONE,NONE,CONTEXTUAL_STANDARD,TECH_STATE:prerequisites+neighboring_branches;ECONOMY:industry+inputs+prices;GEOGRAPHY:rivers+infrastructure;ECONOMY:trade_volume,TRANSPORT_CONSTRUCTION,CONVERGENCE,BAND_C_LOW_MEDIUM,gfx/error_manul.dds,REQUIRED_NOT_CREATED,Transport lourd pré-ferroviaire et compétence de grands travaux.,HIGH,HIGH,HIGH,Ne pas faire disparaître économiquement les canaux dès l'arrivée du rail.
