Technology_ID,TAG_Count,TAGs
organized_military_establishments,138,ABB;ABU;ACE;ARG;ARM;AUS;AWA;BAV;BCE;BEL;BEO;BHN;BIC;BOL;BRA;BRZ;BUR;CHC;CHI;CHL;CHT;CIR;CLM;CON;CRO;CUB;DAI;DEI;DEN;DENNOR;DUR;ECU;EGY;FIN;FRA;GAL;GBR;GEN;GR4;GR5;GRE;GWA;HAI;HAN;HBC;HDJ;HEK;HER;HES;HUN;HYD;ION;IQU;IR1;IREK;JAB;JAI;JAP;JBB;JOH;KAB;KAF;KAL;KAN;KAT;KBB;KOR;KRA;KUN;LAH;LOU;LUX;MAH;MAI;MAK;MARATH;MAS;MBB;MEW;MEX;MICC;MKT;MLT;MOL;MON;MOR;MUG;MYS;NBB;NEJ;NEP;NET;NOR;NPU;NVS;OMA;ORG;PAN;PCO;PER;PEU;PHI;PLC;PNI;POR;PRA;PRG;PRU;RUS;SAF;SAR;SAX;SC1;SC2;SC3;SC4;SEQ;SER;SIA;SIC;SPA;SPC;SPU;SWE;TEX;TRA;TRI;TRS;TUN;TUR;UBD;URU;USA;VEN;VNZ;WAL;WUR;ZAI
organized_naval_establishments,0,
organized_financial_institutions,34,AUS;AWA;BER;BIC;DEI;DEN;DENNOR;FRA;FRM;GBR;GEN;GR4;HAM;HYD;ION;JAP;KUT;MARATH;MUG;NET;NOR;PAP;PLC;POR;RUS;SAX;SIC;SIN;SPA;SPC;SWE;TUR;USA;VEN
organized_workshops,211,AGC;AIT;AJR;ANH;ARB;ARG;ARM;ARS;ASH;AUL;AUS;AWA;AWS;AYI;BAD;BAV;BCE;BEL;BEN;BEO;BER;BGI;BGM;BIC;BLE;BMM;BND;BOR;BRA;BRE;BRG;BRZ;BUK;BUR;CAY;CHI;CHL;CLM;COB;CON;CRO;CUB;DAH;DAI;DEI;DEN;DENNOR;DIO;DUR;ECU;EGY;ETH;EWE;FIN;FRA;FRM;FTJ;FTR;FZN;GBR;GEN;GJM;GLD;GR3;GR4;GR5;GRE;GWA;HAI;HAM;HAN;HAR;HAU;HDY;HEK;HER;HES;HOH;HOL;HUN;HYD;IBO;IND;IR1;IREK;ISQ;JAI;JAP;JLF;JOD;KAB;KAN;KAS;KBA;KBU;KFA;KHI;KNG;KOK;KON;KOR;KRA;KRT;KRU;KSN;KZM;LBA;LIP;LND;LNG;LOU;LUB;LUC;LUX;LZO;MAD;MARATH;MAS;MBS;MDK;MEC;MEI;MEW;MEX;MJK;MJT;MNB;MOD;MOL;MOR;MOS;MRV;MST;MTP;MUG;MYS;MZB;NAS;NET;NOR;NVS;NYM;OGD;OLD;OMA;OVM;OYO;PAN;PAP;PAR;PCO;PER;PEU;PHI;PLC;POR;PRU;PTN;QUE;QWR;RUS;RYU;SAF;SAR;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SDM;SER;SGU;SHW;SIA;SIC;SPA;SPC;SRR;SSU;SWE;SWI;TGI;TGR;TKE;TMN;TRA;TRI;TRS;TUA;TUG;TUN;TUR;TUS;UBD;UCA;USA;VEN;VNZ;WAD;WAL;WEI;WLD;WLG;WLT;WSG;WTU;WUR;ZND
traditional_papermaking,78,ALW;ASM;AUS;AWA;BAD;BAV;BEL;BEO;BER;BHU;BHV;BIC;BRA;BUK;BUR;CAM;CHI;CMI;DAI;DEN;DENNOR;FIN;FRA;FRM;GBR;GEN;GR4;GWA;HAM;HAN;HES;HUN;HYD;IND;IREK;JAI;JAP;JUN;KAS;KOR;KOT;KRA;KUT;LUA;LUC;LUX;MARATH;MOD;MUG;NAW;NEP;NET;NOR;PAN;PAP;PAR;PER;PLC;POR;PRU;PTN;RUS;RYU;SAR;SAX;SHS;SIA;SIC;SPA;SPC;SWE;SWI;TIB;TUS;UBD;USA;VEN;WUR
traditional_glassmaking,0,
organized_forestry,30,AUS;BAV;BEL;BEO;BRA;BRZ;CHI;CRO;DEI;DEN;DENNOR;FRA;GBR;HAN;HUN;IREK;JAP;NBS;NVS;POR;PRA;PRU;QUE;RYU;SAF;SAX;SPA;SPC;USA;WUR
traditional_food_processing,390,ABB;ABU;ACE;AGC;AIT;AJR;ALW;ANH;ARB;ARG;ARH;ARM;ARR;ARS;ASH;ASM;AUL;AUS;AWA;AWS;AYI;BAD;BAG;BAL;BAS;BAV;BCE;BEL;BEN;BEO;BER;BGI;BGM;BHN;BHO;BHU;BHV;BHW;BIC;BIK;BLA;BLE;BLG;BMM;BND;BNG;BNJ;BNN;BOB;BOL;BOR;BRA;BRE;BRG;BRU;BRZ;BTN;BUK;BUN;BUR;CAM;CAY;CHC;CHI;CHK;CHL;CHP;CHT;CIR;CLM;CMI;COB;COC;CON;COO;CRI;CRO;CUB;DAH;DAI;DAK;DEI;DEN;DENNOR;DFR;DHA;DIO;DLA;DUR;ECU;EGY;ETH;EWE;EZO;FIN;FJI;FNG;FRA;FRM;FTJ;FTR;FZN;GAL;GAR;GBR;GEN;GJM;GLD;GNI;GR3;GR4;GR5;GRE;GRW;GWA;HAI;HAM;HAN;HAR;HAU;HAW;HBC;HDJ;HDY;HEK;HER;HES;HLA;HMB;HOH;HOL;HRO;HUN;HYD;IBO;IDA;IND;ION;IQU;IR1;IREK;ISQ;JAB;JAI;JAP;JAS;JBB;JEY;JHN;JLF;JMB;JOD;JOH;JUN;KAB;KAF;KAL;KAN;KAS;KAT;KAU;KBA;KBB;KBU;KFA;KHI;KHP;KKI;KLN;KNC;KNG;KNK;KNO;KOK;KON;KOR;KOT;KRA;KRI;KRT;KRU;KSN;KTI;KTU;KUN;KUT;KYN;KZH;KZM;LAD;LAH;LBA;LGA;LIP;LND;LNG;LOU;LRR;LUA;LUB;LUC;LUX;LZO;MAD;MAH;MAI;MAK;MARATH;MAS;MBB;MBS;MCR;MDK;MEC;MEI;MEW;MEX;MGD;MGH;MICC;MJK;MJT;MKT;MLD;MLT;MNB;MNP;MOD;MOL;MON;MOR;MOS;MRA;MRN;MRV;MST;MTP;MUG;MYB;MYS;MZB;NAG;NAR;NAS;NAW;NBS;NEJ;NEP;NET;NGA;NNG;NOR;NPU;NRU;NSW;NTO;NTU;NVJ;NVS;NYM;NYP;NZP;OGD;OLD;OMA;ONT;OVB;OVM;OYO;OZH;PAA;PAN;PAP;PAR;PAT;PCO;PDI;PER;PEU;PHI;PLC;PLP;PLY;PMA;PNI;PON;POR;PRA;PRG;PRK;PRU;PTA;PTN;PUD;PWN;QUE;QWR;RUS;RYU;SAF;SAK;SAR;SAS;SAT;SAX;SC1;SC2;SC3;SC4;SCH;SCM;SCW;SD1;SDM;SEL;SEQ;SER;SGU;SHS;SHW;SIA;SIC;SIK;SIN;SMB;SML;SPA;SPC;SPU;SRK;SRR;SSU;STG;SUL;SUR;SWE;SWI;SWZ;TAS;TBI;TEX;TGI;TGR;TIB;TID;TIP;TKE;TMN;TNG;TRA;TRI;TRM;TRS;TSW;TUA;TUG;TUN;TUR;TUS;UBD;UCA;UNT;URU;USA;UZH;VEN;VND;VNT;VNZ;WAD;WAL;WAS;WDJ;WEI;WKB;WLD;WLG;WLT;WRR;WSG;WTI;WTU;WUR;XHO;YGU;YKA;YOG;YUR;ZAI;ZND
sugar_refining,104,ACE;ALW;ASM;AWA;BAG;BAL;BAS;BCE;BEL;BEO;BER;BHO;BHU;BHV;BHW;BIC;BIK;BRE;BRZ;BUN;CHI;COC;COO;CUB;DAI;DEI;DEN;DENNOR;DHA;FIN;FRA;GAR;GBR;GEN;GR4;GR5;GWA;HAI;HAM;HYD;IDA;IND;IREK;JAI;JAS;JEY;JHN;JOD;JUN;KAS;KHP;KKI;KNO;KOT;KRA;KUT;LAD;LOU;LUB;LUX;MARATH;MEW;MGH;MLD;MNP;MUG;MYB;MYS;NAG;NAR;NAW;NEP;NET;NGA;PAN;PCO;PHI;PLC;PLP;POR;PRA;PRU;PTA;PTN;PUD;RUS;SAR;SAT;SIA;SIC;SIK;SIN;SPA;SPC;SRK;SUR;SWE;TIP;TRA;TUS;USA;VEN;VNZ;YOG
industrial_acids,4,BEL;BEO;FRA;GBR
