Technology_ID,Current_Classification,Problem_Type,Current_Gameplay_Meaning,Historical_Meaning,Final_Decision,Final_Classification,Requires_Split,Unlocks_To_Keep,Unlocks_To_Move,Suggested_Destination_Technologies,Requires_New_Technology,Confidence,Reason,Source_1,Source_2
advanced_crop_rotations,B,CLASSIFICATION_TOO_LATE,Rotations intensives avec enrichissement des sols et usage d'engrais.,"Capacité ancienne dans plusieurs systèmes agricoles européens et asiatiques, sans universalité.",RECLASSIFY,A (sélective),NO,pm_soil_enriching_farming et usages agricoles existants,,,NO,HIGH,Le concept générique est antérieur à 1776; A ne signifie pas universel.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
advanced_spinning,B,MIXED_CONCEPT,"Dans le working tree, le seul unlock direct est pm_sewing_machines.",La machine à coudre productive est postérieure au cutoff; le nom filature avancée ne décrit pas son gameplay.,REDEFINE_TECH,C,NO,pm_sewing_machines,,,NO,HIGH,"Redéfinir/renommer le nœud existant comme mécanisation de la couture, plutôt que créer un nouveau nœud vide.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
casemated_fortifications,C,CLASSIFICATION_REVIEW,"Fortification navale renforcée consommant armes, artillerie et acier.","Les casemates sont anciennes, mais le paquet gameplay représente une fortification navale industrialisée renforcée.",KEEP_CLASS,C,NO,pm_naval_fortification_reinforced,,,NO,HIGH,Le contenu réel est plus tardif que le simple mot casemate.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
classical_political_economy,B,CLASSIFICATION_TOO_EARLY,Ouvre des lois économiques libérales et les clauses sans tarifs/subventions.,La physiocratie est couverte par political_economy; le paquet smithien classique est postérieur au 1er janvier 1776.,RECLASSIFY,C,NO,lois économiques/libre-échange et articles de traité actuels,,,NO,HIGH,La Richesse des nations paraît après le cutoff et le gameplay dépasse la seule physiocratie.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
clinicopathological_medicine,C,CLASSIFICATION_REVIEW,"Nœud sans unlock direct, parent de développements médicaux ultérieurs.","Morgagni fournit un précurseur en 1761, mais la généralisation institutionnelle anatomoclinique est postérieure.",KEEP_CLASS,C,NO,position dans la chaîne médicale expérimentale,,,NO,MEDIUM,Conserver C permet des précurseurs exceptionnels sans classer la capacité nationale comme 1776.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
condensing_steam_engines,B,CLASSIFICATION_TOO_EARLY,Débloque largement les pompes à vapeur de condensation dans les mines.,"Le condenseur séparé est breveté avant 1776, mais sa diffusion industrielle est postérieure au cutoff.",RECLASSIFY,C,NO,PM de pompage/condensation dans mines et ressources,,,NO,HIGH,"Le paquet gameplay représente l'adoption productive, pas l'invention isolée.",common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
constitutional_government,B,CLASSIFICATION_TOO_LATE,Ouvre plusieurs formes constitutionnelles et juridiques de gouvernement.,"Des gouvernements constitutionnels établis existent bien avant 1776, mais dans peu d'États.",RECLASSIFY,A (sélective),NO,"lois de gouvernance, citoyenneté, pouvoir, protection sociale",,,NO,HIGH,Capacité ancienne et sélective; la classe A n'implique aucune diffusion automatique.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
cotton_gin,C,CLASSIFICATION_REVIEW,Mécanisation nationale de l'égrenage et bonus de débit.,Le cotton gin de Whitney est breveté en 1794; des outils antérieurs ne correspondent pas au niveau gameplay.,KEEP_CLASS,C,NO,bonus de débit des plantations de coton et gate bâtiment,,,NO,HIGH,C reste adapté à la capacité productive généralisée.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
crystal_glass,C,CLASSIFICATION_REVIEW,"PM verrier avancé avec plomb, calcaire et produits chimiques industriels.","Le cristal au plomb est ancien, mais cette recette gameplay suppose une chaîne chimique et une organisation industrielle.",KEEP_CLASS,C,NO,pm_crystal_glass,,,NO,MEDIUM,Le contenu réel justifie C malgré des précurseurs du XVIIe siècle.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
hydraulic_cements,C,CLASSIFICATION_REVIEW,Production structurée de ciment hydraulique.,Les formulations commercialisées de type Roman/Portland cement sont postérieures à 1776.,KEEP_CLASS,C,NO,PM du ciment hydraulique,,,NO,HIGH,Les mortiers hydrauliques anciens ne suffisent pas au seuil industriel du PM.,common/technology/technologies,docs/reports/technology/TECH_START_1776_SECOND_PASS_WORLD_SYNTHESIS.md
