Architecture,Nodes,Edges,Structural_Grants,Countries_Affected,Collateral_Cost,Roots,Max_Fanout,Causality_Violations,Historical_Fit,Gameplay_Fit,Recommendation
MILITARY_A_SINGLE_TRUNK,244,344,310,193,HIGH: caserne accordée 138 fois et branches doctrine/armement/services mêlées,15,7,0,LOW-MEDIUM,MEDIUM,REJECT: tronc trop chargé pour les grants tactiques ou artisanaux.
MILITARY_B_ORGANIZATION_PLUS_ARMAMENT,245,344,404,193,"NONE direct: deux troncs structurels purs, aucun bâtiment déplacé",16,7,0,HIGH,MEDIUM-HIGH,"REJECT: séparation nette, mais 94 pays cumulent les deux troncs pour seulement six cas armement-seul."
MILITARY_C_IF_NEEDED,244,344,310,193,NONE direct: tronc unique redéfini et purement structurel,15,7,0,HIGH,HIGH,"SELECT: conserve 138 grants, évite 94 doublons et ne crée aucune capacité gameplay gratuite."
NAVAL_CURRENT_PROPOSAL,244,344,310,193,MEDIUM-HIGH: shipyard/naval administration déplacés sur 54 grants,15,7,0,MEDIUM,MEDIUM,"REJECT AS WRITTEN: le concept convient, le contenu direct est trop large."
NAVAL_ALTERNATIVE_IF_NEEDED,244,344,310,193,NONE direct: tronc structurel pur,15,7,0,HIGH,HIGH,"SELECT: même topologie et mêmes grants, sans déblocage naval collatéral."
FINANCIAL_CURRENT_PROPOSAL,244,344,310,193,MEDIUM: réduction universelle des intérêts sur 34 grants,15,7,0,HIGH,MEDIUM,REJECT AS WRITTEN: retirer le bonus économique du tronc.
FINANCIAL_ALTERNATIVE_IF_NEEDED,244,344,310,193,NONE direct: tronc structurel pur,15,7,0,HIGH,HIGH,SELECT: les enfants suffisent à donner sa valeur au nœud.
MANUFACTURING_CURRENT_PROPOSAL,244,344,310,193,UNACCEPTABLE: furniture et tooling accordés aux 14 grants,15,7,0,LOW,LOW,REJECT: les branches papier/verre/acides ne justifient pas ces bâtiments.
MANUFACTURING_ALTERNATIVE_IF_NEEDED,244,341,296,184,NONE: aucun nouveau grant organized_workshops pour ces trois branches,18,7,0,HIGH,HIGH,SELECT: préserver furniture/tooling et accepter trois racines spécialisées utiles.
INFRASTRUCTURE_CURRENT_PROPOSAL,244,344,310,193,MEDIUM: PM de routes à péage accordés pour accéder aux canaux,15,7,0,LOW,MEDIUM,REJECT AS NAMED: le concept Turnpike est trop spécifique mondialement.
INFRASTRUCTURE_ALTERNATIVE_IF_NEEDED,244,344,310,193,"LOW: mêmes PM routiers, concept parent élargi sans nouveau contenu",15,7,0,HIGH,HIGH,SELECT: redéfinir le même ID en infrastructure terrestre organisée.
