source,target,source_category,target_category,source_era,target_era,vanilla_edge,tech4c_edge,cross_tree,runtime_risk,action,replacement_source,replacement_category,reason
institutionalized_public_credit,state_dockyard_systems,society,military,era_1,era_1,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
medical_degrees,permanent_military_hospitals,society,military,era_3,era_3,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
precision_boring,armament_standardization_inspection,production,military,era_4,era_4,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
standardized_field_artillery,precision_boring,military,production,era_3,era_4,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
turnpike_road_networks,systematic_cadastral_surveying,production,society,era_2,era_4,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
industrial_acids,active_principle_pharmacy,production,society,era_2,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
systematic_administrative_statistics,logistics,society,military,era_2,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
mechanical_tools,mechanized_naval_dockyards,production,military,era_5,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
rotative_steam_power,mechanized_naval_dockyards,production,military,era_4,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
continuous_papermaking,mechanized_printing,production,society,era_5,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
mechanical_tools,mechanized_printing,production,society,era_5,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
rotative_steam_power,mechanized_printing,production,society,era_4,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
veterinary_science,military_veterinary_services,society,military,era_3,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
rotative_steam_power,paddle_steamer,production,military,era_4,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
mechanical_tools,rifling,production,military,era_5,era_5,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
mechanical_tools,iron_hull_construction,production,military,era_5,era_6,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
puddling_and_rolling,iron_hull_construction,production,military,era_4,era_6,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
pressed_glass,modern_lighthouse_optics,production,military,era_6,era_6,no,yes,yes,HIGH_RECORDED_OUT_OF_SCOPE,OUT_OF_SCOPE_ERA_I_VI_NO_CHANGE,NONE,NONE,Target is Era I-VI; TECH-4C1 explicitly forbids Era I-VI definition changes. Recorded for a future isolation phase.
pressed_glass,camera,production,society,era_6,era_7,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,experimental_research_laboratories,society,Photographic chemistry is re-gated through active Society research laboratories; realism is not restored.
optical_telegraph_networks,electric_telegraph,society,military,era_4,era_7,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,logistics,military,Vanilla Military logistics supplies the communications foundation; the optical bridge remains conceptual.
medical_degrees,modern_nursing,society,military,era_3,era_7,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,battlefield_evacuation,military,Vanilla triage is a consumed alias whose active Military owner is battlefield_evacuation.
interchangeable_manufacture,breech_loading_artillery,production,military,era_6,era_8,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,shell_gun remains a sufficient same-tree ordnance predecessor.
nitroglycerin,self_propelled_torpedoes,production,military,era_7,era_8,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,shell_gun,military,Active Military/Naval shell ordnance is a direct foundation for torpedo warheads.
professional_civil_engineering,steel_frame_buildings,production,society,era_5,era_9,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,investment_banks,society,Society capital mobilization replaces the non-rendering Production gate for large urban projects.
electric_telegraph,telephone,military,production,era_7,era_9,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,electrical_generation remains a sufficient Production prerequisite.
reinforced_concrete,concrete_dockyards,production,military,era_8,era_10,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,floating_harbor retains the direct Military/Naval dockyard chain.
combustion_engine,military_aviation,production,military,era_9,era_10,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,wargaming,military,Military experimentation and doctrine integration provide a same-tree adoption gate; engines remain implicit.
professional_civil_engineering,paved_roads,production,society,era_5,era_10,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings,society,The prior Society urban-infrastructure node represents a mature urban construction sector.
political_agitation,war_propaganda,society,military,era_10,era_10,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,enlistment_offices remains the direct Military mobilization predecessor.
combustion_engine,zeppelins,production,society,era_9,era_10,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,steel_frame_buildings,society,Rigid-frame structural engineering provides a Society-internal predecessor; propulsion remains implicit.
pneumatic_tools,concrete_fortifications,production,military,era_10,era_11,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,defense_in_depth remains the direct Military fortification predecessor.
reinforced_concrete,concrete_fortifications,production,military,era_8,era_11,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,defense_in_depth remains the direct Military fortification predecessor.
steam_turbine,dreadnought_tech,production,military,era_10,era_11,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,pre_dreadnought_tech preserves the direct Military/Naval hull chain.
radio,mass_propaganda,production,society,era_11,era_11,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,political_agitation,society,Society political mobilization replaces the Production broadcast gate while film remains.
war_propaganda,mass_propaganda,military,society,era_10,era_11,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,film and political_agitation cover Society media and mobilization without a Military gate.
nitrogen_fixation,chemical_warfare,production,military,era_11,era_12,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REPLACE_WITH_SAME_TREE_PREREQUISITE,trench_works,military,Trench warfare supplies the direct Military operational context; chemical industry remains implicit.
compression_ignition,mobile_armor,production,military,era_11,era_12,no,yes,yes,HIGH_MISSING_OR_CROSS_TREE_CONNECTOR,REMOVE_WITHOUT_REPLACEMENT,NONE,NONE,military_aviation and stormtroopers retain same-tree mobility and combined-arms foundations.
