Change_Type,Target,Current_Value,Proposed_Value,Affected_TAG_Count,Affected_TAGs,Reason,Depends_On,Risk,Validation_Required
TREE_EDGE,advanced_crop_rotations <- selective_breeding,selective_breeding,improved_husbandry (conservé comme seul parent),32,voir SECOND_PASS_TREE_REVIEWS,Supprimer uniquement selective_breeding; improved_husbandry garde une progression agricole cohérente.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,applied_mineralogy <- shaft_mining,shaft_mining,aucun parent,3,voir SECOND_PASS_TREE_REVIEWS,La connaissance minéralogique n'exige pas techniquement des mines à puits; le nœud reste relié par ses descendants.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,atmospheric_engine <- coke_smelting,coke_smelting,shaft_mining,7,voir SECOND_PASS_TREE_REVIEWS,Conserver shaft_mining seul et retirer coke_smelting.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,codified_practical_knowledge <- institutionalized_scientific_exchange,institutionalized_scientific_exchange,aucun parent,66,voir SECOND_PASS_TREE_REVIEWS,Aucun parent est préférable à une fausse universalisation institutionnelle.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,codified_practical_knowledge <- periodical_print_networks,periodical_print_networks,aucun parent,77,voir SECOND_PASS_TREE_REVIEWS,Retirer le verrou de presse; le nœud conserve ses descendants et n'est pas un cul-de-sac.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,commercial_insurance_markets <- institutionalized_public_credit,institutionalized_public_credit,aucun parent,9,voir SECOND_PASS_TREE_REVIEWS,L'assurance commerciale ne dépend pas d'un crédit public institutionnalisé.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,commercial_insurance_markets <- international_relations,international_relations,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,"Le commerce extérieur est un contexte, pas un prérequis technologique obligatoire.",validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,industrial_canals <- turnpike_road_networks,turnpike_road_networks,aucun parent,8,voir SECOND_PASS_TREE_REVIEWS,Retirer l'arête et redéfinir le libellé comme voies d'eau commerciales organisées.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,industrial_ceramics <- traditional_glassmaking,traditional_glassmaking,aucun parent,2,voir SECOND_PASS_TREE_REVIEWS,La parenté de four et de matière ne constitue pas un préalable universel.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,light_infantry_tactics <- regulated_small_arms,regulated_small_arms,aucun parent,49,voir SECOND_PASS_TREE_REVIEWS,Doctrine et production réglementée doivent rester séparées.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,medical_degrees <- institutionalized_scientific_exchange,institutionalized_scientific_exchange,aucun parent,13,voir SECOND_PASS_TREE_REVIEWS,Retirer le parent eurocentré; conserver une distribution A très sélective.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,military_topographic_surveying <- permanent_engineer_services,permanent_engineer_services,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,Préférer un nœud indépendant à un faux verrou; une liaison visuelle peut être étudiée séparément.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,organized_elementary_schooling <- periodical_print_networks,periodical_print_networks,aucun parent,7,voir SECOND_PASS_TREE_REVIEWS,"Retirer l'arête; ne pas la remplacer par codified_practical_knowledge, qui recréerait un filtre culturel.",validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,permanent_engineer_services <- scientific_fortification_siegecraft,scientific_fortification_siegecraft,aucun parent,5,voir SECOND_PASS_TREE_REVIEWS,Séparer service permanent du génie et science spécialisée du siège.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,permanent_military_hospitals <- scientific_fortification_siegecraft,scientific_fortification_siegecraft,aucun parent,2,voir SECOND_PASS_TREE_REVIEWS,Retirer l'arête sans inventer un remplacement médical universel.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
TREE_EDGE,political_economy <- codified_practical_knowledge,codified_practical_knowledge,aucun parent,1,voir SECOND_PASS_TREE_REVIEWS,Le contexte intellectuel n'est pas un préalable technique universel.,validation du graphe,LOW,parseur; cycles; fermeture des prérequis; UI arbre
