"old_path","new_path","category","reason","references_updated","sha256_before","sha256_after","content_changed"
"docs/reports/hotfix/_index/army.md","docs/reports/hotfix/runtime/military/army.md","docs/reports/hotfix/runtime/military","Runtime evidence family","false","5695012F7A7B07B296D60C06AF380C1D4ACC79F241C10EA906B20F5A7B43C99C","5695012F7A7B07B296D60C06AF380C1D4ACC79F241C10EA906B20F5A7B43C99C","false"
"docs/reports/hotfix/_index/HOTFIX_6A10F_ROMANIA_TWO_JE_PINNING_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A10F_ROMANIA_TWO_JE_PINNING_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","023287792B11FFEC741BBE8B37EF0B82C426A6EF669675EC3D1A36F65792155F","3A6D588B60A9B53C6E7EFB98F8140AA9387F635D11F21155EBA3F2F022299D3E","true"
"docs/reports/hotfix/_index/HOTFIX_6A10_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A10_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","DE086B3B13D36024B718622E8851B61F0AE1C31281859693506E32CBA3F04468","311E34DB3ED5393E57A0A8058FD4E828172138407973F4ADCDA0BA62DE10A6F2","true"
"docs/reports/hotfix/_index/HOTFIX_6A11F_PORTUGUESE_COLONIALISM_TWO_JE_PINNING_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A11F_PORTUGUESE_COLONIALISM_TWO_JE_PINNING_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","C01D37EE49AA6CB8667ACD6105F2BBC6ABC00CA2220D7577020727A49546F7D3","E5639D3AFA964B23DE48F57194E49078FD8710777FEAA431A6D1F29697A1BB5A","true"
"docs/reports/hotfix/_index/HOTFIX_6A11_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A11_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","38EF357A6A9C767B1E43C20B062684D97F45AD1C41737D4B4F2087DA4BE684D2","FA4E09C1BA292D28A6CF9677B3BE5743F687B62BF096C480CA985E3608213E7F","true"
"docs/reports/hotfix/_index/HOTFIX_6A12F_PORTUGUESE_COLONIALISM_STRATEGIC_REGION_KEYS_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A12F_PORTUGUESE_COLONIALISM_STRATEGIC_REGION_KEYS_1_13_ALIGNMENT.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","false","2F3E7143CFFA05C52092F1C2330D9344D5430366FE46EBD19ABCD66BA9B1A646","2F3E7143CFFA05C52092F1C2330D9344D5430366FE46EBD19ABCD66BA9B1A646","false"
"docs/reports/hotfix/_index/HOTFIX_6A12_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A12_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","false","342F85ABCD45EAFCCF73C96F1A619A331E729730C56E612F176D3DC094577665","342F85ABCD45EAFCCF73C96F1A619A331E729730C56E612F176D3DC094577665","false"
"docs/reports/hotfix/_index/HOTFIX_6A13F_GEN_VEN_MERCHANT_BANKING_STARTING_LAW.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A13F_GEN_VEN_MERCHANT_BANKING_STARTING_LAW.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","3744D258D42CDF6B627374BFC0E2D15766E375ADA2FCC8079E2CD62F798901DD","A2C3BEAB2C9A8C6D35415D67B0DAE5034E4DFE6DB387750ECBB72AE3C5CA587F","true"
"docs/reports/hotfix/_index/HOTFIX_6A13_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A13_RESIDUAL_GLOBAL_SCRIPT_SELECTION.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","true","43630FB47DADDA422EFB4E71BA98EB42D3A371480CEE9781ED9357822D0BE2B7","036EB6D6E83CA1CA3B27950C348E529A47EE1FE39709C71DE2D1C81F8F14781A","true"
"docs/reports/hotfix/_index/HOTFIX_6A14H_HBC_DOUBLE_DEFINITION_RESOLUTION_AUDIT.md","docs/reports/hotfix/global_script/6A10_6A19/HOTFIX_6A14H_HBC_DOUBLE_DEFINITION_RESOLUTION_AUDIT.md","docs/reports/hotfix/global_script/6A10_6A19","Chronological 6A phase family","false","A992B8AB58B5BF34B028403E5E98C229CF8344FE757ED0F0A19C012D22039E0F","A992B8AB58B5BF34B028403E5E98C229CF8344FE757ED0F0A19C012D22039E0F","false"
