"test_id","status","operator_evidence","failure_attributable_to_prep1c","root_cause","proposed_fix","followup_required"
"PREP1C-00","PASS","One Victoria 3 process start observed; launch quota consumed","NO","","","NO"
"PREP1C-01","NOT_OBSERVED","No loading-screen evidence supplied during this launch","NO","","Retain prior PREP1B evidence","YES"
"PREP1C-02","PASS","Main-menu screenshot shows Washington clear of the menu and the white subtitle","NO","","","NO"
"PREP1C-03","FAIL","Operator heard Cantus Firmus at menu entry, then vanilla music after the 100-second file ended","YES","Victoria 3 main_theme_track exposes no loop field and the original asset lasts 100.3 seconds","Use a 30-minute continuous lossless-copy master in all four title-theme slots","YES"
"PREP1C-04","PASS","Objective overview screenshot shows the tutorial and sandbox artwork intact","NO","","","NO"
"PREP1C-05","PASS","Screenshot shows the period lion-hunt artwork without a modern photograph","NO","","","NO"
"PREP1C-06","PASS","Screenshot shows the Battle of Ushant artwork correctly","NO","","","NO"
"PREP1C-07","PASS","Screenshot shows the borderless Bastille artwork correctly","NO","","","NO"
"PREP1C-08","PASS","Screenshot shows the borderless Venice artwork correctly","NO","","","NO"
"PREP1C-09","PASS","French Battle for India introduction visible and readable","NO","","","NO"
"PREP1C-10","PASS","FRA/BIC/MARATH/DUR descriptions visible and readable in screenshot","NO","","","NO"
"PREP1C-11","PASS","Operator reported no raw key or clipping while reviewing the objective","NO","","","NO"
"PREP1C-12","PASS","French Age of Revolutions introduction visible and readable","NO","","","NO"
"PREP1C-13","PASS","FRA/USA/PLC descriptions visible and readable in screenshot","NO","","","NO"
"PREP1C-14","PASS","French Imperial Rivalries introduction visible and readable","NO","","","NO"
"PREP1C-15","PASS","GBR/SPA/RUS/PRU descriptions visible and readable in screenshot","NO","","","NO"
"PREP1C-16","PASS","French Mercantile Republics introduction visible and readable","NO","","","NO"
"PREP1C-17","PASS","VEN/GEN descriptions visible and readable in screenshot","NO","","","NO"
"PREP1C-18","PASS","Operator explicitly reported no raw localization key","NO","","","NO"
"PREP1C-19","PASS","Screenshot shows the Bourbon standard for France","NO","","","NO"
"PREP1C-20","PASS","Screenshot shows the operator-retained thirteen-star flag","NO","","","NO"
"PREP1C-21","PASS","Screenshot shows the Commonwealth flag","NO","","","NO"
"PREP1C-22","PASS","Screenshot shows the 1707-1800 Union Flag","NO","","","NO"
"PREP1C-23","PASS","Screenshot shows the Cross of Burgundy","NO","","","NO"
"PREP1C-24","PASS","Screenshot shows the crowned Russian imperial eagle","NO","","","NO"
"PREP1C-25","PASS","Screenshot shows the Prussian eagle","NO","","","NO"
"PREP1C-26","FAIL","Battle for India screenshot still shows the Raj star for BIC","YES","Objective cards call CountryDefinition.GetBaseFlag and ignore common/flag_definitions variants","Override the base BIC CoA with the existing East India Company striped ensign","YES"
"PREP1C-27","NOT_OBSERVED","No explicit in-game-days confirmation supplied for this launch","NO","","Retain for the next authorized runtime","YES"
"PREP1C-28","NOT_OBSERVED","No explicit gameplay transition observation supplied for this launch","NO","","Retain for the next authorized runtime","YES"
"PREP1C-29","PASS","Post-session process check confirms game and launcher closed; launch count 1/1","NO","","","NO"
"PREP1C-30","FAIL","Battle for India screenshot shows the Netherlands tricolor for DEI/VOC","YES","Objective cards use the base DEI CoA instead of the DEI_voc flag variant","Override the base DEI CoA with the existing VOC-lettered flag","YES"
"PREP1C-31","FAIL","Operator judged the Learn the Game descriptions too sparse","YES","SWE and DAI inherited short vanilla flavor text and DENNOR retained an old summary","Rewrite the tutorial introduction and all four recommended-country descriptions in French and English","YES"
"PREP1C-32","FAIL","Belgium was absent from the Learn the Game recommendations","YES","The fork objective listed only SWE DAI DENNOR; the valid 1776 Belgian tag is BEO rather than vanilla BEL","Add BEO and a dedicated Austrian-Netherlands narrative","YES"
