audit_id,country_tag,polity,formation_name,hq_region,current_general_id,current_template,formation_scope,formation_nature,action_recommendation,candidate_status,original_name,romanization,name_variants,birth_date,birth_precision,birth_place,birth_polity,birth_v3_state,death_date,death_precision,military_function,office_type,office_dates,active_1776_01_01,activity_1776_01_01,command_place,command_v3_state,culture_historical,culture_v3,religion_historical,religion_v3_recommendation,social_origin,portrait_status,portrait_note,dna_template_existing,dna_template_note,person_eligibility_confidence,formation_fit_confidence,source_primary,source_secondary,notes
EA-CHI-01,CHI,Qing Empire,cleanup2d3b_chi_land_1,region_north_china,GEN1776-143,default,bordered_yellow_banner; plain_yellow_banner,Synthetic V3 formation mixing banner labels and multiple provinces,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,鈕祜祿·豐昇額,Fengshenge,豐盛額; Fengsheng'e; Manchu spelling not securely normalized in consulted record,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,Qing Empire,UNKNOWN_NOT_MAPPABLE,1777,YEAR,副將軍 (deputy general) in the Second Jinchuan campaign,CAMPAIGN_DEPUTY_GENERAL,"Appointed deputy general in Qianlong 37, 12th lunar month; active through conquest of Jinchuan in Qianlong 40/41",YES,"Serving in active Jinchuan expedition under supreme commander Agūi; documented field command, not selected because of noble/court rank","Jinchuan, western Sichuan",Sichuan/Jinchuan — exact mod state key not asserted here,Manchu bannerman,manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Hereditary high Banner nobility; son of Aligun; First Class Duke; military/court elite,YES_HISTORICAL,Included among Jinchuan merit commanders commemorated at Ziguangge after the campaign; individual surviving image/license not audited,NO_NAMED_TEMPLATE_FOUND,No Fengshenge-named DNA/template found in branch search; current formation general uses template=default,HIGH,MEDIUM,Academia Sinica 人名權威 record for (鈕祜祿)豐昇額; 欽定八旗通志 卷145 biography,清史稿 / CText Jinchuan merit lists,"Bordered Yellow affiliation makes this a defensible banner abstraction, but the V3 formation geography is synthetic."
EA-CHI-02,CHI,Qing Empire,cleanup2d3b_chi_land_2,region_north_china,GEN1776-144,default,plain_white_banner; bordered_white_scope,Synthetic V3 formation carrying White Banner scope labels,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,章佳·阿桂,Agūi,阿桂; Agui; A-kuei; Manchu agūi,1717-09-07,EXACT_DAY_SOURCE_CONVERTED,UNKNOWN_NOT_ATTESTED_IN_CONSULTED_AUTHORITY,Qing Empire,UNKNOWN_NOT_MAPPABLE,1797,YEAR,"定西將軍 (General for Pacifying the West), supreme commander of the Second Jinchuan campaign",CAMPAIGN_COMMANDER_IN_CHIEF,Qianlong 38–41 (1773–1776),YES,Supreme field commander prosecuting the final phase of the Second Jinchuan campaign,"Jinchuan, western Sichuan",Sichuan/Jinchuan — exact mod state key not asserted here,"Manchu; originally Plain Blue Banner, later Plain White Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Banner official family; son of Akdun; entered official service through hereditary/privileged status and rose through civil-military command,YES_HISTORICAL,Well-attested Qing court portrait tradition; Agūi appears in surviving Qing military portrait material,NO_NAMED_TEMPLATE_FOUND,No Agūi/阿桂 named DNA/template located in branch search; current general uses template=default,HIGH,MEDIUM_HIGH,Academia Sinica 人名權威 000008; Chinese Text Project person record ctext:810478,Qing official-biographical records for 定西將軍 tenure,"Best White Banner-linked senior commander. Selection is based on actual campaign command, not concurrent ministerial office."
EA-CHI-03,CHI,Qing Empire,cleanup2d3b_chi_land_3,region_northeast_asia,GEN1776-145,default,plain_red_banner; bordered_red_scope,Northeast V3 formation centered on AMUR but carrying Red Banner scope labels,REPLACE_PROCEDURAL_WITH_HISTORICAL_REGIONAL_COMMANDER,ADMISSIBLE,富察·傅玉,Fuyu,富玉; Fuyu,UNKNOWN,UNKNOWN_SOURCE_CONFLICT,UNKNOWN_NOT_ATTESTED,Qing Empire,UNKNOWN_NOT_MAPPABLE,1798,YEAR,黑龍江將軍 (General of Heilongjiang / Black Dragon River General),BANNER_GARRISON_REGIONAL_GENERAL,Qianlong 37–44 for the relevant tenure,YES,"Holding the Heilongjiang Generalship, a genuine regional Banner military command in the northeast",Heilongjiang / Qiqihar-Amur military region,STATE_AMUR is the formation's direct regional proxy,"Manchu, Fuca clan, Bordered Yellow Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Fuca Banner elite; son of Lirongbao and brother of Fuheng; high hereditary military-political family,UNKNOWN,No securely verified individual portrait found in this research pass,NO_NAMED_TEMPLATE_FOUND,No Fuyu/Fu-yu named template found; current general uses template=default,HIGH,HIGH,Academia Sinica 人名權威 001634,Academia Sinica Qing office database: 黑龍江將軍,"Strongest direct geography/office match in the Qing set. A secondary CText/DataWiki record gives 1715 birth, but the Sinica authority record leaves birth unknown; keep UNKNOWN conservatively."
EA-CHI-04,CHI,Qing Empire,cleanup2d3b_chi_land_4,region_south_china,GEN1776-146,default,plain_blue_banner; bordered_blue_banner,Synthetic South China formation; broad provincial mix,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,富察·明亮,Mingliang,明亮; Manchu mingliyang,1736,YEAR,UNKNOWN_NOT_ATTESTED,Qing Empire,UNKNOWN_NOT_MAPPABLE,1822,YEAR,定邊右副將軍 (Right Deputy General for Pacifying the Frontier); Jinchuan expeditionary commander,CAMPAIGN_DEPUTY_GENERAL,From Qianlong 38; active across the 1775–1776 final campaign phase,YES,Serving as senior deputy commander in the Jinchuan campaign,"Jinchuan, western Sichuan; had also held Guangzhou Generalship during Qianlong 38–40",Jinchuan/Sichuan; Guangdong link is historical but exact Q40 handover date is not used for eligibility,"Manchu, Fuca clan, Bordered Yellow Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Fuca imperial-affinal Banner elite; educated bannerman and senior military aristocratic network,YES_HISTORICAL,Included among Jinchuan merit officers commemorated in Qing court portrait program; individual image/license not audited,NO_NAMED_TEMPLATE_FOUND,No Mingliang named template found in branch search,HIGH,MEDIUM,Academia Sinica 人名權威 002606,Academia Sinica Qing office database: 廣州將軍; Qing Jinchuan merit records,Do not claim he was still Guangzhou General on 1776-01-01: the office list changes from Mingliang to Yongwei within Qianlong 40 without an exact Gregorian handover date. Eligibility rests on the expeditionary deputy-general post.
EA-CHI-05,CHI,Qing Empire,cleanup2d3b_chi_land_5,region_north_china,GEN1776-147,default,cleanup2d4_formation_147,Generic North China synthetic formation,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,鄂魯特·齊里克齊,Qilikeqi,齊里克齊; ūlet cirikci; Qilikeqi,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,Oirat/Qing frontier context; exact birthplace not attested,UNKNOWN_NOT_MAPPABLE,1799,YEAR,健銳營總統大臣 (presiding commander of the Jianrui Camp); also Bordered Yellow Mongol Banner deputy commander,CAPITAL_ELITE_MILITARY_CAMP_COMMAND,Jianrui Camp command from Qianlong 38; Bordered Yellow Mongol deputy command from Qianlong 33 into the relevant period,YES,Senior commander of a Beijing elite military camp; already an experienced frontier/campaign officer,Beijing / Xiangshan Jianrui Camp,STATE_BEIJING,"Oirat (Ūlet), incorporated into Mongol Bordered Yellow Banner",mongol,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Oirat warrior incorporated into Qing Banner service; rose through imperial guard and military command,YES_HISTORICAL,Academia Sinica record notes Ziguangge portrait recognition beginning in Qianlong 25 context; historic portrait status is attested,NO_NAMED_TEMPLATE_FOUND,No Qilikeqi/齊里克齊 named template found,HIGH,MEDIUM_HIGH,Academia Sinica 人名權威 012531,Qing biographical/merit records,A strong Beijing/North-China command abstraction. Do not infer religion from Oirat or Huibu associations.
EA-CHI-06,CHI,Qing Empire,cleanup2d3b_chi_land_6,region_south_china,GEN1776-148,default,cleanup2d4_formation_148,Generic South China formation mixing Fujian and Shandong units,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,富察·五福,Wufu,五福; Manchu ufu,c.1728,APPROX_YEAR,UNKNOWN_NOT_ATTESTED,Qing Empire,UNKNOWN_NOT_MAPPABLE,1783,YEAR,松潘鎮總兵 (Songpan zongbing / regional commander) and active Jinchuan campaign officer,REGIONAL_COMMANDER_AND_CAMPAIGN_OFFICER,Songpan zongbing Qianlong 37–44; campaign duties Qianlong 38–41,YES,Holding a genuine regional military command and participating in the Jinchuan field campaign,"Songpan and Jinchuan, Sichuan frontier",Sichuan frontier — exact mod state key not asserted,"Manchu, Fuca clan, Bordered White Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Hereditary bannerman officer; military family/service background,YES_HISTORICAL,Academia Sinica record notes inclusion among the rear fifty Ziguangge merit portraits after Jinchuan,NO_NAMED_TEMPLATE_FOUND,No Wufu/五福 named template found,HIGH,MEDIUM,Academia Sinica 人名權威 004866,Qing Jinchuan campaign and Ziguangge records,Historically valid commander; formation match remains an abstraction because the V3 formation's Fujian/Shandong geography does not reproduce Songpan/Jinchuan.
EA-CHI-07,CHI,Qing Empire,cleanup2d3b_chi_land_7,region_south_china,GEN1776-149,default,cleanup2d4_formation_149,"Highly synthetic South China formation mixing Beijing, Shandong and Guangxi units",REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,多拉爾·海蘭察,Hailancha,海蘭察; Hailancha,UNKNOWN,UNKNOWN,UNKNOWN_NOT_ATTESTED,Qing Empire / Solon Banner frontier context,UNKNOWN_NOT_MAPPABLE,1793,YEAR,參贊大臣 (assistant commander/councillor in the field) in the Jinchuan campaign; Banner commander,CAMPAIGN_ASSISTANT_COMMANDER,Jinchuan assistant command Qianlong 37–38 and 39–41; related campaign command Q38–39,YES,Active senior field commander in the final Jinchuan operations,"Jinchuan, western Sichuan",Sichuan/Jinchuan — exact mod state key not asserted,"Solon (Evenki-related), registered in Manchu Bordered Yellow Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,索倫馬甲 — Solon cavalryman/common military service origin; rose by battlefield merit,YES_HISTORICAL,One of the celebrated Jinchuan commanders represented in Qing Ziguangge military portrait tradition,NO_NAMED_TEMPLATE_FOUND,No Hailancha named template found; `manchu` is only a V3 technical fallback because no evenki culture key was located,HIGH,LOW_MEDIUM,Academia Sinica 人名權威 007452,清史稿 / Jinchuan merit portrait lists,"Do not erase Solon identity: V3 `manchu` is explicitly a technical approximation, not a historical reclassification."
EA-CHI-08,CHI,Qing Empire,cleanup2d3b_chi_land_8,region_south_china,GEN1776-150,default,cleanup2d4_formation_150,Synthetic formation mixing Guangxi and Shanxi,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,鈕祜祿·特成額,Techenge,特成額; Manchu tecengge,1746,YEAR,UNKNOWN_NOT_ATTESTED,Qing Empire,UNKNOWN_NOT_MAPPABLE,1796,YEAR,"威寧鎮總兵 (Weining zongbing, Guizhou) at the reference date",PROVINCIAL_REGIONAL_COMMANDER,Acting Weining zongbing Q39–40; substantive Q40–41; Taiyuan zongbing only from Q41,YES,Holding the Weining regional military command in Guizhou; not yet to be treated as Taiyuan commander on the reference date,"Weining, Guizhou",Guizhou — exact mod state key not asserted,"Manchu, Niohuru clan, Bordered Yellow Banner",manchu,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,"Lower Banner service origin (黏竿處拜唐阿 / baitangga-type service), professional officer career",YES_HISTORICAL,Named among Jinchuan merit officers in Qing textual portrait lists; individual surviving portrait/license not verified,NO_NAMED_TEMPLATE_FOUND,No Techenge/特成額 named template found,HIGH,MEDIUM,Academia Sinica 人名權威 000929,清史稿 / CText Jinchuan merit lists,The Guangxi/Shanxi V3 formation is synthetic. Do not backdate his Taiyuan command from Qianlong 41 into 1776-01-01.
EA-JAP-01,JAP,Tokugawa Japan,Edo_Guard_Army,region_northeast_asia,GEN1776-154,default,cleanup2d4_formation_154,National V3 abstraction of Edo/bakufu guard forces,KEEP_PROCEDURAL_ABSTRACTION,NO_UNIQUE_HISTORICAL_COMMANDER_IDENTIFIED,,,,,,,,,,,No single office found equivalent to commander of all Edo guard forces,DECENTRALIZED_GUARD_SYSTEM,,N/A,Edo castle/city guard responsibilities were distributed across several bakufu guard corps and offices,Edo,Edo/Kanto — formation abstraction,,japanese,,,,N/A,No person selected,CURRENT_DEFAULT_ONLY,"Keep procedural unless a later, office-specific Edo guard formation is created",N/A,N/A,Japanese institutional references on Tokugawa guard offices,Repository formation definition,"Do not assign Tokugawa Ieharu, Tanuma Okitsugu, or a daimyo merely because of political seniority."
EA-JAP-02,JAP,Tokugawa Japan,Kinai_Guard_Army,region_northeast_asia,GEN1776-155,default,cleanup2d4_formation_155,V3 abstraction of bakufu security forces in Kinai,REPLACE_PROCEDURAL_WITH_HISTORICAL_ABSTRACTION,ADMISSIBLE,久世広明,Kuze Hiroaki,久世廣明 (traditional form in some records),1732,YEAR,UNKNOWN_NOT_ATTESTED_IN_CONSULTED_BIOGRAPHY,Tokugawa Japan,UNKNOWN_NOT_MAPPABLE,1785,YEAR,大坂城代 (Ōsaka jōdai / castellan of Osaka),BAKUFU_CASTLE_AND_REGIONAL_SECURITY_COMMAND,1769–1777,YES,"Responsible for Osaka Castle guard, Kinai security, and surveillance of western daimyo under bakufu authority",Osaka / Kinai,Kinai/Kansai — exact implementation key to confirm during implementation,Japanese,japanese,UNKNOWN_NOT_PERSONALLY_ATTESTED,TBD_DO_NOT_INFER,Born to a hatamoto family; adopted into Kuze house; fudai daimyo and bakufu officeholder,UNKNOWN,No securely verified individual portrait suitable for implementation was found in this pass,NO_NAMED_TEMPLATE_FOUND,No Kuze Hiroaki named DNA/template found in branch search,HIGH,HIGH_AS_ABSTRACTION,Kotobank / デジタル版 日本人名大辞典+Plus: 久世広明; Kotobank: 大坂城代,"Historical office list for Ōsaka jōdai: Kuze Hiroaki, 1769–1777","Admissible because of the military-security content of the Ōsaka jōdai office, not because he was a daimyo. Birth month/day in Japanese lunisolar record is not converted into an invented Gregorian date."
